,y
968,1.0
780,1.0
541,1.0
984,1.0
933,1.0
550,1.0
851,1.0
822,1.0
795,1.0
618,1.0
692,1.0
914,1.0
941,1.0
515,1.0
562,1.0
753,1.0
520,1.0
668,1.0
803,1.0
551,1.0
875,1.0
834,1.0
695,1.0
568,0.0
791,1.0
616,1.0
750,1.0
964,1.0
648,1.0
664,1.0
953,1.0
583,1.0
553,1.0
812,1.0
845,1.0
783,1.0
757,1.0
590,1.0
509,1.0
559,1.0
519,1.0
560,1.0
831,1.0
533,1.0
767,1.0
508,1.0
996,1.0
504,1.0
897,1.0
506,1.0
792,1.0
702,1.0
885,1.0
524,1.0
742,1.0
825,1.0
943,1.0
686,1.0
647,1.0
850,0.0
687,1.0
660,1.0
645,1.0
754,1.0
844,1.0
747,0.0
714,1.0
514,1.0
830,0.0
595,1.0
772,1.0
837,1.0
993,1.0
785,1.0
600,1.0
586,1.0
980,1.0
924,1.0
628,1.0
961,1.0
801,1.0
768,1.0
923,1.0
934,1.0
989,1.0
883,1.0
956,1.0
729,1.0
769,1.0
517,1.0
930,1.0
838,1.0
512,1.0
945,1.0
788,1.0
866,1.0
833,1.0
756,1.0
954,1.0
713,1.0
