,h_post,h_post_individualized
1528,0.9912528252482242,0.7693588733673096
1384,0.988671309542119,0.8124731183052063
1477,0.9392754379821265,0.7666312456130981
1703,0.9984932819899883,0.8320605754852295
1501,0.9863724135331192,0.7611931562423706
1351,0.9965338661001765,0.7667946815490723
1863,0.9844207277058474,0.7579968571662903
1995,0.999255385609485,0.7620238065719604
1512,0.9965922622253384,0.7586822509765625
1444,0.9812548841520756,0.753754198551178
1137,0.9164454885375685,0.7706024050712585
1640,0.9883824704169223,0.7752675414085388
1339,0.9975128254008467,0.7595637440681458
1166,0.9823169406702841,0.751197338104248
1975,0.9474599539960861,0.7708430290222168
1180,0.962195367870565,0.7669044733047485
1217,0.9186967277098821,0.7636821269989014
1380,0.9869473974120713,0.7752536535263062
1494,0.9988699809752496,0.7596205472946167
1885,0.9817389855474934,0.756778359413147
1335,0.9755920093757157,0.7571482062339783
1911,0.9865326541652812,0.768796443939209
1620,0.9849060755392454,0.7660625576972961
1941,0.9863542469266655,0.7711414098739624
1329,0.9853289264111114,0.7700392603874207
1845,0.9194571156150264,0.9499168992042542
1227,0.9900995005515734,0.765170156955719
1084,0.9953937670230407,0.8630028963088989
1379,0.9925984420398883,0.8051856756210327
1966,0.9867827034697276,0.7678719758987427
1288,0.9888898149123087,0.7629092335700989
1164,0.9842487419328982,0.7627798318862915
1588,0.996866371715203,0.765008270740509
1533,0.9986767646006274,0.7654301524162292
1024,0.9875076581873294,0.7609575390815735
1759,0.9933007713066524,0.8157520294189453
1683,0.9973480833632646,0.8806310892105103
1636,0.9867620578024884,0.7747462391853333
1423,0.9958457844194822,0.7700455188751221
1402,0.9018805173927356,0.7718101143836975
1320,0.9806388844123821,0.7571142911911011
1159,0.9817374000776534,0.7602214813232422
1570,0.982410592325583,0.756827712059021
1080,0.9925216917461992,0.7724304795265198
1148,0.9827486696271882,0.7612002491950989
1491,0.9913426022476121,0.76579749584198
1946,0.9849599348357804,0.7687638998031616
1686,0.9814802552125755,0.761201798915863
1399,0.2148354370134908,0.7656116485595703
1776,0.9911330491510931,0.7624358534812927
1669,0.9818917337624384,0.7657787203788757
1109,0.9839565928607921,0.7564336061477661
1449,0.9650126186480008,0.7598668932914734
1914,0.9827231356711387,0.7530032992362976
1412,0.9993897021791701,0.7574520111083984
1436,0.9969188099325208,0.8036808967590332
1515,0.9939324363718764,0.756999135017395
1717,0.9878431500301637,0.7783024311065674
1895,0.9987216554438957,0.7596667408943176
1881,0.9925762012876205,0.8016443848609924
1685,0.9672045461605701,0.7624540328979492
1427,0.9871801923516841,0.7730749845504761
1154,0.9882682265480436,0.778857409954071
1791,0.9900431675911497,0.7900323271751404
1467,0.9913956032343477,0.7658686637878418
1882,0.9683456177562245,0.770047128200531
1319,0.9857760380509816,0.7719342112541199
1576,0.9798080763886309,0.7573592662811279
1906,0.9850744878207321,0.7640997767448425
1246,0.9876426207670977,0.7718353867530823
1230,0.9997572612221495,0.931962788105011
1043,0.9837111332367704,0.7646318674087524
1805,0.9997513590553726,0.7635045051574707
1614,0.9867251389709697,0.7684893608093262
1862,0.983773034304461,0.759070098400116
1676,0.9960842238760247,0.7637960910797119
1117,0.9799352594626882,0.7492812871932983
1275,0.9874030036274012,0.778054416179657
1215,0.9816712474616233,0.7589548230171204
1046,0.9849630390352845,0.7669934034347534
1127,0.13459995077587322,0.7569965720176697
1446,0.9836064827617687,0.7635570764541626
1828,0.9981818734953305,0.793940544128418
1204,0.9896033734343548,0.7830007672309875
1337,0.9798560540442547,0.7601795792579651
1369,0.9966444563636772,0.7644059062004089
1142,0.9999999976411578,0.99757319688797
1775,0.9919754142962025,0.7610234022140503
1074,0.9843912732531628,0.7586492896080017
1284,0.9845916719912868,0.7704470753669739
1785,0.9826299418578507,0.7639258503913879
1992,0.9738109999684025,0.7369145154953003
1009,0.9996884278345834,0.7596644163131714
1149,0.9795532996074714,0.7601368427276611
1714,0.9975445018127712,0.7634856700897217
1555,0.9818440456633671,0.7647932767868042
1786,0.9775171121121924,0.7648215889930725
1378,0.9851905181020666,0.7698732018470764
1218,0.9729718530131312,0.7563051581382751
1270,0.9829552006371634,0.76044100522995
