,y_hat
452,False
292,False
350,False
498,False
376,False
334,False
487,False
402,False
412,False
439,False
309,False
428,False
410,False
342,False
465,False
440,False
344,False
324,False
493,False
381,False
416,False
278,False
495,False
356,False
436,False
338,False
390,False
257,False
352,False
297,False
395,False
251,False
418,False
326,False
288,False
260,False
482,False
261,False
431,False
255,False
339,False
494,False
336,False
396,False
301,False
283,False
279,False
294,False
375,False
451,False
447,False
443,False
499,False
264,False
426,False
266,False
282,False
400,False
351,False
312,False
353,False
340,False
434,False
253,False
286,False
313,False
425,False
374,False
310,False
358,False
379,False
305,False
322,False
331,False
427,False
299,False
300,False
459,False
389,False
470,False
329,False
272,False
268,False
446,False
368,False
489,False
365,False
491,False
411,False
393,False
290,False
333,False
321,False
460,False
445,False
479,False
399,False
320,False
369,False
417,False
