,y_hat
2460,False
3783,False
3111,False
3985,False
2699,False
2625,False
3819,False
2518,False
2060,False
2132,False
3270,False
2703,False
2337,False
2181,False
3744,False
3437,False
2174,False
3645,False
3716,False
2162,False
2426,False
2823,False
3165,False
2156,False
2983,False
3426,False
2481,False
2769,False
2059,False
2910,False
3845,False
2456,False
2072,False
2774,False
2031,False
2941,False
2613,False
3671,False
2439,False
3347,False
3949,False
3595,False
2374,False
2692,False
2327,False
3406,False
2596,False
3478,False
2618,False
3176,False
2206,False
2275,False
3963,False
2933,False
2922,False
3048,False
3906,False
3791,False
3796,False
3095,False
2973,False
3315,False
2008,False
3032,False
3009,False
2893,False
2920,False
3254,False
2611,False
3272,False
2343,False
3082,False
3916,False
3097,False
3028,False
3530,False
3336,False
2252,False
3959,False
2100,False
3743,False
3190,False
3375,False
3350,False
2265,False
3237,False
2003,False
3408,False
3225,False
2887,False
3403,False
2897,False
3855,False
2463,False
3800,False
2203,False
3282,False
2567,False
3460,False
2002,False
3873,False
2109,False
3670,False
3164,False
3807,False
3435,False
2533,False
3900,False
2631,False
3353,False
2244,False
3679,False
3546,False
3147,False
2022,False
2208,False
2125,False
3540,False
2715,False
2993,False
3915,False
2192,False
3852,False
3954,False
2305,False
2749,False
3529,False
2483,False
2508,False
2781,False
3966,False
2758,False
2015,False
2972,False
2095,False
2942,False
2978,False
2669,False
2148,False
3789,False
2324,False
2218,False
2494,False
2940,False
3020,False
3675,False
3594,False
2752,False
2140,False
2361,False
3158,False
3130,False
3508,False
3366,False
2502,False
2087,False
2349,False
3404,False
3073,False
3402,False
2693,False
3105,False
3780,False
3116,False
3792,False
2357,False
3175,False
3764,False
3454,False
3185,False
3112,False
3398,False
2315,False
2639,False
3936,False
3052,False
2083,False
3022,False
3280,False
2033,False
3678,False
3199,False
2467,False
2844,False
3643,False
2395,False
3665,False
2312,False
3273,False
2102,False
2519,False
3641,False
3816,False
3799,False
2410,False
3587,False
3979,False
3612,False
3053,False
2371,False
