,x1,x2,x3
2589,0.0,0.0,1.0
2223,0.1,-0.0,0.9
2115,2.3,-0.0,4.2
3876,0.4,0.2,0.9
3098,0.1,0.1,0.8
2682,0.4,-0.0,0.0
2868,0.0,0.1,1.7
2446,0.0,-0.0,0.3
3410,1.3,0.3,2.0
3832,0.8,0.4,2.8
3854,1.2,-0.0,3.6
3807,0.1,0.1,0.0
3273,1.8,0.0,2.1
3056,0.8,-0.0,-0.0
2414,0.0,-0.0,0.3
3206,0.2,1.9,5.1
3588,1.0,0.2,3.3
2536,-0.0,0.0,0.6
2490,1.0,0.1,2.3
2251,1.1,3.3,0.0
2176,1.6,-0.0,4.8
2213,3.4,-0.0,7.1
2924,-0.0,-0.0,0.9
2792,1.3,-0.0,0.0
2846,0.8,-0.0,-0.0
2408,1.9,1.4,0.0
2368,0.6,0.4,5.6
3172,0.7,1.6,5.9
2506,0.3,-0.0,3.3
3551,0.1,1.6,3.8
3839,0.9,0.2,0.0
2933,0.4,0.5,4.2
2364,-0.0,1.5,3.5
3228,1.6,0.0,3.0
2987,0.6,-0.0,3.2
2618,0.5,0.0,2.4
2186,2.6,0.0,5.2
3394,1.1,-0.0,1.5
2843,0.7,0.0,1.9
2172,0.7,0.1,0.9
3242,0.3,0.0,1.0
3529,0.4,0.0,-0.0
2411,0.1,0.0,3.0
3754,1.0,-0.0,0.0
2964,0.4,0.3,1.3
3484,0.0,0.3,7.2
2913,0.1,0.4,0.0
3999,2.6,0.0,0.0
3955,0.8,1.9,0.0
3323,1.0,0.7,3.1
2937,-0.0,0.2,-0.0
2416,0.0,0.1,0.2
3093,0.0,-0.0,0.4
3388,1.2,0.0,-0.0
3778,1.6,0.2,-0.0
3171,-0.0,1.3,0.0
2056,0.1,0.1,-0.0
2619,0.1,0.3,1.6
2055,0.0,1.9,-0.0
2095,0.9,0.0,-0.0
3337,0.1,-0.0,4.7
2374,0.0,0.0,0.7
3659,2.0,1.7,0.0
3275,0.0,-0.0,3.9
2660,1.8,-0.0,4.0
2324,1.4,0.0,0.0
2592,0.6,1.3,5.3
3823,-0.0,0.5,1.5
3181,0.3,0.2,1.9
2122,0.7,0.6,4.2
3985,0.5,0.4,3.6
3639,0.4,-0.0,-0.0
3310,-0.0,0.4,0.0
3338,0.2,0.1,0.0
3339,0.1,0.1,0.0
2098,1.4,1.3,4.1
3522,0.5,-0.0,2.6
2295,0.6,0.1,0.7
2409,0.5,0.1,6.8
3059,0.6,1.5,0.0
2640,0.4,0.6,6.7
3816,0.1,0.1,0.0
2170,0.0,0.7,1.8
3292,-0.0,0.2,0.7
2321,0.1,0.0,-0.0
2548,1.3,-0.0,0.0
3724,-0.0,0.0,0.8
2830,0.0,0.1,-0.0
3355,0.7,0.0,1.8
2740,1.9,-0.0,3.3
3153,0.2,0.0,-0.0
3091,0.4,0.0,0.0
3971,1.3,1.0,5.5
3974,0.3,0.0,1.9
3087,0.0,0.2,0.9
2025,0.0,0.2,0.7
2537,0.3,1.5,3.9
3780,0.1,0.0,1.4
3741,0.2,0.9,2.0
3362,0.0,0.6,0.5
2131,0.2,0.0,-0.0
3692,1.1,0.1,3.6
2916,1.4,-0.0,2.3
3552,0.1,-0.0,-0.0
2196,1.9,0.0,3.5
2059,0.3,0.4,2.1
2159,0.9,1.0,0.0
3996,-0.0,0.0,2.3
3728,0.0,-0.0,0.1
3905,0.4,0.0,0.8
3761,0.5,-0.1,-0.0
3882,0.0,0.6,1.3
2824,0.1,-0.0,-0.0
2260,0.8,0.0,0.0
2527,0.2,0.3,1.4
3595,0.7,0.0,1.0
2926,0.7,0.1,1.8
2816,1.2,-0.0,1.3
2396,0.4,0.1,0.7
2815,0.1,2.2,0.0
3527,-0.0,0.9,1.5
3119,1.5,0.1,0.0
2637,1.0,-0.0,3.6
3380,0.5,0.2,1.4
2907,2.1,0.0,2.2
2192,0.3,1.1,-0.0
2902,1.8,0.0,-0.0
3760,0.1,0.1,0.0
2404,0.0,0.2,4.8
3766,0.0,-0.0,1.8
2495,-0.0,0.1,1.1
3406,0.7,0.0,0.0
3624,0.2,2.1,-0.0
3793,0.6,1.1,0.0
2293,0.1,0.2,0.2
2795,-0.0,0.0,0.9
3365,0.6,0.2,0.0
3919,0.9,0.1,1.6
3216,0.0,0.4,0.0
3049,0.7,1.0,0.0
2177,0.2,0.0,4.4
2494,0.1,0.0,0.0
2671,1.0,0.0,7.3
2217,0.2,0.1,1.3
3444,2.5,-0.0,5.8
2075,1.0,-0.0,3.6
2511,0.8,1.9,0.0
3903,-0.0,0.8,0.0
3661,0.5,0.6,3.3
2403,0.6,0.0,0.0
2277,-0.0,0.1,0.2
2169,0.6,0.8,2.6
2256,2.2,-0.0,-0.0
2247,0.1,0.1,0.7
2752,0.0,0.6,4.0
3208,1.9,0.0,4.8
2479,-0.0,0.2,1.5
3538,0.1,0.1,0.0
2202,0.7,0.8,3.5
3995,0.0,0.1,0.2
3009,1.1,0.2,2.3
2466,1.6,0.5,4.3
2234,0.4,0.2,1.8
2549,0.5,-0.0,1.3
3620,0.8,0.1,3.3
2746,0.4,1.0,0.0
2254,0.2,-0.0,0.0
2426,0.3,0.9,2.6
3920,1.4,2.1,0.0
2080,1.9,0.0,4.3
3063,0.8,1.2,4.1
2014,0.5,0.1,0.0
2129,0.5,-0.0,4.0
3279,0.2,0.7,2.7
2092,0.9,-0.0,2.6
3676,2.3,3.1,9.4
2510,0.4,0.2,0.0
2008,0.1,0.0,-0.0
3095,1.2,0.0,3.3
2957,1.9,-0.0,7.0
3138,1.1,0.0,-0.0
3179,0.7,0.1,-0.0
3132,0.7,0.6,-0.0
3303,-0.0,0.1,-0.0
3027,0.2,0.1,1.2
2699,0.2,-0.0,0.8
2915,-0.0,0.2,0.0
2899,1.0,-0.0,0.7
3525,0.0,0.2,1.7
2614,1.4,0.0,-0.0
3463,0.2,2.5,10.2
2693,0.6,0.0,-0.0
2588,0.5,0.7,2.1
3804,0.3,0.0,0.0
2337,0.2,0.5,1.8
3598,0.4,0.1,1.0
3686,0.1,1.0,4.4
3941,0.0,0.0,0.1
3722,-0.0,0.4,-0.0
