,x1,x2,x3
2473,0.48662585,1.1638181,0.13903877
3920,0.1781253,0.7564928,1.0123454
2538,0.42180175,0.54118466,1.0275983
3980,0.6648741,0.695035,1.3620312
3105,0.21980906,-0.7158888,2.172934
2269,0.8827645,0.76678455,0.21713734
3348,0.16852315,0.73855937,1.054234
2289,0.1655144,0.84360516,0.83723295
2275,0.7168337,0.34202352,0.76739585
2431,0.45722803,0.6104568,0.60893357
2736,0.26454034,0.34560505,1.1843987
2444,0.777363,1.0409447,1.9265838
3225,0.7106222,0.4088679,0.5691365
3829,-0.40180534,1.2930456,0.79306275
3989,0.08332419,0.8869402,0.87750316
2382,0.1917532,0.77255666,0.9071813
3626,0.8384216,0.14059258,1.0315307
3234,0.31347033,0.99609566,1.163117
3090,-0.2529442,0.27876258,1.5640795
2429,0.16494131,0.6456579,0.9011431
3359,-0.30444127,1.3027061,1.0003268
2034,0.12233929,0.6962916,0.8160709
2752,-0.24353404,0.511644,1.5234321
2706,0.30756894,0.49422544,0.9890259
2586,-0.04658296,0.9453168,0.9460344
3024,0.036405575,1.1458918,1.2333453
2928,0.72479856,1.9032419,-0.86995876
2816,0.12115256,0.74605143,0.8356997
3415,0.47934595,0.5755793,1.1048679
2829,-0.5066301,1.3551335,1.0395744
3365,1.0305699,0.08829665,1.0302114
2440,0.17466173,0.9050971,1.0214759
2043,0.68567383,0.06742816,0.955655
2717,0.13808788,0.65891254,0.93246055
2349,0.08982954,0.8594308,0.86600053
3631,0.21352933,-0.9519111,2.5334923
3742,0.5001321,0.4966943,0.8492588
3156,0.011030382,0.6076166,1.0789026
2488,0.4688335,0.28958252,0.9520179
3485,0.11569455,0.8196274,1.0025002
3826,-0.1506449,1.0885069,0.9383931
2591,-0.08466935,0.9543316,0.8204571
3119,0.62216127,0.09782889,1.0463895
3645,0.45328146,0.46964207,0.98472804
3249,0.50450027,0.47910744,0.90075636
3042,0.46996182,0.36157426,0.9763067
2122,0.0046236753,0.776937,1.050087
3894,0.29569608,0.568244,0.78081083
3605,0.38819882,0.5687278,0.95745534
2803,0.05193021,0.8502902,0.9381976
2939,0.068605766,0.71233916,1.1423966
3603,0.22166964,0.8226893,0.9779176
2864,0.4389935,1.6595626,-0.2809352
2869,0.69412386,0.27409148,0.861765
3231,-0.027045941,0.619512,1.1680727
3697,0.547809,0.70565283,0.48937392
3229,-0.054752886,0.7641796,1.0980495
2555,0.1607163,0.8196949,0.86917645
3071,0.1088943,0.8073943,0.91367435
3519,0.10962041,0.81742084,1.0411346
3797,1.0658327,-0.06466396,0.8374459
3470,0.2537361,0.80517673,0.6390509
3074,0.43661523,0.69804144,1.0613828
2091,0.3980132,1.0215621,0.33970207
2284,0.9373497,0.8258184,1.7884095
2288,0.54665226,1.3040749,-0.13585362
2882,0.17457896,1.1169064,0.51172763
3425,0.9133714,0.15606284,0.9914022
3196,0.24520054,0.5288965,1.1098046
2511,0.34007117,1.2084289,1.5220598
2481,0.46196392,0.46071348,0.94926304
3446,-0.25293168,0.12004433,1.9832737
3535,-0.28976735,1.1729226,0.94737995
3793,1.0646876,-0.05210247,0.91136485
3204,-0.64718294,1.5744269,0.88453656
2065,0.29111832,0.47148967,0.8572118
3868,0.53300035,0.5032431,0.9064293
3352,0.4310342,0.41694567,1.0222588
3562,1.0941821,-0.1172446,0.8455966
3015,0.17001311,0.6370188,0.9409509
3095,0.11269753,0.77701294,0.8089662
2052,-0.043684673,0.93415296,0.8993486
3586,0.2796978,0.64946127,0.91153294
3215,0.23703165,0.76287884,1.0912
2974,1.0481197,-0.18788831,0.8745672
3308,0.48449624,0.49360964,1.0305096
3028,0.5421145,0.31478554,0.8174458
3023,0.47907186,0.63661134,1.119171
3656,0.28030702,0.5830103,0.82856584
3536,0.66149586,0.31321904,0.85114574
3403,0.029590953,0.93030465,0.89033675
2579,0.46734613,0.8647903,0.63038844
2835,0.4668637,2.278738,-0.90054333
2144,1.1123613,-0.29168987,0.90755
3892,0.08048244,0.70835316,0.9961723
3014,0.7356193,0.081238985,0.88458735
3123,0.7151537,0.4497142,0.6478289
3840,0.22600898,0.27773106,1.3969622
2170,0.26626152,0.60820735,0.8788891
2459,1.3056184,-0.35605884,0.81724614
3904,-0.14805003,0.9930537,0.86905676
3879,-0.43163276,1.3478549,1.0069182
2223,0.2173469,0.6292659,0.83678406
3144,0.5733393,0.14764838,1.0672609
3914,0.9517196,0.84671557,-0.06509211
2008,0.7322165,0.4307186,1.1423551
2308,0.4753488,0.43251073,0.87088996
2740,0.033509374,0.6824283,1.1141146
2926,0.16867402,0.8870716,0.96355426
3871,0.9024056,-0.037552893,0.894274
2575,0.22532752,1.3581384,0.17447571
3696,0.4858448,0.4621348,1.0791693
2453,-0.22625788,1.0555961,0.96516305
2352,0.82471776,0.16391289,1.0602199
2761,0.55897045,0.62556034,1.1543955
2422,0.26003,0.9440875,0.36581492
2663,0.75114214,0.19651234,0.91532713
3397,0.021694059,0.9692134,0.7449634
2720,0.3436008,0.1760821,1.1205493
2767,0.06380134,0.7916754,0.942698
3037,0.38339818,0.741152,0.6523007
2800,0.0977598,0.32598758,1.3186308
2389,0.6031423,0.84385794,1.4229535
2239,0.061582934,1.1252846,1.1105582
3710,0.59058684,0.35451716,1.0928082
3526,0.0818377,0.8778316,0.88409257
2776,0.801704,0.12680185,0.854826
3278,0.31520858,0.66500545,0.988738
3549,1.0077883,-0.066614434,1.0130283
2096,-0.192036,0.37165236,1.6707978
3322,0.29828706,0.62585604,0.9348916
3689,0.25527608,0.5616906,0.76488096
3085,0.34692812,0.6128909,0.92854315
2679,0.8427461,-0.25705418,1.1828643
2851,0.13994375,0.7689668,0.92903227
2988,0.6523378,0.25749338,0.7889268
3945,-0.108399235,1.0807511,0.82512206
2241,0.48383147,-0.07530181,1.3648703
3257,-0.1119503,0.9808712,0.9914926
3569,0.5817915,0.41709015,0.92769814
2105,-0.708876,1.6874889,0.95353216
2439,-0.19800957,1.0401533,0.97897637
3783,0.7507833,0.21959746,0.92335916
2650,0.22555575,0.8579725,1.0172243
2799,0.14097697,0.8399601,0.9064408
3807,0.021535922,1.0395145,0.98666906
3220,0.5082946,0.43037713,1.0285665
2305,-0.06866257,0.7351318,1.1500323
2131,-0.10394285,1.0561125,1.0781116
2759,1.0935344,1.6087087,0.43039587
2479,0.8367541,0.17231262,1.1347675
2466,0.678902,0.7493263,0.63349384
2809,0.68525034,0.05639305,1.003732
3620,0.12169527,0.88226825,1.0480837
2526,0.37387246,0.7029195,0.9502343
3075,0.81901485,0.21262014,1.04891
3407,0.16313078,0.76661104,0.96769786
2405,0.784572,0.49819526,1.248562
3251,0.21345404,0.22945327,1.150737
2534,0.29821628,1.0600382,0.33752903
2282,0.8617332,-0.041664578,1.0058912
3940,0.9593895,0.25775534,1.0752062
2954,0.045481015,1.0438827,0.89779824
2938,0.4503278,0.3058891,1.1206553
3864,0.46400025,0.8846679,0.4816955
3691,-0.040130544,1.8114144,0.016575884
2180,0.032212533,0.7761923,0.93832934
2480,0.06062759,0.76178914,0.91588277
