,x1,x2,x3
2169,1.2,0.0,0.0
2914,0.6,0.0,0.2
2004,0.1,1.1,2.8
2291,0.5,0.7,-0.0
2938,1.8,0.0,2.6
3718,0.9,0.0,1.8
2407,0.5,0.0,-0.0
3089,0.2,0.6,2.3
2935,1.2,-0.0,5.4
3494,0.4,0.0,0.0
3445,1.1,-0.0,-0.0
3609,1.0,-0.0,0.9
2158,1.1,0.0,2.6
2672,1.1,-0.0,-0.0
3992,0.4,0.0,0.6
2676,0.5,0.0,0.0
3341,0.9,0.0,0.0
2248,0.9,0.7,0.0
2779,0.5,0.0,-0.0
2141,0.3,0.8,2.5
3324,0.0,0.0,0.1
3092,1.0,-0.0,-0.0
3024,0.2,-0.0,-0.0
2808,0.9,0.0,-0.0
3419,0.3,0.0,0.0
3527,0.2,-0.0,0.2
3936,0.2,0.4,-0.0
3805,1.1,0.0,0.0
3218,0.9,1.8,-0.0
2272,0.4,1.3,-0.0
2029,0.4,0.0,0.0
3261,0.1,0.7,-0.0
2528,0.1,-0.0,-0.0
2321,0.7,-0.0,-0.0
2107,1.7,0.0,4.5
3402,0.0,0.9,3.1
3198,0.0,0.9,2.2
3525,0.2,-0.0,0.9
3299,0.2,0.7,2.2
3461,0.3,1.0,3.1
2497,0.0,2.5,-0.0
3653,0.2,0.0,0.0
3356,0.8,-0.0,1.4
3882,1.6,2.1,4.2
3151,0.8,2.8,5.0
2534,0.3,1.4,0.0
3225,0.7,-0.0,0.4
2213,0.7,0.0,-0.0
2304,0.7,0.8,5.7
3620,1.3,1.3,5.6
3756,1.2,0.0,4.2
3314,1.0,0.0,1.5
3901,0.2,-0.0,0.0
3286,0.9,0.9,2.1
3564,0.1,-0.0,-0.0
2452,0.3,0.6,1.6
3835,0.1,0.6,0.0
2125,2.9,0.0,6.8
2722,0.7,2.1,4.6
2067,-0.0,0.1,0.2
2262,0.0,-0.0,0.4
3663,0.9,1.6,-0.0
2720,0.1,0.9,-0.0
2636,0.2,-0.0,-0.0
3428,0.9,1.8,4.2
3482,0.5,0.0,0.8
3050,0.6,-0.0,0.0
2685,1.0,2.7,-0.0
3833,0.1,0.0,0.0
3110,1.1,-0.0,0.6
3588,0.1,1.7,-0.0
3676,0.4,1.8,4.7
2594,0.1,0.7,2.6
3231,1.2,0.0,2.1
