,x1,x2,x3
2710,1.8,0.3,2.0
2385,1.6,7.2,11.1
3461,1.6,2.6,4.2
2423,1.0,3.0,4.6
2286,1.3,-0.0,-0.0
3154,3.2,0.0,3.2
2717,0.1,0.0,1.5
2337,0.5,1.3,0.0
2357,2.2,2.6,5.7
3429,1.6,0.0,0.0
3941,1.8,0.0,3.0
3614,1.7,0.0,0.0
2583,2.0,4.2,2.8
2756,0.9,2.3,3.1
3225,0.9,0.4,-0.0
2379,1.6,-0.0,0.0
3558,1.6,0.0,2.8
3880,0.4,0.9,2.8
2138,1.4,0.1,0.0
2026,0.7,0.0,2.2
2857,0.5,1.7,-0.0
2692,1.3,2.1,0.0
2440,0.5,1.8,2.0
3927,1.6,0.0,0.0
3911,1.1,1.6,-0.0
3068,0.7,2.5,0.8
2509,1.6,1.0,2.9
2778,1.4,1.7,-0.0
3497,2.1,0.0,-0.0
2361,1.0,1.4,0.0
3315,1.1,1.4,2.3
2796,0.8,0.5,-0.0
3939,1.8,4.4,6.2
2653,1.7,2.4,-0.0
3703,0.1,-0.0,1.4
3035,1.3,2.2,4.2
3943,1.6,0.0,0.0
3402,1.8,0.0,-0.0
2040,1.5,0.0,-0.0
3215,1.6,0.0,0.0
3108,1.2,0.0,-0.0
2540,1.4,3.1,4.6
2346,1.8,0.0,1.4
2196,1.0,2.3,-0.0
3447,-0.0,2.2,1.9
3479,2.3,0.0,0.0
2614,2.1,4.1,6.7
2969,1.6,1.1,-0.0
2822,1.6,0.0,2.1
3348,1.0,0.4,1.8
2884,1.7,0.0,-0.0
3801,0.7,1.3,-0.0
3603,1.1,0.3,0.9
2773,3.3,1.4,3.1
2076,1.4,0.0,4.5
2929,1.5,0.9,2.5
3697,0.7,1.8,0.0
3960,2.0,0.5,4.6
3306,1.3,0.0,3.4
2603,0.6,-0.0,-0.0
2491,2.6,3.1,-0.0
3317,1.8,1.7,3.4
2426,1.5,-0.0,0.0
2134,0.3,4.8,7.7
2135,1.1,-0.0,0.0
2132,0.9,2.2,0.0
3476,1.4,3.9,5.6
2911,0.2,1.7,3.0
3155,1.3,1.6,-0.0
2427,0.5,0.7,1.9
2699,0.4,1.0,0.0
2193,1.7,-0.0,1.0
3932,2.5,4.1,6.8
2410,0.4,2.3,-0.0
3953,2.4,0.9,5.0
3640,0.7,0.8,3.3
2575,0.2,-0.0,1.8
3862,0.2,3.5,-0.0
2739,1.5,-0.0,0.0
3920,1.3,0.0,1.0
2738,0.8,3.6,4.5
3082,0.2,1.3,4.0
2014,1.4,-0.0,0.0
2965,1.9,-0.0,-0.0
3870,0.7,0.0,-0.0
3095,1.5,0.8,2.3
3094,3.0,2.0,6.5
2704,1.2,0.2,0.0
3174,1.6,-0.0,0.0
2663,1.1,0.0,0.9
3753,0.2,0.7,1.8
2455,2.0,2.2,0.0
3392,2.4,-0.0,3.7
2289,0.8,0.8,-0.0
3460,1.2,0.0,0.0
3635,1.8,-0.0,0.0
2725,2.6,-0.0,0.0
3647,0.5,-0.0,1.1
3937,1.4,2.1,-0.0
2781,0.3,1.4,-0.0
3633,2.7,-0.0,0.0
3246,1.8,2.1,5.5
2571,0.4,0.0,1.8
3321,2.3,2.5,4.4
3365,2.8,0.0,0.0
2332,0.9,0.4,1.4
3831,0.5,0.8,-0.0
3395,2.1,3.2,5.4
3780,0.8,0.0,-0.0
2570,1.0,0.0,0.0
2807,1.7,3.2,5.2
2867,1.5,4.1,6.3
3492,1.6,0.0,-0.0
3169,1.7,1.9,4.1
2137,0.5,-0.0,0.0
3308,1.5,2.9,-0.0
2722,0.6,4.3,6.0
3602,2.5,-0.0,5.5
3757,-0.0,2.3,0.0
2501,0.9,2.4,-0.0
3749,1.4,0.0,-0.0
3962,0.8,1.4,-0.0
2392,2.3,-0.0,0.0
2279,0.8,2.3,-0.0
3534,1.7,0.0,0.0
3968,1.4,2.7,-0.0
2823,1.4,0.1,0.0
3685,0.2,-0.0,1.2
3189,1.5,3.1,4.2
2906,0.6,1.8,0.0
2886,1.7,2.5,6.1
3833,1.0,-0.0,1.3
3550,0.8,0.0,-0.0
3604,0.7,0.0,-0.0
2144,-0.0,2.1,0.0
2409,2.5,2.8,5.7
2298,1.9,2.9,4.9
3051,1.9,0.0,-0.0
2169,2.1,0.0,0.0
3488,2.0,-0.0,-0.0
3371,2.1,2.1,2.0
3362,1.3,3.6,0.0
3657,2.3,4.1,6.2
2288,2.2,-0.0,-0.0
2989,1.0,0.4,1.3
2669,0.6,2.5,-0.0
2448,1.5,0.0,0.0
2900,1.5,0.0,0.0
3041,1.2,-0.0,0.0
3401,1.5,-0.0,0.0
2982,0.7,0.0,2.3
3506,2.0,-0.0,3.6
2221,1.0,0.5,-0.0
3228,1.3,0.0,1.5
3612,1.5,0.4,0.0
3004,1.3,2.8,3.9
3934,0.3,1.9,-0.0
3810,1.9,3.5,5.2
2256,1.1,2.3,0.0
2783,0.4,1.7,2.5
3337,0.1,0.9,1.4
3543,0.8,-0.0,0.0
3394,2.6,2.6,5.0
3270,0.0,1.9,0.0
3144,0.2,1.8,2.0
3319,1.3,2.6,4.3
2907,1.2,0.0,4.1
3103,0.7,0.8,0.0
2821,0.3,1.3,0.0
3129,3.1,0.0,5.7
3288,1.2,0.0,1.0
2487,1.7,0.0,0.0
2970,0.5,0.5,1.4
2493,1.5,-0.0,0.0
2495,2.0,2.0,0.0
3839,0.7,3.2,0.0
3785,0.6,0.7,0.0
3917,1.4,0.0,-0.0
2687,1.6,1.3,-0.0
2592,1.4,-0.0,-0.0
2316,1.1,4.5,0.0
3655,1.3,2.2,0.0
3651,1.2,1.3,2.3
3752,1.1,4.0,5.1
2720,0.5,0.9,2.3
2180,0.7,1.6,2.2
3341,1.4,-0.0,0.0
2488,0.6,0.7,1.7
3500,1.6,0.0,-0.0
2934,1.1,0.0,0.0
3526,-0.1,-0.0,-0.0
2617,1.8,0.5,2.5
2123,1.4,2.0,-0.0
2036,2.0,1.3,-0.0
3339,2.3,0.0,4.6
2930,1.7,0.0,-0.0
2533,0.2,2.6,3.2
3471,0.5,1.0,0.0
3153,0.6,3.7,-0.0
3644,1.2,2.1,-0.0
