,x1,x2,x3
3913,-1.6160469,-1.7172135,0.37181035
3474,0.41029736,-0.61265457,0.5140546
3086,-0.767205,1.0045193,0.39484122
2017,-0.6510526,-1.4919095,0.39057714
2493,-0.61211985,-0.8067476,0.43791115
2674,-0.16588181,0.9163773,-0.31998855
3376,0.84443474,0.94002026,0.2592225
2279,0.6359862,-1.3068862,0.48017964
3989,-1.9412415,-0.55730116,0.3929717
2294,-0.38679996,-0.20549496,0.42847055
3008,-1.6294246,-0.40872896,0.3539752
3406,-1.6219084,-2.8203323,0.3940792
2067,-1.0994421,-2.2434607,0.42402905
2889,0.76155174,1.8517768,1.7728045
2695,-1.377339,-1.3981779,0.3969652
2550,-0.8437603,-0.59146726,0.43272167
3945,-0.4321571,-1.4262514,0.39768285
2171,-2.3131378,-4.292993,0.3537031
2191,-1.3246709,-3.176542,0.46450004
2576,-1.0241013,-2.2060602,0.5348312
3079,-0.63369524,-0.29814675,0.39802977
2955,-0.93662417,-2.7202783,0.46262088
3556,0.15328409,-0.3098535,0.44779092
2531,-0.55902314,-1.2410897,0.47324905
2223,-0.9331106,-1.218425,0.4001657
2149,-0.58826697,-1.1441,0.3971116
3813,0.19046734,-1.086696,0.4860131
3294,-0.57326305,-2.0659165,0.47477347
3594,-0.8198755,-1.1200393,0.43508005
2385,-0.83178496,-1.2441995,0.38334283
3109,-1.9636956,-3.5959873,0.36453494
3905,-0.24284181,-1.3832854,0.49387914
2063,-0.3750221,-0.5557359,0.47626835
3209,-1.6747597,-1.2044089,0.31948966
3225,-0.384522,-0.692927,0.39813676
3154,-2.6661584,-2.4814649,0.29705638
3185,-0.40902495,-0.44444466,0.4330555
2799,-0.63442665,0.008245409,0.390685
3636,-2.0040765,-0.6836356,0.28710905
2082,0.6052924,-2.0238898,0.49749106
3096,0.26406837,0.3155935,0.48561484
2858,-0.56271017,-0.71500945,0.4035231
3435,-0.15750664,0.02485275,0.53355706
2979,-0.04817112,0.7886388,0.4936418
3540,-3.0546317,-2.8069036,0.22452441
3937,-1.0608174,-1.6486198,0.42823568
3892,-0.23386167,0.83954406,0.45885882
3661,-0.15490742,0.26880443,0.49297762
2035,-1.3090689,-0.79749304,0.36467934
2344,0.51478136,0.4434738,0.46676323
2362,-0.94053227,-0.14557248,0.44094446
3929,-1.7339212,-2.0389674,0.35322157
2268,-0.36862645,-2.259512,0.4553063
3372,-0.42025813,0.37539408,0.4202281
2196,-0.89992905,-1.999334,0.40604615
2468,-1.3264283,-1.5429755,0.3534456
3590,-2.715714,-3.950873,0.3375888
3881,0.32729623,-2.0744243,0.491535
2377,0.6034186,0.3233557,0.4981241
3023,-0.38773915,-0.3747505,0.3958081
3931,-2.3225102,-1.9454974,0.4060933
2355,0.21478002,-0.42786425,0.43637723
3793,-1.6174568,-0.55881286,0.38410544
3042,-0.2566161,-0.54335713,0.48572105
3503,-1.0015074,-0.71494013,0.46755752
3970,-0.64937407,-0.33732173,0.4371449
2786,-1.5080032,-2.0717363,0.36751834
2994,0.5821,0.24237755,0.5317747
3395,-0.35015446,-1.3447598,0.41147017
3255,-1.5787183,-1.9036386,0.38913637
3451,-1.105753,0.018132448,0.34410602
2483,-1.3581519,-0.5806111,0.3627419
3808,-0.038407777,-2.182465,0.49977827
3057,-1.6428192,-1.0667253,0.4582916
2412,-0.029008612,0.12055829,0.44882214
2943,0.0068764216,0.7329956,-0.4924187
3612,-0.3189691,0.12278688,0.47814488
3384,-0.14467178,-0.13321121,0.39992258
3816,-1.2836599,-2.5684757,0.3531947
3763,-1.8616705,-1.2205982,0.29103255
2221,-0.26090977,-0.3889976,0.46641052
3981,-1.2606813,-1.7466489,0.36006156
3113,0.33405772,-0.34435394,0.47437832
2511,-1.3688054,-0.6514695,0.3734324
3053,-2.3673882,-2.5829349,0.30288714
3520,-0.712023,0.4779364,0.3627859
2246,-1.2992951,-2.004241,0.3827197
2932,-3.066198,-3.473191,0.3670146
3951,-1.3623359,-3.0806284,0.4305993
2109,-1.3025306,-1.5127015,0.35798073
3983,-0.63320035,-1.4955627,0.48177218
3273,-0.5865228,0.0758366,0.41099238
2181,-1.3388844,-0.85733604,0.37841994
2469,-1.4303536,-2.302157,0.33832026
3140,-1.8327996,-1.8454139,0.36423483
2940,-1.1449503,-0.57291573,0.39826927
2006,0.6584777,-0.35251695,0.52680945
2703,0.5624478,-2.320904,0.56165624
3643,-0.54203093,-1.5767913,0.4636399
2635,-1.4253069,-1.6549217,0.35262036
3389,-0.8929331,-2.2362764,0.43976727
2904,0.0068079922,-2.0065043,0.46613383
3780,-1.3420486,-1.0904229,0.38954407
2507,-1.2653072,-2.3082309,0.35064802
3689,-0.44589305,-0.7274271,0.46356946
2920,-1.9851016,-3.6558049,0.35424662
3519,-1.1250182,-1.2598594,0.33737522
3235,-0.8707752,-0.5824866,0.36919
3692,-1.5105587,-0.6581273,0.31316337
2005,-1.6156749,-2.051423,0.33450183
3557,-1.1012257,-2.1735888,0.39031273
2124,-1.3780476,-1.5512564,0.39980382
3437,-1.3511827,-1.6141771,0.3358953
3367,0.059337977,0.099081725,0.4413871
2386,-0.06684794,0.9781032,0.28194177
3202,-0.03967272,-1.7048844,0.51639575
2628,0.059008405,-0.010867275,0.4620462
2612,-1.1812383,-0.65837115,0.3526296
2431,-0.7485143,-1.0774109,0.4518759
2460,0.285646,-1.4808608,0.5497236
3186,-0.25866842,-0.7392296,0.42857048
2367,0.04807016,0.31744567,0.48343015
2457,-0.16164257,-0.57490087,0.4458629
3398,-1.6411799,-1.7522565,0.39100632
2518,-0.5809667,-1.0994399,0.45303336
2289,-0.22636731,0.26456475,0.44042474
2030,-0.9733227,-1.4145824,0.40204602
3789,-0.8568164,-0.6364478,0.39224762
2141,-1.5474987,-1.6332384,0.36039472
2219,0.29751244,-0.70826864,0.518512
2748,-0.3645058,-1.1573547,0.44771248
2625,-1.105219,-0.9460383,0.37441325
2208,-1.9811935,-2.3626788,0.33632794
3017,-1.1265178,-0.78193796,0.41585988
3093,0.809969,-1.2422068,0.52631867
2924,-0.65162295,-0.43580315,0.41018197
3925,0.75760937,0.79944503,0.105766416
2808,-0.20340943,0.726026,0.44945896
3538,-0.8098556,-0.30740398,0.40540984
2020,-0.489261,0.30718538,0.45508677
2693,-0.45825627,-0.6787064,0.40279382
2106,-0.36735514,-0.16684644,0.39522046
3760,-1.2921855,-0.5396959,0.34696704
2948,-0.76616037,-2.1268692,0.44192567
3901,-1.2256237,-2.0655267,0.33772492
2160,0.17510407,-0.5936122,0.5015614
3353,-0.7709298,-2.1520553,0.4433158
3668,-0.71520656,0.42612523,0.37885344
2234,-2.136179,-3.2255125,0.36703056
3669,0.37974867,-1.0905654,0.4889804
2964,-0.45278612,-1.1333022,0.48142174
3499,-0.8634481,-2.519217,0.3933073
3638,-0.87370485,-0.88393694,0.4218401
3819,-0.9839646,-0.4323048,0.34987614
2463,0.75776845,1.2133186,1.3771727
2654,-2.8334816,-2.7833903,0.36871642
2152,-0.84503096,-0.9233153,0.42543575
2671,-1.3506546,-0.25794876,0.3710791
2973,-1.2784779,-0.99284124,0.4093931
3938,-0.20895581,0.0677634,0.42845672
3382,-0.72933537,0.11453271,0.3709794
2396,1.2127148,-0.6349088,0.31708604
3377,-0.44670746,0.04964876,0.5708615
2956,0.26589155,-1.4401677,0.45196262
2093,-0.79736155,-0.47942147,0.4513921
3073,-0.050211206,-0.7529606,0.49522883
3238,-1.2414632,-2.7110047,0.45721436
3064,-1.241185,-0.81819797,0.3922763
2618,-1.321184,1.12193,0.32247853
2990,-0.40239614,0.14033419,0.43327957
2326,-2.2189946,-1.6835042,0.32728705
2745,-1.1338905,-1.1203848,0.39995623
3313,1.0338336,-0.86458755,0.5584428
3337,-1.5576102,-2.912496,0.38728827
3645,-1.6744903,-1.9678901,0.36871487
2496,-2.2566183,-2.4212646,0.33177185
3873,1.0954163,0.10762522,0.3332262
3022,-0.8262624,-0.40353748,0.43128127
2873,-0.06299497,-1.5524998,0.5191269
3680,-1.1034523,-3.130021,0.44552356
3799,-2.9668272,-4.205341,0.25305605
3021,-0.0039547305,-0.9523729,0.42589387
2631,-0.07934634,-1.2492892,0.45648316
3796,-0.8707612,0.14578456,0.41724572
3912,0.6613545,-0.31353903,0.11306772
3977,0.45559224,-0.55791616,0.4692297
2089,-0.9216553,-1.0996346,0.35765615
3149,0.31559905,0.044469833,0.43652248
3478,-1.2724127,-1.9115447,0.40275875
2038,-0.15668379,-2.1141124,0.50029814
2724,-0.037657548,0.9243365,0.56377137
2374,-1.2500812,-0.7201685,0.31952658
3836,-0.967958,-2.8021004,0.551437
3161,-0.7859516,0.09934789,0.38601834
2872,-0.23246463,1.0897086,-0.4694249
3639,-0.37568676,-0.42953855,0.47547922
2443,-0.41086417,-1.4265349,0.40590692
3542,-0.32555094,0.21906736,0.40512636
2337,-1.2521255,-2.1218987,0.34443372
3385,-0.82022935,-0.46844923,0.40253055
