,h_post,h_post_individualized
2473,0.8732578693507166,1.0
3548,0.9511842856407684,1.0
2536,0.9096801755216346,1.0
3980,0.8868035303409731,1.0
3090,0.47943055586908445,1.0
2280,0.9345398479311378,1.0
3332,0.8638190633352703,1.0
2299,0.8220552176014497,1.0
2284,0.9036178932933281,1.0
2432,0.747975213826154,0.6905279159545898
2732,0.8889893724689225,1.0
2443,0.9174705479761203,1.0
3203,0.9738146407084143,1.0
3259,0.9072670205357147,1.0
3990,0.7167558979230411,1.0
2389,0.9445799857596031,1.0
3619,0.8137096818839837,1.0
3214,0.8135664964618383,1.0
3073,0.8505283146289043,1.0
2429,0.8606787015323136,1.0
3347,0.45696583333025254,0.24783653020858765
2036,0.8789798850448229,0.7730687856674194
2749,0.8059147515627495,0.671596348285675
2699,0.8650699797841936,1.0
2592,0.7426044826394884,0.5632432103157043
3012,0.700583632178511,0.4154451787471771
2909,0.9325677267810698,1.0
2803,0.8404022174718752,1.0
3398,0.8110946481492225,1.0
2816,0.9520071467420188,1.0
3352,0.8527119839046332,0.7215437889099121
2440,0.8904531470195185,1.0
2045,0.8102713496757873,1.0
2710,0.9172609492074284,1.0
2356,0.9381226385535361,1.0
3266,0.8925383505140329,1.0
3746,0.8553033075362103,0.7308229207992554
3142,0.9069507654014672,1.0
2491,0.8384878605716672,1.0
3478,0.4639385136570752,1.0
3501,0.9120685419000865,1.0
2603,0.7535817293173745,1.0
3100,0.8718958555798177,1.0
3641,0.8444319296102235,1.0
3221,0.8906459450292126,1.0
3023,0.9217320682490979,1.0
2137,0.6928252753693522,1.0
3903,0.90001266185001,0.7883162498474121
3599,0.7997805159213908,0.5938113927841187
2793,0.9016389494932492,1.0
2926,0.9415778546393708,1.0
3598,0.8427516417634813,1.0
2852,0.906520866607469,1.0
2853,0.8330271062728144,0.7483410835266113
3211,0.8398125126326024,1.0
3693,0.25118144169005546,0.08562279492616653
3205,0.8124940292706949,0.5239201784133911
2561,0.907713419489186,1.0
3053,0.9236205847927383,1.0
3514,0.8733681837965209,0.6573787927627563
3807,0.886818998642435,1.0
3908,0.8395784133224058,0.7750420570373535
3057,0.9470637551801482,1.0
2098,0.9658273200892685,1.0
2291,0.8711471536942184,1.0
2298,0.8771930126844775,1.0
2869,0.8958347420563365,0.7131031155586243
3414,0.7346548751766425,0.4897249937057495
3170,0.8587694141818422,0.7591381072998047
2511,0.958926814772921,1.0
2486,0.9398792340220711,1.0
3674,0.7740947484387368,1.0
3372,0.8595573793834088,1.0
3664,0.9803593390669962,1.0
3175,0.73524000405407,0.7257792353630066
2069,0.7420398519208531,1.0
3831,0.7006789418958967,0.021566662937402725
3337,0.7744531650539792,0.7013980746269226
3553,0.982546330509963,1.0
3003,0.7112786306374367,1.0
3075,0.9197099310276979,1.0
2054,0.8365460725865328,0.7971590757369995
3536,0.8847688089359663,0.7688606381416321
3189,0.9293832456828113,1.0
2954,0.9742728033238333,1.0
3282,0.8539965964022072,1.0
3014,0.9489410693562562,1.0
3011,0.9332002523539958,0.6047934889793396
3618,0.9326142214263062,1.0
3531,0.8049678610508857,0.7728803157806396
3634,0.9456838220940395,1.0
2582,0.9213251444326176,1.0
2819,0.8575971878098696,0.5818356275558472
2161,0.8977182736904871,1.0
3896,0.8073491046841735,0.7904666066169739
3002,0.8926272521919787,1.0
3105,0.8673469103737343,1.0
3849,0.9397242061009622,1.0
2193,0.7904899941432387,1.0
2456,0.7701654339707598,0.644537091255188
3458,0.724763866887273,0.7192544937133789
3883,0.8449026470431364,1.0
2239,0.8347046279004123,0.782584011554718
3134,0.8955044147237011,1.0
3916,0.7342778719621191,0.5254999399185181
2009,0.7932585897866015,1.0
2325,0.9219866068587285,1.0
2735,0.952050769074222,1.0
2907,0.91544961540655,1.0
3481,0.8770419720718178,1.0
2580,0.9459191956725982,1.0
3692,0.6979269919320593,1.0
2453,0.8634641052646147,0.7710451483726501
2359,0.9104748558287846,1.0
2756,0.9358603981770162,1.0
2420,0.9465730443921676,0.7779616117477417
2664,0.5725244706989124,1.0
3381,0.9306276276397285,1.0
2717,0.67869475830603,0.5058917999267578
2764,0.9317042747124904,1.0
3019,0.8640544840790201,1.0
2790,0.941341649468172,1.0
2394,0.8211610732020316,0.7984306216239929
2263,0.9220408495819116,1.0
3711,0.9116466003687934,1.0
3293,0.4250587093884407,1.0
2773,0.8806061303197129,0.7119223475456238
3245,0.9254730367339744,1.0
3878,0.8098219650234725,1.0
2100,0.8940997380775834,1.0
3650,0.9013175437247032,0.3873072862625122
3683,0.6954572375230422,0.513221025466919
3071,0.8618218260668701,1.0
2677,0.9358462294324292,1.0
2836,0.9873571819413668,1.0
2975,0.9448623653619787,1.0
3715,0.7677012417603536,0.7723965644836426
2264,0.9600955605337919,1.0
3230,0.9114509942260716,1.0
3562,0.9036700417131752,1.0
2113,0.9134340728217754,1.0
2439,0.8528898015093567,1.0
3783,0.9195193038235854,1.0
2649,0.6459999599552273,1.0
2789,0.8589557313032622,1.0
3821,0.8273542917724698,1.0
3196,0.9357534399286336,0.5123342871665955
2320,0.845950329438085,1.0
2144,0.9320283150920193,1.0
2754,0.836485921916896,1.0
2481,0.9247720285958521,1.0
2469,0.8705232486048241,0.7282966375350952
2796,0.9711766863803977,1.0
3617,0.8062384836385103,1.0
2525,0.8780677802709429,1.0
3062,0.9152210578671792,1.0
3616,0.940342266678895,0.7655404210090637
2409,0.6259482581642822,1.0
3228,0.7018091958062366,0.5242899060249329
2533,0.7754172264622265,0.5145207643508911
2290,0.8649939393330639,1.0
3363,0.9456360747369706,1.0
2937,0.9745430477319138,1.0
2925,0.9152410712345601,0.4334528148174286
3868,0.8732824164136566,0.6496874094009399
3686,0.7002788454448415,1.0
2204,0.9225257200358556,1.0
2482,0.8830659033650373,1.0
2631,0.7561042845739648,1.0
3751,0.8575667333804237,1.0
2368,0.899276921041613,0.7559794783592224
3814,0.8610497323017346,1.0
3315,0.8674311018812377,0.6989372968673706
2838,0.898709595871293,1.0
3329,0.8642148783637562,1.0
2370,0.7685649259035804,1.0
2230,0.8877406633545849,1.0
3364,0.8003695288051954,0.7427170276641846
2581,0.8559462091017369,1.0
3485,0.9263297216289443,1.0
3095,0.9237753232932332,0.5362740159034729
3217,0.8218764477536148,1.0
2575,0.9194110305036652,1.0
3444,0.9494558451786819,1.0
2361,0.9115085553053344,1.0
2850,0.9370597382184683,1.0
2642,0.7349575993632201,0.7421510219573975
3843,0.8817688569379842,1.0
2373,0.9818988217599268,1.0
2988,0.8448699897722325,0.5439790487289429
3628,0.8411956770579937,0.758182168006897
2928,0.8495216705592953,1.0
2026,0.9494730316928676,1.0
2759,0.7673756719052787,1.0
3735,0.93592610366295,1.0
2396,0.9209743625595604,1.0
3433,0.7214793058664047,0.47634226083755493
2933,0.8334238222073078,0.676855206489563
3999,0.7912813944965893,1.0
2772,0.9355181108619104,1.0
