ix,goal_cost,intv_cost
11922,0.909,2.4
17615,0.9380000233650208,2.0
10435,0.907,3.3
10549,0.908,1.8
12583,0.906,1.6
19898,0.9110000133514404,2.0
13265,0.9599999785423279,2.0
18419,0.91,0.3
10488,0.908,1.8
14107,0.902,1.4
16448,0.9369999766349792,0.0
17201,0.9559999704360962,2.0
11282,0.9480000138282776,2.0
19734,0.9559999704360962,2.0
16650,0.9710000157356262,2.0
11692,0.901,1.8
12736,0.9269999861717224,1.0
11222,0.9620000123977661,2.0
18618,0.9049999713897705,1.5
10143,0.9580000042915344,2.0
13092,0.914,1.3
18248,0.9369999766349792,1.0
14038,0.907,1.3
19256,0.924,2.0
19931,0.9110000133514404,1.0
10970,0.906,1.4
15125,0.9580000042915344,2.0
16836,0.9139999747276306,1.0
15819,0.9509999752044678,2.0
13292,0.912,1.0
18048,0.9470000267028809,2.0
16656,0.903,3.8
12437,0.9419999718666077,2.0
15616,0.904,2.0
16140,0.9459999799728394,2.0
13618,0.901,1.9
15606,0.9649999737739563,1.0
13630,0.901,2.7
15721,0.9710000157356262,1.0
17400,0.9470000267028809,1.0
14400,0.9039999842643738,1.0
14924,0.905,1.1
10531,0.9200000166893005,1.0
14575,0.9129999876022339,1.0
14874,0.9760000109672546,2.0
14777,0.909,1.7
14243,0.9649999737739563,0.0
14240,0.906,1.7
15783,0.906,1.5
11466,0.907,2.7
12937,0.904,1.0
14793,0.907,1.6
14623,0.909,1.6
11978,0.919,1.2
16260,0.9300000071525574,1.0
12946,0.958,2.0
17685,0.9639999866485596,3.0
16000,0.904,1.6
18930,0.9459999799728394,1.0
13928,0.902999997138977,2.0
12358,0.902,1.4
13814,0.9419999718666077,2.0
10770,0.902,3.2
14049,0.908,2.1
15951,0.903,1.5
10126,0.9570000171661377,2.0
18185,0.902,2.5
12385,0.903,2.9
17433,0.9760000109672546,2.0
10414,0.906,1.7
17034,0.9900000095367432,0.0
14964,0.906,1.3
16907,0.9359999895095825,2.0
19318,0.9829999804496765,0.0
17813,0.905,1.9
17889,0.9160000085830688,2.0
18487,0.902,1.4
11303,0.909,1.6
16474,0.908,1.4
12748,0.9819999933242798,0.0
16454,0.9100000262260437,1.0
18982,0.904,2.8
16873,0.906,1.5
14409,0.906,1.4
12510,0.9139999747276306,1.0
11097,0.903,1.1
10013,0.904,2.6
10934,0.928,1.0
18562,0.907,1.3
14639,0.909,1.4
16359,0.9649999737739563,1.0
16879,0.91,1.2
13135,0.9670000076293945,2.0
12739,0.9559999704360962,2.0
10850,0.972000002861023,3.0
15347,0.9810000061988831,2.0
15670,0.909,2.6
19165,0.9169999957084656,1.0
14160,0.9300000071525574,1.0
10058,0.949999988079071,2.0
13923,0.9319999814033508,2.0
18417,0.909,2.7
10844,0.9580000042915344,2.0
13295,0.905,1.9
11572,0.9879999756813049,0.0
10753,0.902,1.2
15285,0.904,1.1
13592,0.949999988079071,2.0
10145,0.9610000252723694,1.0
17796,0.901,1.2
14886,0.9649999737739563,2.0
19078,0.9210000038146973,1.0
10619,0.9259999990463257,1.0
12827,0.94,1.0
10916,0.9490000009536743,2.0
16521,0.9829999804496765,2.0
15993,0.9649999737739563,2.0
12032,0.9599999785423279,2.0
16491,0.904,1.1
17667,0.932,2.0
11993,0.912,1.1
17868,0.901,1.4
19248,0.975,2.0
14464,0.912,2.4
12431,0.969,2.0
18760,0.905,1.0
16073,0.905,1.4
14875,0.905,1.2
15515,0.91,3.5
17164,0.905,1.5
15722,0.9380000233650208,3.0
13619,0.903,0.7
17390,0.9020000100135803,0.5
18538,0.9739999771118164,3.0
17492,0.977,1.0
15340,0.905,1.9
19574,0.906000018119812,1.0
17756,0.912,1.3
10350,0.924,1.0
10485,0.9670000076293945,2.0
10917,0.9010000228881836,1.0
10710,0.9150000214576721,1.0
16083,0.9419999718666077,1.0
14821,0.9010000228881836,1.0
16746,0.9739999771118164,2.0
14032,0.9559999704360962,1.0
10849,0.9779999852180481,2.0
12457,0.9559999704360962,2.0
16780,0.903,1.5
16679,0.9120000004768372,2.0
12021,0.906,1.7
14388,0.901,1.2
16754,0.903,1.5
16739,0.902999997138977,1.0
14702,0.9139999747276306,2.0
12909,0.9589999914169312,2.0
12882,0.9290000200271606,2.0
13232,0.912,1.3
12669,0.903,1.6
17273,0.902,1.1
17852,0.9620000123977661,2.0
14015,0.903,1.2
19218,0.901,1.8
12438,0.902,1.6
19313,0.9549999833106995,1.0
12491,0.905,1.2
12369,0.911,1.1
11759,0.939,1.0
16797,0.9010000228881836,1.0
19976,0.905,1.2
16698,0.902,1.3
18271,0.9380000233650208,1.0
13859,0.904,0.7
18891,0.9670000076293945,2.0
16858,0.9309999942779541,1.0
18691,0.907,1.2
10443,0.9039999842643738,1.0
12849,0.9039999842643738,1.5
15264,0.904,1.1
14996,0.909,1.4
15069,0.904,1.2
17825,0.914,1.3
12047,0.91,1.8
15855,0.907,2.4
16781,0.906,2.5
11187,0.9549999833106995,2.0
18215,0.9779999852180481,2.0
17065,0.912,1.7
12034,0.9610000252723694,2.0
11008,0.9700000286102295,2.0
19849,0.9160000085830688,1.0
14654,0.901,1.3
17007,0.9430000185966492,2.0
15341,0.901,1.7
16944,0.914,1.9
18141,0.9350000023841858,0.0
17130,0.923,2.1
18324,0.906,0.8
11626,0.905,3.0
17630,0.965,2.0
