ix,goal_cost,intv_cost
3609,1.0,0.2
2131,1.0,2.6
2624,1.0,6.199999999999999
2138,1.0,1.7
2441,1.0,7.1
3941,1.0,0.1
3266,1.0,2.3000000000000003
2101,1.0,4.9
2744,1.0,0.5
3696,1.0,1.5999999999999999
2609,1.0,6.0
3402,1.0,4.1
2398,1.0,0.8
2696,1.0,3.9
3605,1.0,1.0
2844,1.0,6.300000000000001
2612,1.0,0.2
2579,1.0,0.9
2287,1.0,2.8
3731,1.0,3.1
3521,1.0,0.8999999999999999
3073,1.0,5.6
3065,1.0,1.5999999999999999
3331,1.0,3.9000000000000004
2605,1.0,1.0
2627,1.0,2.3
2235,1.0,7.1000000000000005
3438,1.0,2.2
3983,1.0,0.5
3577,1.0,4.800000000000001
3924,1.0,3.4
2533,1.0,1.7
3902,1.0,6.3
3889,1.0,1.5
3466,1.0,1.2000000000000002
2762,1.0,5.1
2742,1.0,2.4
3634,1.0,3.9
3444,1.0,3.1
2585,1.0,0.6
3175,1.0,6.3
2413,1.0,1.8
3445,1.0,1.0
2734,1.0,1.9000000000000001
3763,1.0,4.9
2203,1.0,4.0
2825,1.0,2.1999999999999997
3476,1.0,2.4
3095,1.0,1.4
3872,1.0,0.3
3492,1.0,0.6
3981,1.0,0.9
3664,1.0,5.7
3358,1.0,1.3
3500,1.0,1.7000000000000002
2165,1.0,3.1
3277,1.0,1.1
3913,1.0,1.3
3317,1.0,0.5
2363,1.0,3.6
3282,1.0,4.2
2841,1.0,2.4
3768,1.0,4.5
3223,1.0,3.1
2341,1.0,3.2
3440,1.0,2.4
2491,1.0,1.6
2871,1.0,2.1
3081,1.0,0.5
2190,1.0,1.6
3739,1.0,2.8
3845,1.0,2.5999999999999996
3673,1.0,2.3
2206,1.0,0.4
3387,1.0,2.7
3504,1.0,0.7999999999999999
3962,1.0,1.5
3116,1.0,3.2
3665,1.0,4.300000000000001
2494,1.0,1.7
3127,1.0,0.2
2127,1.0,2.8
3839,1.0,1.1
2011,1.0,0.6
3155,1.0,1.5999999999999999
3827,1.0,3.4000000000000004
2521,1.0,1.6
2932,1.0,0.30000000000000004
2060,1.0,6.0
2135,1.0,2.6999999999999997
3377,1.0,4.699999999999999
2837,1.0,3.9
2103,1.0,1.5
2144,1.0,0.5
3250,1.0,4.3
3375,1.0,2.2
2031,1.0,1.8
2659,1.0,5.4
2760,1.0,5.0
2663,1.0,6.9
3446,1.0,4.0
2344,1.0,2.2
2502,1.0,1.7
3042,1.0,1.8
3079,1.0,2.7
2984,1.0,2.1999999999999997
2823,1.0,3.3
3201,1.0,1.7
3582,1.0,1.3
3600,1.0,0.8
2479,1.0,3.7
2513,1.0,3.0
2735,1.0,1.1
2927,1.0,3.3
3747,1.0,1.2
2898,1.0,2.4000000000000004
3863,1.0,1.1
3743,1.0,0.5
3631,1.0,0.6
3911,1.0,5.199999999999999
2001,1.0,2.9
3603,1.0,3.8
2282,1.0,10.0
3580,1.0,0.2
2751,1.0,0.2
2580,1.0,0.5
3109,1.0,1.3
2067,1.0,4.699999999999999
3651,1.0,2.5
3420,1.0,1.3
2027,1.0,2.0
3393,1.0,3.1
2986,1.0,1.8
3638,1.0,4.8
2340,1.0,1.2
3192,1.0,2.5
3119,1.0,3.7
2245,1.0,3.8000000000000003
3642,1.0,3.0
2475,1.0,3.5
2465,1.0,2.6999999999999997
3320,1.0,1.5
3690,1.0,2.9
3671,1.0,3.8
3971,1.0,3.5
3022,1.0,2.3
3391,1.0,1.8
2126,1.0,0.4
3562,1.0,0.2
2873,1.0,8.6
3467,1.0,0.2
3299,1.0,4.6
2593,1.0,1.8
3018,1.0,7.7
3765,1.0,3.8
2607,1.0,0.8
3129,1.0,9.600000000000001
3006,1.0,1.4
2256,1.0,1.3
2591,1.0,2.4
2319,1.0,6.5
2561,1.0,3.5
3189,1.0,0.4
2852,1.0,4.2
3816,1.0,3.6
2914,1.0,4.699999999999999
2504,1.0,4.6
2968,1.0,4.8
3055,1.0,2.4
3356,1.0,3.3000000000000003
3683,1.0,0.1
3972,1.0,0.2
3422,1.0,1.3
2435,1.0,1.9
2556,1.0,0.4
2851,1.0,3.8000000000000003
3919,1.0,4.5
3545,1.0,4.8
2362,1.0,0.1
3349,1.0,0.8
2558,1.0,3.0
2557,1.0,5.699999999999999
2969,1.0,3.2
2831,1.0,0.7999999999999999
2215,1.0,3.7
2570,1.0,0.2
3419,1.0,4.9
3194,1.0,3.5
3676,1.0,2.5
2717,1.0,1.1
3173,1.0,2.8
2462,1.0,0.7
3647,1.0,2.8
2300,1.0,2.1
3522,1.0,2.7
3874,1.0,0.2
2530,1.0,2.4000000000000004
3417,1.0,1.7
2877,1.0,4.6
3576,1.0,0.4
