,y_hat
10099,False
15806,False
19016,False
15672,False
19378,False
16555,False
11979,False
10397,False
13320,False
14646,False
14493,False
16808,False
18633,False
13094,False
19012,False
18572,False
13263,False
18564,False
13659,False
10030,False
14460,False
12088,False
10581,False
18567,False
19008,False
19307,False
19358,False
16723,False
17096,False
14345,False
17337,False
11262,False
13102,False
17048,False
14122,False
11613,False
18852,False
11467,False
16838,False
19014,False
13854,False
12285,False
11000,False
14648,False
14165,False
11963,False
13098,False
18484,False
14999,False
18501,False
13486,False
11859,False
10197,False
10053,False
15862,False
13466,False
18279,False
10052,False
13756,False
13734,False
12190,False
11051,False
11062,False
19254,False
16873,False
10272,False
14781,False
15074,False
12901,False
16783,False
18796,False
18619,False
14716,False
18411,False
16506,False
15561,False
11166,False
16781,False
18180,False
17411,False
18714,False
13825,False
13033,False
11230,False
18524,False
10510,False
17257,False
19559,False
18416,False
11536,False
14448,False
10424,False
11565,False
14715,False
16867,False
11714,False
19461,False
18779,False
11692,False
18468,False
14027,False
15631,False
16571,False
12496,False
14761,False
10285,False
17466,False
11588,False
10128,False
15963,False
11658,False
11959,False
17948,False
12459,False
17424,False
14865,False
13386,False
17670,False
13839,False
16763,False
15560,False
18646,False
16707,False
12027,False
16584,False
12398,False
10126,False
14440,False
11939,False
15746,False
11600,False
15955,False
18296,False
12563,False
16434,False
16004,False
17455,False
10107,False
15056,False
15166,False
13436,False
14306,False
16497,False
13077,False
11802,False
16726,False
15326,False
11554,False
17076,False
11998,False
12389,False
13921,False
11263,False
18892,False
12127,False
11761,False
19396,False
10879,False
10026,False
15274,False
17546,False
19271,False
15262,False
14426,False
11102,False
12602,False
17258,False
14468,False
19966,False
11491,False
19815,False
12995,False
15058,False
12711,False
13943,False
11952,False
18171,False
18601,False
11864,False
11987,False
17750,False
18773,False
11614,False
14445,False
10050,False
16797,False
16718,False
15523,False
15820,False
13581,False
13317,False
19113,False
16863,False
12307,False
16406,False
19363,False
14871,False
17866,False
18710,False
18184,False
