,0
1509,1.0
1478,1.0
1209,1.0
1304,1.0
1799,1.0
1271,1.0
1070,1.0
1433,1.0
1242,1.0
1081,1.0
1477,1.0
1987,1.0
1872,1.0
1614,1.0
1674,1.0
1836,1.0
1105,1.0
1859,1.0
1946,1.0
1937,1.0
1652,1.0
1844,1.0
1897,1.0
1084,1.0
1730,1.0
1717,1.0
1567,1.0
1107,1.0
1402,1.0
1246,1.0
1640,1.0
1367,1.0
1816,1.0
1941,1.0
1137,1.0
1518,1.0
1669,1.0
1955,1.0
1547,1.0
1383,1.0
1091,1.0
1737,1.0
1238,1.0
1533,1.0
1432,1.0
1880,1.0
1537,1.0
1672,1.0
1691,1.0
1524,1.0
1499,1.0
1223,1.0
1733,1.0
1034,1.0
1486,1.0
1800,1.0
1430,1.0
1875,1.0
1344,1.0
1436,1.0
1805,1.0
1230,1.0
1697,1.0
1472,1.0
1761,1.0
1975,1.0
1188,1.0
1073,1.0
1818,1.0
1229,1.0
1845,1.0
1994,1.0
1291,1.0
1276,1.0
1204,1.0
1829,1.0
1384,1.0
1031,1.0
1195,1.0
1421,1.0
1724,1.0
1349,1.0
1605,1.0
1335,0.0
1536,1.0
1088,1.0
1455,1.0
1763,1.0
1041,0.0
1740,1.0
1149,1.0
1923,1.0
1100,1.0
1637,1.0
1878,0.0
1821,1.0
1423,1.0
1483,1.0
1449,1.0
1408,1.0
