,x1,x2,x3
1861,0.2,0.1,0.7
1244,0.1,0.7,2.3
1512,-0.0,0.0,3.2
1937,0.5,0.7,2.4
1661,2.1,1.7,6.4
1073,0.4,-0.0,5.3
1885,0.1,0.2,0.3
1091,0.7,0.8,3.1
1731,0.1,0.1,0.3
1423,0.0,0.9,1.8
1925,1.3,1.8,3.5
1379,-0.0,-0.0,3.4
1551,0.1,0.1,0.1
1268,0.0,0.0,0.1
1253,0.1,-0.0,1.1
1947,0.2,1.4,4.5
1593,0.0,0.0,3.1
1673,0.1,0.2,0.3
1864,0.1,0.1,0.2
1547,0.4,0.8,1.3
1901,0.0,0.1,2.6
1974,0.4,0.5,0.9
1457,-0.0,0.5,0.8
1249,0.0,0.2,0.5
1284,1.0,3.2,5.5
1144,0.8,0.9,2.7
1622,0.4,0.6,3.6
1426,0.7,0.3,2.1
1399,-0.0,1.6,3.1
1804,-0.0,0.1,2.4
1909,3.1,-0.0,-2.5
1980,0.7,0.7,2.3
1992,0.2,0.0,0.4
1083,0.4,0.1,1.9
1813,0.2,0.5,4.3
1271,0.9,2.1,3.9
1022,0.1,0.1,0.3
1917,0.1,0.8,4.9
1863,-0.0,-0.0,4.8
1014,0.5,0.9,1.8
1832,0.3,0.7,1.3
1736,0.0,5.7,-0.1
1215,0.1,1.8,3.2
1272,-0.0,0.3,4.7
1467,0.6,0.6,2.5
1761,0.8,2.1,4.0
1359,0.3,0.3,0.7
1384,0.3,0.4,0.9
1479,0.1,0.1,0.2
1108,0.5,0.6,1.2
1681,0.3,0.5,0.8
1486,0.0,0.3,4.5
1372,0.1,0.0,0.2
1635,0.8,1.2,2.1
1333,2.0,0.1,3.6
1490,0.8,0.7,4.1
1133,0.2,0.3,1.5
1533,1.4,0.7,4.5
1592,0.1,0.6,1.1
1283,0.4,0.3,1.8
1105,1.1,0.4,2.7
1357,0.4,0.1,1.3
1082,0.1,0.2,0.4
1028,0.0,0.2,2.2
1802,0.1,0.8,3.4
1446,-0.7,-0.0,8.0
1029,1.6,2.3,5.9
1541,0.2,0.2,0.4
1807,0.2,0.3,1.1
1327,0.2,0.1,2.7
1491,0.3,0.4,1.0
1450,0.3,0.6,1.1
1165,-0.0,0.1,0.2
1319,0.1,0.8,1.4
1682,0.3,1.7,5.8
1034,0.2,0.3,0.4
1764,0.3,1.1,1.9
1818,0.2,0.2,0.4
1881,0.5,0.9,1.6
1260,0.2,0.3,0.5
1305,0.1,0.1,0.2
1829,0.2,0.9,1.7
1994,0.2,0.1,0.7
1043,0.6,1.6,2.6
1971,1.1,1.9,3.4
1637,-0.1,-0.1,3.8
1737,0.2,1.5,4.5
1345,0.2,0.0,0.5
1027,0.1,0.5,1.1
1287,0.3,2.0,3.7
1418,0.6,1.2,5.0
1454,0.3,1.7,2.5
1650,0.1,0.1,1.3
1185,1.3,0.8,3.9
1209,0.8,1.2,2.0
1111,0.4,0.6,2.0
1374,0.2,0.2,0.5
1360,0.1,5.8,0.1
1174,0.1,0.1,3.5
1717,0.2,0.3,0.5
