,x1,x2,x3
1385,0.2,0.5,2.3
1541,0.5,1.0,1.6
1317,1.2,-0.0,4.8
1039,0.5,-0.0,0.0
1382,0.0,0.7,1.3
1953,1.5,3.1,4.8
1438,1.3,2.8,3.1
1057,1.3,0.0,4.3
1996,0.8,-0.0,1.3
1342,0.3,0.5,0.7
1468,-0.0,4.0,-0.0
1557,0.9,-0.0,3.8
1070,1.8,0.0,0.0
1459,0.7,1.3,0.0
1284,4.2,-0.0,-0.1
1110,2.2,0.3,6.8
1646,1.3,2.5,3.9
1199,0.1,1.0,1.3
1824,1.8,3.1,5.6
1855,1.7,4.5,5.7
1716,0.4,1.1,1.7
1161,1.4,4.0,3.1
1036,1.4,1.9,5.0
1761,1.0,2.0,3.1
1821,2.9,5.7,8.8
1233,2.3,4.5,6.6
1289,2.9,5.7,8.9
1820,0.5,1.0,1.5
1964,0.5,1.0,0.0
1895,0.6,2.0,3.1
1504,1.1,2.2,3.5
1150,2.0,5.7,3.9
1360,0.7,1.5,-0.0
1938,1.1,-0.0,4.7
1131,1.3,2.6,4.1
1743,0.0,1.9,3.6
1418,0.8,1.7,2.6
1740,1.1,2.1,3.3
1624,0.4,0.9,1.2
1162,1.0,-0.0,4.4
1213,0.3,-0.0,0.9
1711,0.0,3.5,0.0
1737,0.5,1.1,0.0
1595,0.5,0.0,0.0
1852,0.4,0.9,1.4
1741,1.0,2.1,3.2
1179,0.1,2.8,4.6
1434,1.7,3.3,5.4
1344,2.2,4.8,6.0
1055,3.8,7.6,0.3
1788,0.3,0.4,0.9
1572,0.5,1.0,1.9
1310,0.6,1.3,2.0
1498,0.4,0.9,0.0
1352,1.3,0.6,0.0
1995,0.6,0.9,1.8
1274,1.2,2.5,3.9
1373,1.1,1.4,2.1
1899,1.0,2.0,2.3
1034,1.3,2.9,0.0
1313,1.3,4.5,7.9
1571,0.3,0.6,0.7
1101,0.6,1.3,2.0
1177,0.4,0.8,4.8
1290,0.4,0.6,1.1
1520,0.7,1.3,-0.0
1063,0.3,0.0,0.8
1176,0.6,0.9,-0.0
1679,0.8,1.3,2.5
1883,0.9,1.8,2.8
1454,-0.0,0.9,-0.0
1469,2.7,2.6,-0.0
1873,0.9,1.8,1.6
1077,1.9,2.4,5.7
1269,-0.0,1.3,0.7
1347,1.1,-0.0,1.9
1565,0.8,2.1,2.5
1372,2.0,6.0,9.4
1576,3.1,0.0,0.0
1708,2.4,4.7,7.4
1196,0.4,0.8,1.3
1308,0.9,1.0,0.0
1735,0.1,0.9,1.4
1267,1.0,1.9,3.0
1363,1.3,2.9,4.5
1291,0.3,3.9,6.1
1651,3.3,6.5,10.3
1840,1.6,3.5,5.4
1343,0.3,0.5,0.7
1119,0.4,0.0,0.0
1484,1.7,4.2,3.5
1285,0.6,0.2,1.2
1476,0.4,0.8,1.3
1717,1.2,2.5,3.1
1913,0.1,1.1,1.9
1103,0.7,2.5,3.9
1412,0.5,-0.0,1.1
1990,0.6,1.2,1.8
1408,1.8,3.7,5.7
1607,1.3,3.3,4.8
