,x1,x2,x3
1861,0.2,0.7,1.3
1244,2.4,0.0,-0.1
1512,1.1,1.6,-0.0
1937,1.3,-0.0,-0.0
1661,3.1,4.3,4.6
1073,1.9,-0.0,4.7
1885,0.7,0.0,0.0
1091,1.4,-0.0,3.6
1731,0.3,0.5,0.7
1423,0.8,1.3,-0.0
1925,1.5,2.3,4.0
1379,1.4,-0.0,2.7
1551,0.1,0.2,1.0
1268,0.7,-0.0,-0.0
1253,0.4,0.7,1.4
1947,2.3,0.0,3.8
1593,0.3,0.9,4.1
1673,0.5,0.0,0.0
1864,0.3,0.5,-0.0
1547,0.7,1.1,1.8
1901,0.9,1.4,2.3
1974,0.9,0.0,0.0
1457,0.7,0.0,1.1
1249,0.3,0.6,1.0
1284,2.3,3.7,5.2
1144,1.0,2.1,2.6
1622,1.8,0.0,3.1
1426,0.9,1.3,2.3
1399,1.2,1.9,3.3
1804,0.9,1.4,0.0
1909,2.5,3.8,6.5
1980,1.0,1.6,2.5
1992,0.4,0.9,0.4
1083,1.0,-0.0,-0.0
1813,1.4,2.2,3.7
1271,2.1,2.8,3.4
1022,0.5,0.9,0.2
1917,1.2,2.6,4.5
1863,1.5,2.2,3.8
1014,0.9,1.3,2.2
1832,0.8,1.8,0.9
1736,2.1,3.0,5.1
1215,1.3,2.1,3.2
1272,1.4,2.0,3.5
1467,1.1,1.5,0.0
1761,1.8,2.5,4.1
1359,0.5,0.7,-0.0
1384,1.2,-0.0,-0.0
1479,0.3,0.4,0.7
1108,0.3,0.5,2.6
1681,0.5,0.7,1.3
1486,1.2,3.0,3.1
1372,0.1,0.4,0.9
1635,1.4,1.6,2.2
1333,1.4,2.1,3.6
1490,1.1,2.3,4.1
1133,0.9,-0.0,-0.0
1533,1.6,2.5,4.3
1592,0.6,0.9,-0.0
1283,0.8,1.2,1.9
1105,1.4,-0.0,-0.0
1357,1.3,0.1,1.6
1082,1.3,0.2,0.3
1028,0.0,2.1,0.0
1802,1.6,0.0,0.0
1446,2.5,3.8,6.5
1029,2.3,3.4,5.9
1541,0.5,0.0,0.0
1807,0.1,2.1,-0.0
1327,1.0,1.2,-0.0
1491,0.3,1.0,1.6
1450,1.9,0.4,0.8
1165,0.4,-0.0,0.6
1319,0.4,1.3,1.9
1682,2.8,4.2,2.9
1034,0.3,0.4,1.3
1764,0.9,1.8,1.8
1818,-0.0,0.9,-0.0
1881,1.3,0.0,0.0
1260,0.8,0.0,0.5
1305,0.3,0.4,0.8
1829,0.8,1.2,2.0
1994,0.5,0.0,1.3
1043,1.2,2.7,2.1
1971,1.5,2.6,3.5
1637,1.5,-0.0,-0.0
1737,1.6,2.6,4.1
1345,0.1,0.6,1.2
1027,0.1,2.5,0.3
1287,0.8,2.6,4.2
1418,1.1,3.1,4.7
1454,1.5,2.1,2.2
1650,0.4,1.4,1.0
1185,0.5,3.2,3.9
1209,1.0,0.0,3.1
1111,0.4,1.4,2.5
1374,0.4,0.5,1.0
1360,2.0,3.3,5.7
1174,0.1,2.4,3.3
1717,0.5,0.6,0.0
