,x1,x2,x3
1875,0.044929933,0.5173949,0.5568178
1210,0.017239321,-0.87414104,-0.9351778
1886,0.033804633,-0.99929297,-1.0721078
1788,0.033935815,0.30090374,0.42823312
1004,0.07294311,0.65941465,0.72965205
1201,0.025733579,0.13860036,-1.4130927
1921,0.0049041333,0.40735617,0.09275073
1879,0.103923514,0.30588526,-1.1497989
1683,0.024049968,0.28607497,-0.8374701
1646,0.04395268,-0.9840709,-1.045723
1884,0.031860232,-1.6022097,-3.2171636
1757,0.07833312,-1.6825002,-3.356334
1795,0.068318464,0.5524777,0.61762804
1564,0.08665641,0.5299846,0.40530664
1481,0.037978977,0.5069685,0.23874536
1161,0.10315482,-1.0952678,-2.5117977
1223,0.0809355,-0.6285967,-0.6295677
1681,0.047188163,-0.17921776,-0.2773108
1935,0.013022411,-0.5804664,-1.7461418
1870,0.07440999,0.36161497,0.39346597
1660,0.021786546,-1.6673201,-3.4033551
1212,0.06589409,0.39884114,-0.46867535
1616,0.094189174,0.24128377,0.32489187
1443,0.049837865,-0.5252432,-0.8304215
1541,0.09568312,0.4435247,-0.19122389
1740,0.037774526,-0.8933382,-1.8417861
1638,0.074742734,0.4121141,0.27433112
1900,0.011325073,-0.6330124,-1.4905548
1924,0.030908728,-4.453637,-4.259638
1288,0.09575474,-1.1563679,-1.1510377
1308,0.03468617,0.35202926,0.35018405
1888,0.09984815,0.39977223,0.4796052
1499,0.05142672,0.47714007,0.5137094
1641,0.017613495,0.32642025,0.3057951
1560,0.09823771,-2.1026435,-3.764582
1781,0.03289522,0.19934283,0.16552758
1588,0.07725906,-1.7841114,-4.5991263
1816,0.083978675,-1.9740319,-2.0216553
1505,0.012482977,-1.2812755,-1.6275442
1906,0.06304045,-1.1054393,-2.5560946
1807,0.031363703,0.24704555,-1.0784544
1861,0.06201004,-0.40698498,-1.618774
1801,0.022090245,-0.76686466,-0.8225654
1736,0.06462977,-0.20305535,-0.9919626
1680,0.13670778,-2.0949383,-4.1445603
1435,0.20392016,0.10588023,-2.5098076
1498,0.088937014,0.48340553,0.051236253
1225,0.012072539,0.4681088,0.47138858
1088,0.00736132,0.41104198,0.09913942
1476,0.10243298,0.10364949,-0.31367424
1645,0.04936664,-1.92595,-4.1516466
1994,0.082496144,0.073744215,0.05448997
1464,0.009805012,-0.7852925,-0.85450697
1679,0.051556148,-0.42266577,-0.82595396
1067,0.09878802,0.14818203,-1.7431511
1595,0.01670765,0.47506148,0.18343985
1907,0.024462879,0.28669432,-0.5363965
1969,0.030890863,0.4463363,0.46031624
1016,0.08026206,-0.0796069,-0.031318635
1821,0.051543426,-3.2726848,-6.085987
1999,0.1021338,-0.04679931,-0.3744521
1263,0.017520899,0.026281362,0.005554352
1633,0.084723316,0.17708498,0.18028063
1076,0.08049548,-0.37925678,-0.49071175
1568,0.021574736,0.032362103,-0.04390569
1216,0.044078447,-0.88388234,-0.945396
1256,0.076337524,0.5645063,0.63847756
1502,0.10376782,0.6056518,0.70979637
1131,0.09572549,-1.4564117,-2.6711137
1674,0.05304711,-0.07042934,-2.8420773
1793,0.02248144,0.48372215,0.49845174
1865,0.010932619,0.31639892,0.2884248
1940,0.059336305,0.08900446,-2.0457256
1835,0.075630866,0.1634463,-1.5433598
1745,0.06492951,-0.85260576,-1.4711833
1162,0.057065986,0.13559899,-1.5916284
1276,0.018709958,-1.071935,-1.1513541
1219,0.0068813204,0.06032198,-1.9221085
1332,0.024728011,-0.312908,-1.1557071
1224,0.08293418,-0.37559873,-0.74437106
1293,0.08121544,0.37182316,0.41116014
1101,0.063088745,0.34463313,-0.5359692
1342,0.04886458,0.5232969,0.4670479
1267,0.03854232,0.15781347,-1.37979
1982,0.07387884,-1.0891818,-2.327915
1964,0.1027891,-0.04581637,0.027251637
1014,0.04304173,-0.8854374,-1.6280916
1998,0.019501353,-0.670748,-4.9892964
1486,0.06923419,-0.2461487,-0.21999109
1557,0.022067498,-0.6168988,-1.0626245
1624,0.09215604,0.48823404,0.5596057
1132,0.06853043,0.55279565,0.61817914
1538,0.03872264,0.50808394,0.54067886
1315,0.09149459,0.5372419,0.11788594
1991,0.027081084,-1.3593785,-1.4495893
1540,0.06261498,-0.25607753,-0.23720105
1484,0.052906536,-1.7206402,-1.802443
1462,0.08442529,0.12663794,0.17950577
1708,0.020673465,-0.5689898,-0.766249
1629,0.033376396,0.050064594,-0.013221376
