,x1,x2,x3
1219,1.1,-0.0,0.2
1628,0.3,0.1,-0.1
1582,1.6,0.0,-0.1
1099,2.3,0.2,-0.1
1486,0.7,0.0,0.3
1704,1.3,0.0,0.2
1333,0.6,-0.1,0.0
1218,0.3,0.0,-0.0
1231,1.0,-0.0,-0.1
1020,0.5,0.2,0.0
1733,0.4,0.0,0.0
1036,0.9,-0.1,-0.1
1456,0.2,0.2,0.1
1973,0.1,-0.0,0.2
1836,0.1,-0.0,0.1
1326,1.7,-0.1,0.0
1714,1.1,-0.1,-0.3
1030,0.7,-0.0,0.1
1685,1.9,0.0,0.4
1654,0.1,-0.0,-0.1
1734,0.6,0.0,-0.1
1601,0.1,-0.0,-0.0
1230,0.3,0.0,0.0
1542,2.4,-0.2,0.4
1520,1.1,-0.1,0.0
1820,0.8,0.0,0.0
1115,0.1,0.1,0.0
1194,1.4,0.0,0.1
1592,0.2,0.0,-0.1
1539,0.8,0.0,0.1
1427,0.2,-0.0,0.1
1003,0.6,0.4,0.2
1594,0.4,-0.1,0.1
1746,0.7,0.1,-0.2
1384,0.2,0.1,0.1
1385,1.6,0.3,0.0
1666,0.4,-0.2,-0.1
1450,0.1,0.0,0.1
1623,0.4,0.2,-0.0
1507,2.9,0.7,-0.0
1157,1.3,-0.0,-0.2
1359,0.1,0.0,0.0
1171,0.9,0.0,-0.1
1273,0.2,0.1,-0.1
1960,1.3,0.1,0.1
1286,0.9,0.1,-0.1
1590,1.3,0.0,0.2
1201,0.5,-0.0,0.1
1686,0.1,-0.0,-0.0
1931,0.3,-0.0,0.1
1561,0.2,0.0,0.0
1229,0.2,0.0,0.0
1305,2.6,-0.4,-0.0
1688,1.0,-0.0,-0.0
1323,0.7,0.1,-0.2
1966,0.8,-0.0,0.0
1500,0.3,0.0,0.0
1747,0.9,-0.0,0.1
1008,0.6,-0.1,-0.1
1567,0.8,0.1,0.2
1956,0.1,0.0,0.0
1602,0.6,-0.0,-0.0
1720,0.3,-0.0,-0.0
1072,1.2,0.0,0.0
1550,0.8,0.1,0.1
1098,1.0,0.0,0.0
1279,0.3,-0.0,0.1
1374,0.1,0.1,0.1
1034,2.5,-0.2,-0.1
1579,1.0,0.1,-0.0
1044,0.1,-0.0,-0.0
1459,0.6,-0.1,-0.4
1223,0.4,0.1,0.0
1847,1.0,-0.0,0.0
1330,0.1,0.1,0.0
1776,0.4,-0.0,-0.0
1506,0.3,-0.2,0.1
1345,0.4,0.0,-0.0
1276,0.6,-0.0,-0.0
1331,0.6,-0.1,-0.2
1724,1.9,0.0,0.0
1803,1.9,-0.1,-0.0
1049,1.0,0.0,0.0
1711,0.1,0.1,0.2
1516,0.4,-0.0,0.1
1313,0.8,-0.0,0.1
1934,0.4,-0.0,0.0
1259,0.6,-0.2,-0.2
1344,0.3,-0.0,0.4
1938,0.2,-0.0,0.0
1936,0.5,0.1,-0.1
1808,1.3,-0.0,0.0
1874,1.7,0.0,0.0
1119,0.8,0.1,0.2
1829,2.4,0.1,0.7
1961,1.0,-0.7,0.0
1246,0.3,-0.1,-0.1
1033,0.3,0.1,0.1
1772,0.9,-0.0,-0.0
1996,0.7,0.0,-0.1
