,x1,x2,x3
1717,1.9,0.0,5.0
1238,2.2,2.7,6.0
1284,2.1,2.6,5.7
1374,0.3,-0.0,0.5
1734,0.9,0.0,0.0
1276,0.7,0.0,1.8
1156,0.2,0.3,0.7
1379,0.6,1.3,2.3
1554,1.7,3.5,4.6
1642,0.9,1.4,-0.0
1961,1.1,-0.0,3.1
1836,0.3,-0.0,0.4
1462,0.2,0.3,0.6
1295,2.7,2.1,8.2
1581,0.6,-0.0,-0.0
1336,0.3,0.3,0.7
1777,1.8,2.3,5.1
1683,1.0,1.2,4.7
1490,0.5,0.6,1.3
1764,0.3,0.5,1.0
1668,0.9,2.1,4.6
1094,0.7,0.4,1.5
1624,0.4,-0.0,0.9
1293,1.2,0.5,4.1
1904,2.4,3.0,6.6
1132,0.3,0.6,0.0
1453,0.7,1.2,0.0
1338,0.5,0.2,1.3
1550,0.9,0.0,2.6
1913,0.3,0.7,0.0
1375,1.1,1.4,2.8
1559,-0.0,2.8,-0.0
1146,0.9,1.6,3.6
1447,0.5,-0.0,1.2
1856,0.6,-0.0,-0.0
1332,1.5,2.1,2.5
1354,0.3,-0.0,0.9
1723,1.0,0.1,0.0
1729,0.3,0.5,0.7
1759,1.4,1.8,3.9
1420,0.8,0.6,2.1
1519,0.5,1.2,2.6
1896,1.2,1.5,3.4
1260,0.2,0.2,0.5
1808,1.5,1.7,4.2
1189,2.3,3.1,6.7
1607,2.3,2.8,6.9
1450,0.4,0.0,-0.0
1918,2.3,2.6,6.3
1565,0.2,-0.0,0.7
1880,0.7,-0.0,1.8
1528,-0.0,2.2,-0.0
1326,1.8,0.0,4.8
1580,1.5,0.0,4.3
1207,0.4,0.0,0.0
1145,1.4,1.8,3.9
1008,0.4,1.1,1.9
1405,0.6,0.0,1.3
1305,2.7,3.4,7.4
1366,0.2,0.2,0.6
1507,2.8,3.8,8.6
1131,0.3,0.0,0.9
1014,0.5,0.8,1.7
1744,0.7,0.9,1.9
1666,0.6,0.0,0.0
1634,0.5,0.0,0.0
1306,0.2,1.3,1.8
1772,1.4,1.8,2.1
1203,0.5,-0.0,1.4
1533,0.9,0.0,3.3
1236,0.8,1.4,3.0
1579,1.1,-0.0,3.1
1170,1.3,1.3,3.5
1144,1.3,1.8,2.3
1588,0.6,0.0,0.0
1108,0.3,-0.0,-0.0
1234,0.3,0.0,1.1
1303,0.5,0.0,0.0
1804,1.8,0.9,5.2
1900,1.5,-0.0,4.0
1615,1.4,1.5,3.6
1695,1.8,2.3,5.0
1246,0.5,0.0,1.2
1482,0.4,2.1,5.7
1659,1.3,1.3,3.6
1843,0.4,0.5,1.0
1541,0.5,0.0,0.0
1593,1.2,1.5,3.2
1001,2.8,3.4,7.7
1645,0.3,0.7,-0.0
1109,0.9,0.0,2.8
1627,1.1,1.7,3.1
1529,1.7,2.1,4.7
1268,1.3,2.5,6.1
1011,1.6,2.0,4.1
1704,1.4,1.8,3.9
1978,3.1,1.6,3.6
1250,1.1,1.4,3.1
1307,0.5,1.0,2.3
1440,0.3,-0.0,1.0
