,x1,x2,x3
1946,-1.1669927,-1.3339853,1.2023227
1238,-0.30397326,0.19205348,0.0576829
1996,-0.727249,-1.054498,0.90552807
1081,-0.20160706,-0.20321412,0.24501805
1384,-0.11702289,-0.03404578,0.11722905
1914,-0.3582468,0.1835064,-0.010565067
1515,-0.9710989,0.25780225,0.1495935
1350,-0.54560333,0.20879333,0.10862963
1073,-1.3466132,-1.5932264,1.5154991
1658,-0.12542687,0.14914627,0.0011767268
1808,-0.18835358,0.123292826,-0.0038961053
1588,-0.8540432,-0.6080864,0.64246595
1927,-1.1521387,-2.1042774,1.7183698
1248,-0.70711863,-0.01423726,0.20793226
1905,-0.14121059,0.11757884,0.0022471428
1270,-1.9057214,-2.8114429,2.4722633
1244,-0.3035315,-0.10706301,0.21905234
1484,-0.5165188,0.16696243,0.068791725
1026,-0.19110966,0.117780685,0.007560062
1524,-0.8445018,0.11099644,0.16204444
1555,-1.0525999,0.09480019,0.23694038
1421,-0.20449218,0.19101565,-0.04392574
1418,-1.1417195,0.41656113,0.020669747
1603,-0.68899584,-0.8779917,0.8141129
1821,-0.7341895,-0.16837907,0.31401244
1501,-0.41324067,0.07351868,0.09895396
1727,-0.11726291,0.16547416,0.026484963
1451,-0.5966098,-0.69321954,0.6505097
1824,-0.6854108,-0.7708216,0.8752265
1037,-0.13148999,0.13702002,-0.017618958
1931,-0.25062436,0.09875126,0.043064404
1356,-1.0865357,-1.5730714,1.3317394
1732,-0.5431646,0.11367075,0.0861897
1782,-0.15949957,0.18100086,-0.014448667
1209,-0.47829193,-0.95658386,0.7872949
1559,-0.12375812,0.15248376,-0.013650131
1074,-0.4270019,-0.2540038,0.32629412
1510,-0.489355,0.121290006,0.082999445
1790,-0.1659426,0.16811481,-0.044422008
1800,-0.31284344,0.17431314,0.010185337
1707,-0.4020309,-0.6040618,0.82370424
1127,-1.4055275,-2.511055,2.0528653
1536,-1.009356,-1.5187122,1.3509961
1260,-0.1855258,0.12894839,0.024870006
1980,-0.77074236,-1.1414847,1.0106987
1792,-0.124819316,0.15036137,-0.026939774
1708,-0.31667006,0.1666599,-0.0016771794
1152,-0.55720246,-0.41440496,0.46267235
1901,-0.59112424,-0.28224853,0.35751474
1676,-0.9699007,0.2601985,0.083307646
1220,-0.17571597,0.14856805,0.055280484
1661,-0.9304064,-3.6608129,2.69574
1757,-0.29131147,0.21737708,-0.023065567
1147,-0.9662565,-0.13251296,0.414605
1846,-0.40563378,0.18873243,0.052535247
1736,-0.6897564,0.22048716,0.05175505
1521,-0.37566024,-0.1513205,0.25545302
1154,-0.21655406,0.56689185,-0.29131758
1669,-0.47465134,-0.64930266,0.7085809
1994,-0.1206504,0.15869918,0.015983742
1915,-0.23597986,0.22804031,-0.041537583
1325,-0.8651821,-0.9303642,0.89793557
1454,-0.12688752,-0.553775,0.42664868
1171,-0.4801407,-0.46028137,0.5115639
1044,-0.29706493,-0.39412984,0.45909882
1580,-0.96043336,0.17913325,0.14265656
1104,-0.21504626,0.16990748,-0.0066433907
1464,-0.9495813,0.5008373,-0.07370205
1113,-0.35100576,0.19798848,0.0018821597
1185,-0.67729175,0.24541645,0.0403955
1814,-0.7103575,-0.92071503,0.88789165
1135,-1.2320057,-1.6640115,1.5307821
1166,-0.261474,0.17705198,-0.010569436
1494,-0.52613115,-0.55226225,0.5289935
1582,-0.7959387,0.30812266,0.13259014
1217,-1.578201,-0.3564021,0.7075769
1844,-0.20300083,0.19399834,-0.049302567
1063,-0.53535026,-0.6707005,0.7004143
1971,-0.17827061,-0.9565412,0.73736113
1412,-0.43954748,-0.47909498,0.4574031
1880,-0.9449272,0.31014553,0.0607255
1477,-0.41157594,0.17684811,0.024114538
1243,-0.91076666,-2.1215334,2.1966233
1430,-0.18019372,0.13961256,-0.008600617
1764,-0.3731649,0.15367019,0.013188696
1225,-0.6688643,0.26227143,0.036520768
1025,-0.4642133,0.17157336,0.03093865
1875,-0.19997022,0.20005956,-0.059907626
1432,-0.18530364,0.12939271,-0.0044412613
1068,-1.0762402,0.14751963,0.26365528
1177,-0.5802763,-0.3605526,0.5011434
1472,-0.4972396,0.2055208,0.028557181
1283,-0.5549415,0.19011705,0.07968132
1496,-1.3428551,-1.5857102,1.5371492
1672,-0.5114609,-0.6229218,0.61447114
1832,-0.1646014,0.1707972,-0.040264346
1349,-0.34353095,-0.1870619,0.33505407
1431,-0.8804216,0.33915684,0.07069306
1799,-0.9127999,-1.3255998,1.4703202
1133,-0.45554042,0.08891916,0.0878247
