,x1,x2,x3
1188,0.29047093,0.23808861,0.54760677
1863,0.3445457,0.23068218,0.5496825
1094,0.37675396,0.19594245,0.5003718
1159,0.23014665,0.5126833,0.3158446
1155,-0.010356533,0.31205434,0.83066213
1776,0.6436198,0.35452467,0.10250659
1288,0.23749112,0.2968639,0.57810414
1028,0.3148434,0.2685542,0.5248819
1510,0.51064503,0.58830625,1.0500158
1966,0.38300553,0.028756905,0.710063
1221,0.27107614,0.28884524,0.5670291
1137,0.2986419,0.29830235,0.5168084
1111,0.4739116,0.31738952,0.4286923
1184,0.21413456,0.2926682,0.5582162
1454,0.4731125,0.24139062,0.62181437
1170,0.35340795,0.016759943,0.6955088
1118,0.51319677,-0.408504,1.0160125
1157,0.065505244,0.33188155,0.7439373
1498,0.66780454,0.40975568,0.9743406
1110,0.3301646,0.6627058,0.14588675
1521,0.42433974,0.43042472,0.23719847
1836,0.23257862,0.29072326,0.56655973
1524,-0.04450178,0.39437276,0.74542075
1365,0.2953022,0.36912775,0.37396026
1927,0.5478613,0.13482662,0.35747403
1399,0.064540245,-0.09432469,1.1666696
1360,0.6474031,0.25925392,0.21139745
1453,0.28495473,0.20619342,0.5996438
1764,0.2268351,0.15854388,0.7180625
1981,0.19031434,-0.58710706,1.4922386
1794,0.35602778,0.67003477,0.031665184
1946,0.33300734,0.09125917,0.6275672
1069,0.33471948,0.31839934,0.6065908
1068,0.32375982,0.2546998,0.47083557
1072,0.5580884,0.19761053,0.6115078
1083,0.35092565,0.21365707,0.50967526
1174,0.67960095,0.7495011,-0.36293787
1788,0.05385349,0.31731686,0.7165557
1273,0.049799513,-0.03775058,1.0970289
1468,0.29353234,0.2419154,0.57480097
1246,1.5883121,-0.18960987,-0.31246644
1707,0.2979691,0.22246137,0.5502274
1802,0.38251117,0.12813896,0.60890126
1406,0.27367476,0.36709347,0.5981357
1697,0.05212171,1.1651522,-0.09751394
1148,0.07365104,0.3670638,0.65808
1570,1.6107156,1.2883946,2.770182
1005,0.30571768,0.2071471,0.5334365
1923,0.2911395,0.2889244,0.49917784
1327,0.29136464,0.23920578,0.5697069
1828,0.3063678,0.2829598,0.49996445
1297,0.33827823,0.19784775,0.53995377
1832,0.1353986,0.21924825,0.8081867
1875,0.80002975,0.65003717,0.09006998
1980,1.0292577,0.83657205,-0.7112445
1283,0.34505853,0.30632317,0.39588752
1271,0.68984365,-0.36269543,0.7861327
1230,0.37987518,0.22484398,0.54270667
1483,0.53310686,0.24138358,0.65780115
1637,-0.0037026764,0.37037164,0.6762987
1215,0.32573083,0.2571635,0.4754674
1652,0.19223826,0.040297825,0.8717599
1533,0.2709319,0.31366488,0.54169
1547,0.3019611,0.27745137,0.52960855
1369,0.34048992,0.37561238,0.35015133
1275,0.21710889,0.29638612,0.5652059
1996,0.472751,-0.7590612,1.4009649
1299,0.53073186,0.28841484,0.7222199
1614,-0.039376877,1.4007789,-0.20253564
1735,0.07450871,-0.10686411,1.0950955
1243,0.28923333,0.26154163,0.5796982
1418,-0.24171944,0.37285072,0.97695935
1909,0.3951413,0.018926525,0.68358195
1427,0.39930424,0.024130309,0.653365
1073,0.2533868,0.29173347,0.50045884
1409,0.47702122,0.22127652,0.59599984
1203,0.30698276,0.23372844,0.57140946
1593,0.382886,0.27860755,0.5797821
1646,0.17830782,0.24788466,0.6140233
1309,0.31147653,0.26434565,0.47696984
1682,0.27533782,0.24417225,0.5470439
1482,-0.0007526755,0.32405913,0.75323117
1080,0.68230915,0.5028864,1.1134264
1284,0.31817013,0.22271271,0.54269975
1344,0.36139145,0.2517393,0.5692699
1672,-0.0114609,0.46067387,0.6980669
1963,0.40463516,0.23079395,0.46589258
1381,0.26464444,0.25580555,0.5169144
1906,0.438572,0.29821497,0.68064415
1063,0.36464977,-0.16918778,0.901927
1686,0.28512776,0.25640967,0.5900502
1038,0.31604105,0.24505123,0.51269627
1430,0.9198063,0.7497579,-0.49845526
1091,-0.20122524,1.4484684,-0.1528794
1081,0.29839295,0.27299118,0.5212234
1804,0.85432726,0.69290906,-0.41733095
1518,0.35624656,0.3953082,0.32717952
1671,0.28065938,0.30082422,0.50954956
1594,0.52443063,0.45553833,0.13241181
1039,-0.42204422,-0.6525553,2.133196
