,x1,x2,x3
1642,1.0,2.1,-0.0
1198,0.6,0.5,1.7
1805,0.0,0.1,1.0
1002,0.0,0.0,0.1
1560,0.7,3.1,4.5
1594,1.1,-0.0,-0.0
1435,0.6,0.9,4.1
1931,0.2,4.1,6.4
1751,0.3,0.5,0.0
1814,0.0,3.0,5.1
1657,0.6,1.7,2.6
1683,0.1,0.8,-0.0
1177,1.4,-0.0,-0.0
1717,0.3,3.3,0.9
1118,0.1,0.2,1.4
1505,2.8,6.0,11.3
1791,-0.1,0.0,5.3
1372,2.4,-0.0,8.1
1898,1.0,-0.0,-0.0
1131,0.3,1.3,3.6
1009,-0.0,0.1,0.2
1274,0.6,1.6,2.8
1014,0.1,0.1,3.2
1533,-0.0,1.7,2.3
1310,0.2,0.6,0.9
1679,0.3,-0.0,1.6
1757,-0.1,2.8,4.5
1864,0.4,1.0,0.0
1348,0.2,0.7,-0.0
1886,0.2,0.3,4.0
1168,0.9,0.0,3.2
1841,0.2,0.3,-0.0
1713,0.1,0.8,1.2
1233,0.3,2.7,6.7
1459,0.3,0.7,0.7
1661,0.0,0.6,2.2
1681,1.5,0.0,4.2
1352,0.2,0.4,0.5
1633,0.1,1.5,2.0
1289,1.4,5.0,8.0
1475,0.1,0.1,0.2
1314,0.0,0.1,0.1
1237,0.7,-0.0,-0.0
1356,0.4,2.4,4.7
1270,0.0,0.2,0.3
1212,0.2,0.4,0.0
1629,-0.0,1.7,2.6
1486,0.2,0.6,0.0
1313,2.2,0.0,0.0
1824,0.0,-0.1,6.9
1708,1.7,4.2,6.2
1366,0.3,0.9,1.5
1308,0.2,0.4,0.6
1769,0.2,2.1,3.5
1470,0.0,2.3,3.7
1872,0.3,0.0,3.1
1892,1.5,0.0,0.0
1087,0.8,2.9,4.2
1302,2.0,4.2,8.3
1319,0.9,2.0,3.2
1603,0.0,0.3,0.5
1723,-0.0,3.8,5.6
1807,-0.0,0.4,1.6
1952,0.8,0.0,0.0
1860,0.8,1.6,2.4
1659,0.1,2.6,4.6
1431,0.1,0.9,1.4
1901,0.1,0.4,0.5
1928,0.0,0.1,0.1
1989,0.2,-0.2,6.3
1900,0.1,1.1,1.7
1574,1.0,2.1,3.3
1726,0.0,0.2,0.4
1329,0.3,1.7,2.8
1921,0.0,0.1,0.2
1627,0.2,3.2,5.4
1961,0.1,0.1,3.5
1387,0.0,0.1,0.1
1819,0.5,0.9,1.5
1303,0.2,0.9,1.3
1619,0.0,1.2,1.9
1176,0.0,0.3,0.0
1230,0.0,0.1,0.2
1016,0.0,0.3,0.5
1873,-0.0,0.3,1.4
1816,-0.0,2.7,3.6
1675,0.6,0.7,3.8
1639,1.3,0.5,4.0
1942,0.0,0.2,3.2
1569,0.0,0.5,7.0
1101,0.2,0.6,0.8
1306,0.3,0.7,2.9
1652,0.0,1.4,0.0
1469,0.0,1.6,5.2
1420,-0.1,0.5,6.3
1161,0.2,-0.0,4.3
1143,-0.0,0.1,0.2
1030,0.3,3.0,4.9
1858,0.0,0.0,3.6
1990,0.2,0.5,0.7
