,y_hat
1746,False
1255,False
1202,False
1649,False
1882,False
1683,False
1495,False
1165,False
1659,False
1303,False
1386,False
1288,False
1448,False
1415,False
1993,False
1708,False
1156,False
1313,False
1422,False
1182,False
1842,False
1204,False
1608,False
1980,False
1351,False
1014,False
1089,False
1094,False
1336,False
1623,False
1681,False
1538,False
1933,False
1529,False
1531,False
1704,False
1074,False
1144,False
1015,False
1356,False
1848,False
1093,False
1676,False
1220,False
1976,False
1166,False
1615,False
1459,False
1840,False
1642,False
1903,False
1859,False
1049,False
1337,False
1131,False
1319,False
1820,False
1567,False
1680,False
1626,False
1744,False
1593,False
1460,False
1629,False
1219,False
1059,False
1031,False
1654,False
1079,False
1384,False
1332,False
1434,False
1428,False
1776,False
1145,False
1276,False
1139,False
1884,False
1405,False
1689,False
1030,False
1928,False
1286,False
1956,False
1259,False
1488,False
1905,False
1479,False
1491,False
1036,False
1964,False
1570,False
1245,False
1853,False
1244,False
1731,False
1528,False
1772,False
1590,False
1250,False
