,0
1326,1.0
1240,1.0
1301,1.0
1979,1.0
1443,1.0
1457,1.0
1239,1.0
1809,1.0
1000,1.0
1204,1.0
1084,1.0
1483,1.0
1089,1.0
1296,1.0
1048,1.0
1036,1.0
1146,1.0
1010,1.0
1622,1.0
1952,1.0
1507,1.0
1685,1.0
1662,1.0
1439,1.0
1319,1.0
1256,1.0
1904,1.0
1072,1.0
1051,1.0
1693,1.0
1759,1.0
1842,1.0
1299,1.0
1145,1.0
1272,1.0
1978,1.0
1772,1.0
1353,1.0
1683,1.0
1851,1.0
1889,1.0
1695,1.0
1668,1.0
1316,1.0
1554,1.0
1879,1.0
1488,1.0
1288,1.0
1428,1.0
1959,1.0
1111,1.0
1900,1.0
1578,1.0
1579,1.0
1768,1.0
1157,1.0
1954,1.0
1093,1.0
1099,1.0
1042,1.0
1804,1.0
1627,1.0
1680,1.0
1717,1.0
1437,1.0
1098,1.0
1403,1.0
1637,1.0
1747,1.0
1529,1.0
1981,1.0
1894,1.0
1874,1.0
1704,1.0
1659,1.0
1612,1.0
1091,1.0
1267,1.0
1295,1.0
1193,1.0
1179,1.0
1375,1.0
1568,1.0
1351,1.0
1542,1.0
1502,1.0
1688,1.0
1549,1.0
1513,1.0
1829,1.0
1975,1.0
1966,1.0
1642,1.0
1206,1.0
1562,1.0
1452,1.0
1930,1.0
1977,1.0
1873,1.0
1114,1.0
