,x1,x2,x3
1464,0.050418664,0.03802333,-3.2363486
1940,0.017815944,0.07226993,-0.0010061488
1383,0.083767556,0.004709445,-0.06963922
1737,0.08608961,0.032612015,-3.2882535
1243,0.089233324,-0.33845836,0.09539156
1668,0.06894073,0.03617591,-0.460413
1023,0.0021224618,0.077653065,-0.16916324
1782,0.14050043,0.050625533,0.011376172
1013,-0.021196343,0.073504575,0.04171006
1790,0.1340574,0.017571755,-0.081342146
1107,0.09785067,0.022313341,-0.030910648
1528,0.020441722,0.025552154,-3.1437852
1165,0.0466282,0.033285253,-0.34677243
1490,0.34479997,0.030999959,-0.2518001
1603,0.011004162,0.013755202,-2.8697383
1582,0.40406132,0.20507665,-2.0888314
1105,0.020790363,0.20098798,-0.21782647
1833,0.08498295,0.08122868,-0.2412969
1308,0.014580226,0.06822531,-1.7099043
1818,0.0693506,0.03668825,0.040714152
1091,0.09877477,0.0484684,-2.6533694
1555,0.047400095,0.084250115,-2.5946498
1594,0.52443063,0.15553829,-0.05781573
1502,0.09802546,0.022531891,-4.8304296
1199,0.05216993,0.09021243,-1.8815327
1786,0.05890136,0.023626756,-2.788021
1580,0.039566625,0.049458265,-0.29119182
1844,0.29699916,0.19624895,0.2917477
1139,-0.0141321765,0.08233478,0.06113651
1566,0.3071578,0.08394727,-0.055316
1921,0.15857828,0.023222875,-3.8889098
1969,0.030713525,-0.011608094,0.034462184
1454,0.27311248,0.041390598,-2.6489406
1333,0.022196006,0.027745008,-3.338961
1044,0.0029350817,0.07866885,-0.16692853
1036,0.067103624,0.08387947,-0.8154651
1630,-2.9710195,0.036225796,0.07969685
1570,0.010715651,0.0883946,-3.645532
1674,0.065098956,0.0063736914,-0.24597788
1846,0.094366215,0.01795783,-1.0404929
1671,-0.7193406,0.10082424,0.121813275
1195,0.095087335,0.018859172,-0.23850983
1537,0.14982918,0.08728647,0.11203024
1947,0.0054071187,-1.543241,0.064869545
1211,0.09217141,0.04021423,-3.0715287
1479,0.040982164,0.026227703,0.03770095
1841,0.16594015,0.007425189,-0.14366458
1352,0.09044842,0.06306054,-1.5012668
1749,-0.14196919,0.02253851,0.009584719
1613,0.02825979,0.08532475,-0.17228556
1330,0.013670665,-0.13291168,0.08759431
1342,0.18974335,0.062179193,-0.9032059
1184,-0.38586545,0.09266819,0.063870095
1081,0.09839294,0.07299121,-1.5794194
1736,0.010243583,0.062804505,-5.02183
1297,0.038278222,0.19784775,-0.24473491
1563,0.010913277,0.06364159,-4.0199885
1499,0.026954824,0.033693522,-0.12587425
1676,-1.0699008,0.06262412,0.057773113
1661,0.06959362,0.036992025,-6.058617
1129,0.060174726,0.025218438,-3.5845196
1172,0.023837185,0.07979648,-0.18444774
1164,0.06524275,0.0065534413,-0.04558243
1799,0.5872001,0.35900015,0.4898003
1215,0.025730824,0.0571635,-3.1542404
1364,0.04596293,0.08245363,-3.8986022
1084,0.090239026,0.03779881,-2.3768425
1014,0.054242205,0.092802785,-1.8758339
1981,0.09031434,0.0128928665,-2.9516358
1230,0.079875186,0.02484398,-1.6053432
1551,0.05016488,0.0377061,-0.03704659
1946,-0.9669927,0.09125917,0.040770005
1523,0.028774804,0.0109685045,-0.2958693
1401,0.0031835078,0.0039794445,-6.691245
1923,0.49113953,0.2889244,0.3756337
1742,-0.44672328,0.041595913,0.071510956
1855,0.079504214,0.074380256,-2.4563634
1515,0.028901124,0.08612637,-3.170522
1620,0.07150984,0.014387297,-0.62834793
1901,0.20887575,0.03609468,-2.0005918
1521,0.024339747,0.030424714,-0.5330657
1614,0.06062312,0.1007789,-1.8582864
1041,0.07795076,0.022438336,-6.2106357
1260,0.014474195,0.06809275,-0.610196
1298,0.026127923,0.03265989,-2.3281481
1592,-0.580956,0.023805022,0.052371003
1955,0.05847072,0.07308841,-0.039205506
1354,0.09974399,0.099679984,-0.90070397
1003,0.0476697,0.05958712,-0.06890833
1681,0.12476935,0.05596169,-0.65688425
1249,0.043096583,0.0038707294,-0.031484395
1009,0.01817069,0.022713423,-0.7500305
1449,0.062614724,0.05326841,-0.5028095
1148,0.27365103,0.06706379,-2.3724594
1175,0.032876454,0.016095614,-2.4845896
1233,0.03943658,0.07429566,-0.6165495
1135,0.7679943,0.33499286,-4.2630157
1473,-0.024040358,0.044949558,0.058889024
1037,0.06851001,0.010637514,-0.7365975
1027,0.037960015,-0.35255,0.0043900013
