,x1,x2,x3
1321,0.8,0.9,2.1
1931,0.1,1.8,3.9
1813,1.3,1.6,3.8
1091,1.1,1.4,3.1
1347,0.5,0.0,1.2
1027,0.5,0.5,1.4
1077,0.3,0.4,0.8
1501,0.6,0.9,2.1
1359,0.5,0.6,0.8
1465,0.2,0.1,0.5
1449,1.5,1.2,4.1
1378,0.7,0.9,0.0
1632,0.3,0.4,0.9
1390,-0.0,1.4,-0.0
1231,0.6,-0.0,-0.0
1155,0.9,-0.0,2.3
1429,0.9,1.2,0.9
1975,2.2,2.8,2.3
1430,0.7,1.5,1.8
1367,0.4,0.5,1.2
1674,0.8,0.9,2.1
1918,0.0,1.4,3.1
1306,0.2,0.3,0.7
1381,1.4,1.8,7.6
1309,0.0,2.9,0.0
1846,2.4,3.0,6.7
1595,1.1,1.4,3.1
1710,0.3,-0.0,0.0
1676,1.1,1.5,3.3
1982,0.7,0.9,2.0
1761,1.5,1.9,4.3
1364,1.3,2.9,3.6
1240,1.1,0.9,2.0
1693,0.2,0.2,0.4
1763,1.0,1.3,2.9
1816,0.3,0.6,1.3
1302,0.3,0.5,1.0
1620,1.9,0.0,5.2
1451,0.8,1.0,0.0
1436,1.3,0.6,0.4
1977,1.2,0.0,3.2
1808,0.5,0.6,1.4
1166,0.4,0.5,1.0
1082,0.4,0.0,0.0
1235,1.8,2.3,5.1
1202,0.4,1.7,4.6
1805,1.0,1.3,-0.0
1020,0.5,0.5,0.9
1011,0.2,1.5,4.1
1925,1.4,1.8,3.9
1498,1.7,-0.0,-0.0
1490,2.3,1.2,-0.0
1148,0.9,1.2,2.6
1737,1.5,1.9,4.2
1446,2.4,3.1,6.6
1905,0.9,1.1,2.4
1927,1.5,0.0,4.1
1180,0.8,0.8,2.1
1946,1.0,1.4,3.0
1014,1.0,0.0,0.0
1802,1.2,1.3,3.2
1791,0.6,0.9,1.9
1132,0.5,0.9,1.9
1509,0.3,0.4,0.9
1841,0.8,0.9,2.1
1283,1.0,-0.0,0.0
1171,1.9,1.9,4.2
1006,1.1,1.4,3.2
1962,0.4,-0.0,-0.0
1145,0.1,0.2,0.5
1402,1.1,2.6,1.4
1859,1.4,0.0,0.0
1147,0.8,1.3,2.8
1219,1.0,2.5,5.6
1137,0.8,1.2,2.6
1736,2.3,1.0,6.2
1046,0.8,-0.0,-0.1
1895,2.3,2.2,4.9
1395,0.5,0.0,1.3
1531,0.8,1.0,2.2
1994,0.4,0.0,0.9
1878,2.2,2.2,0.0
1673,0.2,0.3,0.7
1963,0.9,1.2,-0.0
1103,1.7,2.7,5.6
1088,0.6,0.9,1.9
1260,0.4,0.4,0.0
1661,0.9,3.1,7.2
1373,0.9,1.9,1.4
1463,0.6,0.0,0.0
1218,1.6,2.0,4.6
1821,1.3,-0.0,-0.0
1369,0.8,1.0,2.1
1769,0.4,0.0,0.1
1351,0.8,1.3,2.8
1672,0.5,0.8,1.8
1467,1.3,-0.0,0.0
1853,-0.0,1.7,-0.0
1593,0.9,1.2,2.6
1496,1.4,2.1,3.8
