,x1,x2,x3
1462,0.4,0.5,0.1
1987,0.0,0.1,0.1
1253,0.6,0.9,0.1
1437,0.8,-0.0,2.0
1443,-0.2,0.9,1.5
1519,1.3,1.9,0.2
1886,1.1,1.7,0.2
1274,1.1,1.6,0.1
1023,0.2,0.3,0.1
1327,0.7,1.0,0.0
1999,-0.1,0.5,0.8
1356,1.6,2.5,0.0
1234,1.5,2.2,0.2
1177,0.8,1.2,-0.0
1010,1.4,2.1,0.2
1895,0.8,1.2,-0.0
1787,0.1,0.1,-0.1
1387,-0.0,0.4,0.6
1839,-0.0,0.1,0.1
1902,0.9,1.3,0.0
1046,0.0,0.4,0.7
1090,2.0,3.0,-0.1
1452,0.0,1.2,2.1
1658,1.7,2.6,0.1
1836,1.6,2.4,0.1
1835,0.9,1.3,0.1
1388,2.0,3.0,0.2
1907,0.5,1.0,0.0
1745,0.9,1.3,0.0
1186,0.9,1.4,0.1
1319,1.2,1.8,0.1
1459,0.5,0.7,0.0
1065,1.6,2.3,0.1
1971,2.1,3.1,-0.0
1873,0.6,0.8,0.2
1532,1.6,2.3,0.1
1757,1.6,2.3,0.1
1914,1.4,2.0,-0.1
1414,0.6,0.9,-0.2
1742,1.1,1.6,0.1
1571,0.1,0.1,0.2
1075,1.3,2.0,0.0
1725,0.4,-0.1,1.0
1753,0.1,0.2,0.4
1288,1.0,1.4,-0.2
1182,0.2,0.4,0.6
1446,0.2,0.3,-0.3
1752,0.3,0.4,-0.0
1093,0.5,0.8,-0.1
1184,0.3,0.4,0.1
1576,1.7,2.5,-0.0
1413,0.3,0.4,0.1
1826,0.5,0.7,0.1
1179,1.1,-0.1,2.7
1014,0.9,1.3,-0.0
1770,0.3,0.5,-0.0
1606,1.0,1.5,-0.2
1913,0.4,0.5,-0.0
1593,0.4,-0.0,1.0
1864,0.1,1.0,1.7
1879,0.7,1.0,0.1
1539,1.7,2.5,0.1
1541,0.4,0.5,0.0
1781,0.7,1.2,-0.0
1978,0.3,0.4,0.3
1778,1.4,-0.0,3.6
1435,1.3,2.0,0.1
1642,1.2,1.8,0.0
1769,1.3,1.9,-0.1
1168,1.1,1.7,0.4
1954,1.9,2.8,-0.0
1528,0.2,0.3,0.0
1561,1.1,1.6,0.2
1352,0.4,0.6,0.0
1238,0.3,0.4,-0.0
1159,0.2,0.3,0.1
1575,2.4,3.6,-0.1
1911,1.1,1.6,0.2
1302,2.8,4.0,0.1
1617,0.0,0.9,1.5
1821,2.7,4.0,-0.1
1103,1.0,1.5,-0.1
1786,0.3,-0.0,0.6
1276,1.0,1.5,0.2
1631,0.2,0.5,0.9
1621,1.4,2.1,0.0
1457,2.2,-0.2,5.6
1036,1.2,1.8,-0.0
1147,0.0,0.6,1.0
1149,0.1,0.1,0.2
1112,0.4,0.6,0.0
1598,0.5,0.7,0.0
1284,1.2,0.2,3.0
1934,0.8,1.3,-0.0
1773,1.2,-0.1,2.9
1694,0.4,0.5,0.1
1439,0.5,0.8,1.3
1924,3.4,5.1,4.1
1401,1.2,1.8,0.2
1961,1.0,1.4,-0.0
