,x1,x2,x3
1770,-0.36282364,0.07147046,0.177235
1952,0.035173096,0.09396635,-0.953274
1223,0.0809355,0.07616935,-1.8524274
1861,0.06201004,0.07751256,-1.4294723
1978,0.05651583,-0.004355211,0.030418526
1606,0.014760256,0.06845026,-1.9094093
1717,0.09144771,0.06430967,0.20148124
1690,0.048543952,-0.03932006,0.13349584
1638,-0.025257269,0.043428417,0.3555425
1552,-0.2443692,0.1945385,0.02798472
1210,0.017239321,-0.17845085,0.44740817
1635,0.021443784,-0.39819527,0.08397045
1811,0.07939969,0.0992496,-1.581651
1146,0.06598289,-0.21752138,0.28145304
1443,0.049837865,0.11229734,-0.8129458
1791,0.030282045,0.08785252,-4.3667245
1320,0.053622197,0.04202781,-0.2275389
1105,0.04822742,0.060284257,-1.4673746
1475,0.06527531,0.006594139,-0.4454929
1557,0.022067498,-0.7474156,0.03568556
1045,-0.03904024,0.0511997,0.49263933
1744,0.040222358,-0.29972205,0.16061148
1131,0.09572549,0.019656802,-2.636755
1994,0.082496144,0.028120209,0.10186443
1101,0.063088745,0.05386094,0.39849406
1030,0.041842055,0.027302599,-0.2599343
1650,0.06051786,0.075647354,0.06642415
1587,0.0411808,-1.548524,0.013247204
1212,0.06589409,0.0823676,0.48120874
1071,0.09828224,0.097852804,-1.6047238
1737,0.0676898,0.08461225,0.48614696
1258,0.07173948,0.064674355,0.022283584
1118,-0.4854428,0.093196526,0.16503233
1386,0.07011851,0.062648155,0.21782592
1486,0.06923419,0.061542727,0.415394
1986,0.034918826,-0.30635145,0.14602679
1029,0.06098671,0.026233386,0.5177134
1072,0.09687957,0.09609947,0.49141884
1788,-0.06606419,0.017419768,0.2183235
1567,-0.6131725,0.033534396,0.113775656
1319,0.012564612,0.015705824,-0.065447256
1282,0.094794616,0.01849326,0.26068518
1201,0.025733579,0.032166958,-1.7292328
1621,0.064718984,-0.26910126,0.027977418
1652,0.06971736,0.012146699,-1.3332772
1084,0.012200165,0.09025021,-3.3414495
1964,-0.4972109,0.028486365,0.18267
1990,0.09784266,-0.4026967,0.19406728
1701,-0.16551438,0.018107025,0.31983545
1014,0.04304173,0.028802132,-1.9566354
1331,0.09593258,0.044915725,-2.5611854
1388,0.013388276,0.016735315,-0.46318227
1537,-0.9956962,0.055379797,0.061835576
1348,0.039790146,0.049737692,-0.69057703
1793,0.02248144,0.003101802,0.18682396
1962,0.00782457,-0.11521929,0.046517573
1930,0.06376965,0.0047120675,0.050366532
1824,0.075028636,0.09378576,-3.5936716
1697,0.009108591,0.16138569,-4.5249515
1291,0.008356929,0.03544619,-3.5020185
1585,0.022136027,0.027670026,-0.73912597
1907,0.024462879,-0.0944214,0.09227302
1290,-0.1403805,0.024524372,0.3139536
1191,0.095059395,0.093824245,-0.51358664
1046,0.08845574,0.03556967,0.118253306
1841,0.09818252,0.02272817,-0.22999805
1182,0.080713704,0.025892127,0.49696267
1852,0.053288493,-0.008389384,0.12154333
1369,0.017218184,0.02152276,-0.052649964
1179,0.0672308,0.009038496,-2.1401153
1529,0.07200477,0.015005994,-1.9269868
1616,-0.0058108284,0.06773646,0.30902022
1594,0.011274862,0.014093578,-1.7689941
1067,0.19878802,0.07348509,-1.7783328
1195,0.10002273,0.10002843,-0.49993744
1412,0.051699545,0.014624432,0.49217373
1976,0.05365128,0.0420641,0.27254105
1177,0.00998913,-0.5875136,0.027470063
1162,0.057065986,0.046332456,-1.7180685
1036,0.03288133,0.041101694,-0.009576306
1253,0.03108654,-0.9111418,0.23548798
1915,0.024528408,0.03066051,-0.43254688
1469,0.10133956,-1.9733256,0.07868381
1814,0.018498372,0.09812303,-4.4241295
1624,0.09215604,0.040195037,0.5284291
1561,0.08270929,0.028386641,0.10245058
1499,0.05142672,0.0142834,0.19142348
1610,0.0109940525,0.038742565,-2.5947664
1242,0.031110382,0.013887977,0.41055354
1349,0.020419383,0.10052426,-2.1188467
1674,0.05304711,-0.2586911,0.07087946
1805,0.016342038,-0.37957245,0.044940628
1025,-0.13447721,0.031903487,0.03018766
1257,0.06064287,0.05080358,-0.6082321
1884,0.031860232,0.06482532,-3.4373844
1076,0.08049548,0.100619316,-0.27863747
1070,0.08228751,0.07785938,-2.2487092
1588,0.07725906,0.09657383,-4.9875374
1081,0.036628354,0.045785427,-1.6992722
1277,-0.5851554,0.09355576,0.06582262
