,x1,x2,x3
1081,0.8,0.9,0.0
1934,0.6,0.6,1.8
1649,-0.0,0.8,-0.0
1964,0.2,0.2,0.5
1199,0.1,0.1,0.3
1030,-0.3,-0.2,6.2
1973,0.4,0.5,1.2
1770,0.2,0.0,-0.0
1852,0.3,0.0,-0.0
1291,1.4,1.6,3.8
1391,0.1,0.2,0.5
1995,0.3,-0.0,-0.0
1733,-0.0,0.3,0.8
1312,-0.3,0.1,7.7
1352,0.1,0.2,0.8
1617,0.5,0.6,1.3
1888,-0.1,0.1,0.3
1344,1.4,1.7,5.5
1539,0.1,0.0,5.7
1116,0.3,0.4,-0.0
1864,0.1,0.2,1.9
1621,0.2,0.6,4.3
1346,0.2,0.2,0.5
1324,0.2,-0.0,-0.0
1234,0.8,-0.0,4.3
1316,0.2,1.4,-0.0
1016,0.1,0.1,0.7
1655,-0.2,1.6,4.3
1295,0.5,0.0,3.8
1382,-0.0,0.0,0.1
1791,0.1,0.6,4.5
1652,0.7,0.0,0.0
1681,0.3,-0.3,5.2
1099,0.1,-0.0,0.1
1535,-0.0,-0.0,0.9
1713,-0.0,1.1,-0.0
1184,0.1,0.1,0.3
1076,1.8,1.8,5.2
1641,0.3,-0.0,0.7
1611,-0.1,1.2,4.7
1146,0.3,-0.0,3.7
1498,0.1,0.2,0.2
1040,0.4,0.5,2.0
1906,0.0,0.5,3.8
1161,0.2,-0.0,4.1
1989,1.4,0.0,3.6
1735,0.1,-0.0,0.2
1569,0.5,1.5,5.2
1303,0.5,-0.0,1.3
1364,1.0,0.0,0.0
1924,2.2,2.3,10.3
1440,0.8,1.2,0.0
1170,-0.0,1.6,4.0
1470,0.3,1.5,3.5
1651,3.0,1.9,9.2
1201,0.7,0.0,1.9
1026,0.6,0.7,0.0
1911,-0.2,0.9,3.1
1206,0.4,0.9,4.3
1731,1.6,-0.0,0.0
1372,1.4,1.3,8.4
1740,0.8,1.0,2.1
1077,1.3,1.7,3.6
1831,0.1,0.8,2.5
1090,0.2,0.5,7.2
1816,0.0,0.2,4.6
1102,0.3,0.9,6.4
1131,1.0,1.2,2.7
1923,0.2,2.1,4.6
1520,0.3,0.4,0.9
1769,0.0,0.0,4.3
1014,0.8,0.0,2.4
1233,1.3,0.0,6.0
1591,0.0,0.1,1.4
1931,1.3,2.3,5.9
1285,0.0,0.1,0.0
1771,0.1,0.1,1.2
1872,1.0,-0.0,-0.0
1738,0.1,0.0,0.0
1726,0.2,0.1,0.5
1282,0.3,0.8,1.7
1585,0.1,0.1,0.9
1840,-0.0,-0.0,5.4
1562,0.7,1.0,2.1
1766,0.2,0.2,1.2
1166,1.4,1.7,-0.0
1998,2.2,1.4,7.0
1413,0.1,0.2,0.2
1210,0.1,0.0,2.5
1627,-0.0,-0.1,6.6
1433,0.5,0.6,1.3
1457,2.3,0.0,5.6
1263,0.4,0.0,0.0
1221,0.1,0.1,5.0
1055,1.0,0.0,5.3
1794,0.3,0.4,0.0
1459,0.2,0.4,0.9
1985,0.9,2.0,5.4
1363,0.0,0.6,4.0
1458,0.8,1.0,2.1
