ix,goal_cost,intv_cost
1362,0.756,15.9
1831,0.812,4.4
1761,0.759,2.5
1708,0.754,13.5
1002,0.764,0.7
1196,0.893,0.6
1485,0.759,7.6
1347,0.767,2.9
1990,0.762,2.7
1458,0.758,5.7
1806,0.833,3.0
1118,0.767,3.2
1989,0.754,8.8
1603,0.76,2.1
1652,0.751,3.9999999999999996
1717,0.758,5.8
1858,0.755,5.8
1486,0.751,2.8
1864,0.751,4.0
1009,0.762,1.5
1899,0.76,4.300000000000001
1716,0.761,1.1
1606,0.767,6.300000000000001
1234,0.761,9.0
1316,0.76,4.7
1842,0.76,4.7
1426,0.763,0.6000000000000001
1385,0.758,2.0
1317,0.757,6.199999999999999
1386,0.817,1.4
1398,0.816,2.3
1607,0.753,8.4
1817,0.944,1.1
1949,0.753,6.3
1794,0.954,2.2
1811,0.752,4.6
1110,0.752,8.3
1344,0.753,12.0
1267,0.989,4.2
1306,0.759,5.7
1014,0.785,2.8
1302,0.763,16.4
1617,0.76,3.7
1685,0.756,6.7
1572,0.9399999976158142,1.0
1540,0.763,2.9
1587,0.757,7.3
1130,0.762,0.3
1769,0.757,7.699999999999999
1539,0.756,10.0
1962,0.761,2.5
1633,0.756,1.3
1295,0.755,7.5
1659,0.763,9.5
1888,0.78,0.4
1383,0.752,11.8
1366,0.758,4.1
1170,0.757,8.700000000000001
1263,0.765,2.5999999999999996
1826,0.753,2.9
1236,0.757,10.7
1166,0.753,8.2
1462,0.762,2.2
1536,0.767,1.9
1751,0.82,2.3
1651,0.754,19.1
1495,0.755,8.2
1418,0.754,2.0
1065,0.754,9.399999999999999
1287,0.761,2.8
1699,0.786,0.7
1087,0.754,9.5
1985,0.753,11.8
1468,0.753,6.6
1687,0.757,8.1
1567,0.751,3.9
1464,0.762,5.1
1230,0.761,0.8
1955,0.764,5.5
1770,0.772,1.9
1575,0.752,14.7
1901,0.751,2.3
1922,0.753,2.8
1563,0.755,5.2
1627,0.754,11.0
1146,0.752,7.1
1661,0.76,4.699999999999999
1631,0.76,1.1
1629,0.753,6.1
1348,0.7699999809265137,2.0
1836,0.773,5.0
1648,0.762,5.4
1439,0.754,3.2
1504,0.764,5.8
1303,0.757,1.9
1209,0.779,1.4000000000000001
1168,0.756,6.8
1427,0.754,6.5
1016,0.76,1.1
1879,0.752,3.8
