,h_post,h_post_individualized
1391,0.8244306249631974,
1685,0.6255380131436842,
1562,0.5749743204939848,
1542,0.5129306224751486,
1014,0.5493771128321968,
1856,0.5310304326885443,
1729,0.579379352575882,
1127,0.5904706349345089,
1111,0.6290479720885597,
1803,0.5373565079579368,
1245,0.5695528558477612,
1629,0.5263821880438475,
1781,0.6518352422961358,
1182,0.5193255908236301,
1796,0.5097762982587505,
1662,0.8791781049359753,
1193,0.558041234187615,
1000,0.564978965396329,
1091,0.510015282433568,
1128,0.5358322929193515,
1688,0.7812835353765955,
1561,0.55775293068281,
1873,0.7836875028739059,
1622,0.6073887734106054,
1942,0.5979652658275486,
1201,0.5628100920071829,
1457,0.5052381691552688,
1212,0.5158052367146259,
1241,0.6122752872691374,
1372,0.5027934257109324,
1098,0.5534151249025929,
1537,0.5304943898467998,
1062,0.5904536893081552,
1005,0.544877533423405,
1424,0.5980371025625525,
1253,0.9792595441219848,
1148,0.7139670560907267,
1764,0.7653540972987557,
1403,0.5780834252018018,
1296,0.5449597515722632,
1930,0.5222928143163821,
1047,0.5017073204531394,
1002,0.6002998039058298,
1594,0.6214968529503144,
1883,0.6841880393836542,
1132,0.5637728850888255,
1627,0.5064967253270128,
1466,0.5273511301979552,
1546,0.5003987481943707,
1094,0.5886353585423179,
1015,0.575014956095843,
1268,0.5058839494748034,
1375,0.5442707057475161,
1501,0.509766379541778,
1730,0.527087174400825,
1758,0.5137137185853944,
1289,0.9406439356581481,
1974,0.5188097478294472,
1744,0.5066347485732273,
1580,0.7097334862918157,
1158,0.6345265369052185,
1147,0.5172146204398421,
1981,0.5217387456167941,
1840,0.5931807380160151,
1267,0.5049206543664141,
1353,0.5235118265331803,
1804,0.5271536894181047,
1345,0.5114373001171417,
1889,0.5056107817219236,
1556,0.5560757600967,
1031,0.5540325347231271,
1965,0.5333545065731448,
1447,0.5016627608593673,
1717,0.6404012936940413,
1585,0.555019101875284,
1292,0.5571836019120591,
1839,0.6088247990054231,
1324,0.544208731592698,
1593,0.6989871586416351,
1829,0.5210737205661694,
1961,0.5242828241014191,
1074,0.5711885836993335,
1145,0.5020998356203533,
1459,0.6062362736520028,
1904,0.5330983873788873,
1452,0.5714623307718028,
1096,0.6929779599833265,
1902,0.5534370748799836,
1020,0.5962826873459203,
1683,0.616742196181092,
1550,0.5118567340045386,
1332,0.5643293560234395,
1034,0.5781174461468412,
1072,0.5406640550525562,
1427,0.5149854839660509,
1405,0.5448635855857054,
1467,0.5155323290602833,
1859,0.6108317413220582,
1671,0.5095923473606396,
1560,0.5056381964700531,
