,x1,x2,x3
1303,0.013153171,-0.43355852,0.02090996
1992,0.06721608,-0.2409799,0.102957845
1227,0.039093234,-0.10113346,0.08186909
1030,-1.158158,0.027302599,0.103328705
1319,0.11256461,0.015705764,-2.190473
1661,0.07478432,-0.3065196,0.095743164
1660,0.12178655,0.027233124,-2.8088017
1189,0.122161105,0.052701376,0.06707858
1327,0.081777945,0.027222443,0.04717818
1883,0.106040224,0.032550298,-0.73080546
1216,0.44407845,0.18009806,0.5185844
1567,0.08682753,-0.06646559,0.05904469
1254,0.0890187,0.061273407,-1.0408059
1177,0.10998913,-0.5875136,0.04347446
1998,0.11950135,-2.5756233,0.105828
1742,0.3418639,0.077329874,0.31338015
1977,0.0595124,-0.2756095,0.04985423
1746,0.028070986,0.0100887325,-0.009033181
1607,0.05548682,-1.0806414,0.04039402
1677,0.03242637,-0.13446704,0.031201934
1257,0.06064287,-0.049196415,0.06751074
1312,0.023487901,0.10435982,-4.0798035
1077,0.059138894,0.09892359,-1.8860238
1594,-0.38872513,0.014093578,0.046495937
1827,0.11425282,-0.032183975,0.023494119
1855,0.053895403,0.017369222,-2.9033456
1569,0.46919686,0.036496073,0.33261263
1649,0.061246037,-0.048442453,0.06892819
1014,0.04304173,0.028802132,-0.813852
1687,0.011746812,0.08968349,-0.027395025
1427,0.06891785,0.011147308,-1.323043
1806,0.102673,-0.02165875,0.031281542
1150,0.4933514,0.06668925,-3.4106243
1070,0.08228751,-0.12214061,0.07837564
1060,0.103088,0.028859997,-2.2177432
1568,0.021574736,0.17696843,-1.1992993
1879,0.103923514,-0.14509562,0.099220246
1761,0.021010924,0.026263654,-1.0306244
1625,0.060254384,0.07531798,0.061597794
1276,0.11870996,0.07338743,-1.4060317
1711,0.07723606,0.0465451,-1.0684952
1201,-0.37426642,0.032166958,0.08047392
1902,0.09101602,-0.11122998,0.09888762
1985,0.3965922,-0.07925975,0.12699166
1081,0.036628354,-0.25421458,0.10607662
1884,0.13186023,0.06482532,-2.5501282
1707,0.037562083,0.046952605,-0.031729102
1210,0.11723932,0.021549165,0.060512424
1971,0.07335458,0.16669317,-3.662617
1492,0.09511566,0.043894578,-0.0014781952
1205,0.07085979,-0.036425263,0.0915205
1284,0.46656188,0.18320236,0.5364204
1040,0.047606517,-0.64049184,0.0318753
1287,0.078734726,-0.026581593,0.110026605
1557,0.122067496,0.052584372,0.10685861
1664,0.08208797,-0.047390036,0.08290672
1331,0.09593258,0.044915725,0.040441565
1642,0.10960595,-0.18799256,0.10257401
1440,0.714247,0.49280873,1.1184804
1892,0.3702863,0.03785786,0.27517277
1214,0.08930679,0.06163354,-4.060129
1814,0.018498372,0.09812303,-0.051528767
1591,0.023332387,-0.095834516,0.07983111
1026,0.08260758,-0.07174052,0.049127817
1962,0.00782457,-0.015219288,0.043387737
1084,0.11220016,0.09025021,-1.9263295
1370,0.03908857,0.023860728,-0.023141846
1923,0.06597681,0.057471015,-2.6399546
1667,0.060549118,0.17568645,-2.8177097
1766,0.015238166,-0.10595229,0.060809683
1900,0.011325073,0.03915634,-0.018386085
1563,0.08395239,0.079940476,-0.8177119
1447,0.016744113,-0.12906986,0.029348666
1459,0.06291577,0.053644717,0.07285206
1012,0.048585605,0.060732007,-1.8058238
1505,0.012482977,0.015603781,-6.030665
1858,0.08506006,0.05632509,-1.0501088
1439,0.10306967,-0.021162914,0.03221373
1619,0.06143676,-0.5232041,0.0643764
1438,0.014601111,0.068251416,-0.015687361
1575,0.019597912,0.024497509,-4.4939446
1178,0.065201856,0.031502318,-0.35677564
1685,0.0388721,0.07359012,-1.1936506
1133,0.03904183,0.073802285,-0.6532517
1302,0.3546207,-0.30672413,-0.21664137
1895,0.069525346,0.08690667,-0.6166154
1206,0.49005035,0.13756293,0.48661834
1931,-1.7222432,0.0471961,0.012728691
1433,0.1045077,-0.04436538,0.10059306
1437,0.05741738,0.07177174,0.05493086
1659,0.58511233,0.20639041,0.64001393
1504,0.09392232,0.067402914,0.07071746
1313,0.0631362,0.053920366,-3.68663
1198,0.06300266,-0.19624668,0.10305623
1831,0.5121164,0.29014546,0.71347344
1344,0.06311154,-0.42111057,0.048312046
1982,0.07387884,0.092348576,-1.7463847
1093,0.010391057,-0.11201118,0.049418982
1696,0.13036373,0.012954673,-0.20364521
1896,0.06693201,0.008664894,-0.1477099
