,h_post,h_post_individualized
1462,1.0,
1987,0.68,
1253,1.0,
1437,1.0,
1443,1.0,
1519,1.0,
1886,1.0,
1274,1.0,
1023,1.0,
1327,0.68,
1999,0.68,
1356,0.64,
1234,0.68,
1177,1.0,
1010,0.64,
1895,1.0,
1787,1.0,
1387,1.0,
1839,1.0,
1902,1.0,
1046,1.0,
1090,1.0,
1452,1.0,
1658,0.64,
1836,1.0,
1835,1.0,
1388,1.0,
1907,1.0,
1745,1.0,
1186,1.0,
1319,1.0,
1459,1.0,
1065,1.0,
1971,0.64,
1873,1.0,
1532,0.64,
1757,0.32000000000000006,
1914,1.0,
1414,1.0,
1742,1.0,
1571,1.0,
1075,0.64,
1725,0.64,
1753,1.0,
1288,1.0,
1182,1.0,
1446,1.0,
1752,1.0,
1093,0.64,
1184,1.0,
1576,0.64,
1413,0.68,
1826,1.0,
1179,0.68,
1014,1.0,
1770,1.0,
1606,1.0,
1913,1.0,
1593,1.0,
1864,0.64,
1879,0.68,
1539,1.0,
1541,1.0,
1781,1.0,
1978,1.0,
1778,0.64,
1435,1.0,
1642,0.64,
1769,1.0,
1168,1.0,
1954,1.0,
1528,1.0,
1561,1.0,
1352,1.0,
1238,1.0,
1159,1.0,
1575,1.0,
1911,1.0,
1302,1.0,
1617,1.0,
1821,1.0,
1103,1.0,
1786,1.0,
1276,0.68,
1631,1.0,
1621,0.64,
1457,1.0,
1036,0.64,
1147,1.0,
1149,1.0,
1112,1.0,
1598,1.0,
1284,0.64,
1934,0.32000000000000006,
1773,1.0,
1694,1.0,
1439,1.0,
1924,1.0,
1401,1.0,
1961,1.0,
