ix,goal_cost,intv_cost
1219,0.982,1.7
1628,0.974,0.9
1582,0.952,7.800000000000001
1099,0.952,14.8
1486,0.966,1.2
1704,0.952,9.5
1333,0.952,4.1
1218,0.974,0.9
1231,0.952,8.0
1020,0.952,5.699999999999999
1733,0.9760000109672546,1.0
1036,0.952,7.5
1456,0.952,3.6999999999999997
1973,0.952,3.6
1836,0.952,3.6
1326,0.952,11.6
1714,0.962,6.1000000000000005
1030,0.952,1.2
1685,0.952,12.5
1654,0.954,3.7
1734,0.966,1.1
1601,0.968,0.6
1230,0.952,0.8
1542,0.952,9.8
1520,0.952,1.5
1820,0.952,3.3000000000000003
1115,0.984,0.7
1194,0.952,5.0
1592,0.99,1.0
1539,0.952,7.2
1427,0.974,0.8
1003,0.952,6.2
1594,0.984000027179718,1.0
1746,0.98,1.3
1384,0.952,2.4
1385,0.954,5.4
1666,0.9800000190734863,1.0
1450,0.954,0.6
1623,0.984000027179718,1.0
1507,0.952,17.9
1157,0.952,9.600000000000001
1359,0.974,0.7
1171,0.954,1.4
1273,0.952,2.7
1960,0.952,9.6
1286,0.982,1.4
1590,0.952,9.7
1201,0.952,2.7
1686,0.982,0.7
1931,0.966,0.8
1561,0.954,1.9000000000000001
1229,0.984,0.8
1305,0.952,16.1
1688,0.97,1.5
1323,0.984,1.3
1966,0.952,3.4
1500,0.974,0.9
1747,0.952,7.7
1008,0.984,1.2
1567,0.952,7.1
1956,0.966,2.5
1602,0.952,2.8
1720,0.952,4.699999999999999
1072,0.952,1.7
1550,0.976,1.4
1098,0.974,1.6
1279,0.954,0.8
1374,0.954,2.5999999999999996
1034,0.952,15.7
1579,0.98,1.6
1044,0.952,3.5
1459,0.98,1.2
1223,0.966,0.8
1847,0.984,1.7
1330,0.952,1.8
1776,0.9819999933242798,1.0
1506,0.952,2.1
1345,0.954,2.4
1276,0.952,5.8
1331,0.952,1.1
1724,0.952,12.8
1803,0.952,12.600000000000001
1049,0.972,1.6
1711,0.966,2.5
1516,0.9520000219345093,2.5
1313,0.968,1.2
1934,0.952,4.800000000000001
1259,0.952,3.7
1344,0.952,4.5
1938,0.952,4.2
1936,0.952,2.7
1808,0.952,9.8
1874,0.976,2.3
1119,0.952,7.1
1829,0.952,2.9
1961,0.982,1.6
1246,0.972,0.9
1033,0.974,0.9
1772,0.99,1.7
1996,0.952,1.1
