,h_post,h_post_individualized
1846,0.414925864476526,
1479,0.5556185670805371,
1509,0.7505934003572506,
1744,0.6395633524022597,
1352,0.7350188746022234,
1994,0.6004063516383834,
1861,0.5514027240641465,
1586,0.8002205341502567,
1409,0.6241801032120173,
1327,0.5078182708184896,
1157,0.9764920484370248,
1952,0.7049487293217693,
1490,0.760548247440658,
1159,0.557247489805269,
1602,0.7732814770663283,
1790,0.5066351164286022,
1987,0.7088141284946278,
1911,0.5550648536869499,
1263,0.5188471549710828,
1831,0.5643006867987007,
1347,0.6961883928626262,
1764,0.5064754678323051,
1954,0.5680625148965249,
1814,0.9225822358728016,
1432,0.5661883319722647,
1013,0.5818229663158775,
1966,0.711493323148117,
1502,0.509823862821252,
1290,0.519020274523351,
1049,0.7106394984154775,
1674,0.5180493037178115,
1406,0.5188787696182527,
1552,0.5347931078100794,
1749,0.699741376800228,
1863,0.6702478632422092,
1396,0.5049213420754987,
1538,0.7134175149397398,
1059,0.5057349541887123,
1961,0.5253463523936583,
1985,0.5164085689649232,
1073,0.5995289534153193,
1278,0.5413780973414763,
1229,0.8026363240465133,
1238,0.9892574352826292,
1501,0.6705371338618954,
1103,0.5342779363780077,
1995,0.5548553681465156,
1408,0.5235202820094883,
1592,0.5048968044230626,
1688,0.5626352154761921,
1824,0.530010302763455,
1761,0.5945360883344453,
1910,0.5186631625871119,
1465,0.5871868639703846,
1582,0.6622402598312565,
1890,0.5285710192718367,
1925,0.5231055899104381,
1336,0.979614137150896,
1714,0.6449237611541874,
1221,0.830169568716959,
1853,0.5703198255865405,
1555,0.5123216010708852,
1906,0.5092392064236041,
1483,0.6173271847792298,
1865,0.5571250918715615,
1014,0.6108798632400755,
1978,0.5862925525718651,
1373,0.5201948425592801,
1382,0.5260890717812753,
1008,0.5915706387300701,
1533,0.5417164121283498,
1704,0.5325207468117092,
1880,0.8377310671295523,
1275,0.7779675548750008,
1350,0.6470906748238898,
1477,0.5661269655480237,
1855,0.5553975196743532,
1862,0.5007482343213093,
1436,0.5514305405050538,
1195,0.6399307018502818,
1083,0.9729094929163157,
1696,0.5991003576344505,
1022,0.5077124957230283,
1230,0.5359212368888032,
1433,0.6616547379943786,
1554,0.6764763531766558,
1788,0.5391721101577402,
1027,0.5705678641242793,
1148,0.9999468341410527,
1839,0.5422905066028569,
1270,0.5123807390587238,
1875,0.6991110854897132,
1118,0.7882499546035524,
1215,0.6631581260522121,
1099,0.524165191557651,
1309,0.7543346913435016,
1097,0.7099106508146498,
1818,0.504308766370661,
1399,0.5360860071807311,
1223,0.682316567872438,
