,x1,x2,x3
1362,0.7,5.0,8.1
1831,0.7,1.5,2.3
1761,0.1,1.3,2.1
1708,1.6,2.4,7.3
1002,0.1,0.1,-0.0
1196,-0.0,-0.0,0.2
1485,0.0,0.9,4.3
1347,0.3,0.6,0.8
1990,0.1,0.5,0.8
1458,0.9,1.5,-0.0
1806,0.2,0.7,1.1
1118,0.4,0.2,1.3
1989,1.1,0.5,5.0
1603,0.2,0.2,0.5
1652,-0.2,1.0,1.7
1717,0.8,1.6,0.0
1858,0.3,0.8,2.9
1486,0.2,0.5,0.9
1864,0.2,0.2,2.0
1009,0.1,0.1,0.2
1899,-0.1,0.9,1.9
1716,0.2,0.3,0.5
1606,0.0,-0.0,4.1
1234,0.0,0.1,5.8
1316,0.1,1.1,2.0
1842,0.2,0.0,2.9
1426,0.0,0.0,0.1
1385,0.0,0.0,0.7
1317,0.5,0.0,3.3
1386,-0.1,1.4,2.4
1398,0.5,1.0,1.6
1607,1.4,2.4,0.0
1817,-0.0,-0.0,1.3
1949,0.3,1.5,3.0
1794,0.0,0.0,1.0
1811,0.6,0.5,2.1
1110,1.2,0.0,4.1
1344,1.5,0.8,7.1
1267,-0.0,1.3,2.1
1306,0.7,0.3,2.9
1014,0.1,-0.0,3.5
1302,2.3,1.0,9.9
1617,0.4,0.8,1.3
1685,0.2,1.8,3.1
1572,0.0,0.5,0.7
1540,0.1,0.6,0.9
1587,0.1,0.7,4.2
1130,0.0,0.0,0.1
1769,0.4,2.1,3.6
1539,1.1,2.4,4.9
1962,1.0,0.0,0.0
1633,0.7,1.4,0.0
1295,1.0,1.8,3.5
1659,0.6,0.5,5.7
1888,-0.0,-0.0,0.2
1383,2.3,-0.0,-0.0
1366,0.5,0.4,1.8
1170,-0.0,0.1,5.8
1263,0.3,0.4,0.7
1826,0.2,0.6,0.9
1236,0.1,0.1,7.1
1166,0.4,2.5,3.8
1462,0.2,0.4,0.0
1536,0.0,0.3,0.4
1751,0.1,0.4,0.9
1651,2.3,4.9,9.9
1495,0.1,0.0,5.3
1418,0.5,1.0,0.0
1065,0.8,1.4,5.1
1287,0.3,0.5,0.8
1699,0.0,-0.1,0.1
1087,0.4,0.1,6.1
1985,0.1,-0.1,8.1
1468,0.9,1.2,3.1
1687,1.6,0.4,4.3
1567,0.2,0.8,1.6
1464,0.4,0.8,2.3
1230,0.1,0.1,0.2
1955,0.0,1.4,2.5
1770,-0.0,0.2,0.4
1575,0.7,0.0,9.4
1901,0.2,0.1,0.8
1922,0.1,0.6,0.9
1563,0.7,1.2,2.1
1627,0.5,0.1,7.2
1146,0.1,0.1,4.4
1661,0.2,0.2,2.4
1631,-0.0,0.7,-0.0
1629,0.8,0.0,3.0
1348,-0.0,1.1,-0.0
1836,1.4,2.8,4.5
1648,0.6,1.1,2.3
1439,0.4,0.7,1.0
1504,-0.0,1.9,2.4
1303,0.2,0.5,1.7
1209,0.2,0.5,0.7
1168,0.0,0.0,4.5
1427,0.2,1.7,3.0
1016,0.2,0.3,0.5
1879,0.5,0.9,1.3
