,x1,x2,x3
1306,0.708348,0.7854349,1.6046177
1992,0.7672161,0.8590201,1.5029578
1227,0.73909324,0.7988665,1.5818691
1030,0.44184205,0.4273026,2.1033287
1320,0.4536222,0.7420278,1.8310122
1664,0.88208795,0.75260997,1.3829067
1661,0.7747843,0.7934804,1.5957432
1189,0.7221611,0.7527014,1.5670786
1329,0.7792631,0.82407886,1.5012683
1884,0.7318602,0.76482534,1.5498717
1216,0.74407846,0.88009804,1.5185844
1568,0.7215747,0.7769684,1.6007006
1254,0.8890187,0.5612734,1.659194
1177,1.0099891,0.8124864,1.5434744
1998,0.7195014,0.82437664,1.505828
1743,0.5001462,1.7251828,0.9553436
1940,0.7593363,0.82417035,1.5894402
1757,0.6783331,0.79791635,1.524083
1610,1.210994,-0.7612574,2.640836
1679,0.75155616,0.8144452,1.611157
1257,0.86064285,0.7508036,1.5675107
1313,0.7631362,0.7539204,1.51337
1077,0.15913889,0.7989236,2.1139762
1606,0.71476024,0.7684503,1.5846865
1831,0.5121164,0.8901455,1.7134734
1858,0.78506005,1.456325,0.8498912
1574,0.7789124,0.7736406,1.5304443
1650,0.76051784,0.77564734,1.522217
1014,0.8430417,0.8288021,1.5861479
1696,0.33036375,0.7129547,1.7963548
1431,0.7950081,0.8437602,1.5782691
1807,0.7313637,0.7892046,1.5637047
1150,0.7933514,0.6666892,1.5893759
1070,0.78228754,0.7778594,1.5783756
1060,0.703088,0.92886,1.4822568
1569,-0.73080313,1.3364961,2.4326127
1883,0.7060402,0.8325503,1.5691946
1766,0.8152382,0.7940477,1.2608097
1626,0.72162825,0.85203534,1.6058265
1276,1.21871,1.0733874,0.7939683
1713,0.7565336,0.820667,1.522854
1201,0.7257336,1.3321669,1.0804739
1906,0.7630404,0.77880055,1.5281451
1985,0.7965922,0.22074017,2.0269916
1081,0.8366284,0.5457854,1.8060766
1886,0.73380464,0.7672558,1.5944408
1708,0.72067344,0.7758417,1.4785825
1210,0.7172393,0.8215492,1.6605124
1971,0.67335457,0.7666932,1.5373831
1495,-0.20844069,1.0644492,2.1251645
1205,0.7708598,0.7635747,1.4915205
1284,1.6665618,0.8832024,0.5364204
1040,0.7476065,0.85950816,1.6318753
1288,0.49575475,0.9696934,1.6750236
1560,0.4982377,1.5977972,0.9358584
1667,1.1605492,-0.72431356,2.5822904
1332,0.724728,0.85591,1.6131109
1645,0.74936664,0.81170833,1.4860116
1443,1.0498378,0.9122973,1.207119
1895,0.76952535,0.78690666,1.5833845
1214,0.5893068,1.1616335,1.239871
1816,0.6839787,0.7549733,1.6073499
1594,1.1112748,0.91409355,1.246496
1026,0.78260756,0.82825947,1.6491278
1962,0.50782454,0.78478074,1.5433878
1084,0.71220016,0.2902502,2.0736704
1372,0.55258816,0.79073536,1.6785825
1924,0.73090875,0.78863597,1.4826354
1668,0.774688,0.84336,1.5255169
1769,0.7748941,0.7686177,1.5210012
1902,2.091016,1.8887701,0.5988876
1565,0.91685426,0.7460678,1.5946075
1452,0.5182878,1.6228597,1.0629762
1464,0.80980504,0.8122563,1.5430417
1012,0.7485856,0.66073203,1.5941762
1517,0.77375776,0.86719716,1.5583308
1859,0.7402144,0.850268,1.6145039
1440,1.014247,0.79280865,1.7184803
1621,0.764719,1.1308987,1.1620898
1439,1.1030697,0.9788371,0.73221374
1576,0.8868842,0.48360527,1.709178
1178,0.76520187,0.8315023,1.5432243
1687,1.1117468,0.78968346,1.772605
1133,0.93904185,0.7738023,1.6467483
1303,0.7131532,0.8664415,1.6209099
1896,0.86693203,0.3086649,1.8522903
1206,0.59005034,0.8375629,1.5866183
1933,0.9450766,0.6813457,1.5209299
1434,0.88989365,0.7123672,1.4512501
1438,0.8146011,0.86825144,1.3843126
1660,1.0217866,1.1272331,0.8911983
1505,0.712483,0.8156038,1.469335
1316,0.7739075,0.09238434,2.2936826
1198,0.76300263,0.8037533,1.6030562
1835,0.7756309,0.7695386,1.5627325
1347,0.26578537,0.85723174,1.7795956
1982,0.67387885,0.79234856,1.5536153
1093,0.81039107,0.6879888,1.449419
1697,0.40910858,0.36138567,2.1914053
1898,0.7795849,0.7994811,1.6070244
