,x1,x2,x3
1219,-0.93227625,-0.94841444,0.91608155
1628,-0.27422184,-0.41133276,0.48702317
1582,-0.8473138,-1.1209707,0.976984
1099,-1.3639098,-2.4958646,1.9138343
1486,-0.020652974,-0.23097949,0.18630235
1704,-1.1383985,-0.25759783,0.68016374
1333,0.06679974,-0.3998004,0.21367928
1218,-0.078904554,0.081643164,0.07484816
1231,-0.9343382,0.19849262,0.37072068
1020,0.015521824,-0.42671722,0.24035668
1733,0.027645076,-0.058532357,0.03187722
1036,-0.84608406,-1.269126,1.3001816
1456,-0.101288304,0.04806755,0.036650438
1973,-0.07693233,0.08460151,-2.4068355e-05
1845,-0.037221946,-0.055832885,0.06322308
1326,-0.9398454,-0.05976806,0.4364025
1714,-0.057626367,-0.8864396,0.55017143
1030,0.043465268,0.015197873,-0.006990361
1685,-1.2208724,-0.4313087,0.76573133
1654,0.027549213,-0.008676181,0.011627954
1734,-0.52537286,0.011940706,0.23403046
1601,-0.011217016,-0.016825523,0.07083576
1230,-0.054153133,0.018770302,0.039201867
1542,-0.9194283,-1.4291426,1.2294865
1520,-0.045931973,-0.018897986,0.040576696
1821,-0.1558611,-0.33379167,0.27476114
1115,-0.028136317,0.057795525,0.026845573
1194,-1.2939657,-1.6909486,1.475689
1592,0.028096985,-0.057854522,0.053052157
1539,0.21362501,-0.5795624,0.25542504
1427,-0.19306277,-0.28959414,0.4980368
1003,-0.084065855,0.023901248,0.08142886
1594,-0.4285409,-0.59281135,0.54579365
1746,0.047480416,0.021220624,0.0034490346
1384,-0.014229918,0.028655123,0.0030022145
1385,-0.9324069,-1.3986105,1.2157419
1666,0.05354791,-0.019678116,-0.00077543256
1450,-0.037767857,0.043348216,0.001803568
1623,-0.32728308,0.009075373,0.24906394
1507,-1.9674405,-0.0011608123,0.84465486
1157,-0.8438815,-1.2658222,1.0659082
1359,0.024459695,-0.013310457,0.003595215
1171,-0.8351293,-1.352694,1.1286635
1273,-0.158467,0.16229951,-0.012014186
1902,0.06711473,-0.0993279,0.034498297
1286,-0.3448706,-0.81730586,0.6633365
1590,-0.9658602,-1.0987904,1.0087636
1201,-0.45757696,-0.5863654,0.5103
1686,-0.034720346,0.047919482,0.009727096
1931,-0.12288635,0.06567045,0.02049545
1561,-0.02667498,-0.09001247,0.07064503
1229,-0.011782,0.032327008,0.009366798
1305,-1.1244866,-2.7867298,2.036335
1688,-0.9078482,-1.2617723,1.2395948
1323,-0.21637282,-0.6245592,0.49743065
1966,-0.050014127,-0.02502122,0.049963355
1500,0.02474733,-0.11287899,0.08434306
1747,-0.57321995,-0.50982994,0.5296281
1008,-0.30172807,-0.65259206,0.49550706
1567,-0.4571092,-0.7356639,0.631516
1956,-0.15072043,0.023919357,0.06812689
1602,-0.51165193,-0.76747787,0.66970503
1720,-0.28774217,-0.031613268,0.15187034
1072,-1.1622589,-1.2433883,1.1781268
1550,-0.073550925,-0.7603264,0.48876762
1098,0.005836129,-1.2912457,0.7151738
1279,-0.038635705,0.04204645,0.07954718
1374,0.0035506696,0.055325996,0.049231727
1034,-0.95122147,-2.4768322,1.7268244
1579,-0.353869,0.06919646,0.11994038
1044,0.03941209,0.009118132,0.04247142
1459,-0.650182,-0.72527295,0.66952693
1223,-0.12022116,0.069668256,0.027424967
1848,-0.32866225,-0.24299332,0.38547826
1330,-0.09691706,-0.1453756,0.14801565
1777,0.3404534,-0.48931992,1.1851788
1506,-0.020877305,0.16868404,-0.07428104
1345,-0.15500201,-0.33250302,0.37699473
1276,-0.008015692,0.037976433,0.07915916
1331,-0.54712456,-0.8206868,0.67747617
1724,-0.38008606,-1.1201291,0.81177586
1804,-1.3113687,-1.517053,1.5304413
1049,-0.99527246,-1.4929087,1.3122915
1711,-0.05141638,0.022875434,0.16631742
1516,-0.08530037,-0.27795053,0.19821914
1313,-0.6106789,-0.91601837,0.9122348
1934,-0.011144382,0.033283412,-0.008975458
1259,-0.0052565695,-0.007884884,0.046332933
1344,-0.050166506,0.024750257,0.049567055
1938,0.007124153,0.010686236,-0.0014771819
1936,0.025344044,-0.11198392,0.06589453
1809,-0.39125922,-0.2868889,0.32272616
1879,-0.63734406,0.043983888,0.26290536
1119,-0.26249462,0.056258034,0.11751387
1836,0.027887141,-0.008169288,0.012506572
1961,-0.9393586,-1.2090378,1.0576677
1246,0.004362124,-0.14345682,0.33134148
1033,-0.07683118,-0.015246784,0.080238864
1776,-0.23303086,-0.3995463,0.3341198
1996,0.13989212,-0.1401618,0.04371941
