,x1,x2,x3
1014,1.1,0.0,0.0
1211,1.7,0.0,4.7
1293,1.3,0.0,4.4
1781,1.9,1.8,0.0
1839,1.2,1.4,3.0
1463,-0.0,2.1,-0.0
1161,3.0,1.6,0.0
1165,1.4,-0.0,0.0
1522,0.8,0.0,0.0
1659,1.8,2.2,4.0
1665,1.8,2.2,4.1
1934,0.7,0.0,2.4
1334,0.8,-0.0,2.6
1776,0.9,-0.0,-0.0
1319,1.4,2.0,3.1
1373,1.1,-0.0,-0.0
1372,-0.0,2.1,0.0
1202,1.9,-0.0,-0.0
1338,0.8,-0.0,2.0
1859,2.0,2.6,5.2
1874,2.2,2.8,6.1
1724,2.4,3.0,6.7
1772,1.5,0.0,0.0
1976,1.5,1.5,4.1
1457,2.5,0.0,0.0
1762,1.2,-0.0,-0.0
1148,0.7,-0.0,1.5
1606,1.3,0.0,0.0
1288,1.4,0.0,0.0
1001,2.8,4.7,0.0
1828,-0.0,2.8,-0.0
1443,1.7,0.0,0.0
1594,0.9,-0.0,-0.0
1292,1.6,0.0,0.0
1680,1.4,-0.0,-0.0
1791,1.7,0.0,0.0
1011,2.3,2.5,4.8
1546,2.0,1.8,0.0
1447,1.3,0.0,-0.0
1106,0.9,2.5,2.5
1655,1.0,-0.0,-0.0
1560,1.1,0.0,2.9
1440,0.8,-0.0,-0.0
1896,1.0,1.3,5.6
1980,0.8,-0.0,0.0
1803,1.6,3.3,7.1
1131,0.7,0.9,1.9
1910,1.2,-0.0,0.0
1256,1.8,2.3,4.2
1070,0.8,0.0,0.0
1259,1.2,-0.0,1.8
1993,1.1,0.0,0.0
1316,3.4,4.3,3.1
1344,0.8,0.0,0.0
1485,1.1,0.0,-0.0
1483,2.9,4.1,6.7
1361,1.9,2.4,5.2
1199,1.1,0.0,0.0
1581,1.0,0.3,3.1
1684,0.2,1.3,3.1
1758,1.1,1.4,1.9
1626,1.2,0.0,3.4
1308,0.8,-0.0,2.6
1128,1.0,-0.0,-0.0
1379,1.2,1.6,3.3
1420,1.1,0.0,0.0
1542,0.5,3.9,9.4
1479,1.5,1.8,4.1
1072,1.7,-0.0,-0.0
1253,1.8,-0.0,-0.0
1911,1.8,2.3,3.3
1280,0.8,-0.0,-0.0
1720,0.6,-0.0,2.6
1150,1.0,1.1,0.0
1717,2.3,2.8,6.2
1623,-0.0,2.5,-0.0
1300,1.1,1.0,-0.0
1744,1.1,0.0,0.0
1212,1.0,-0.0,-0.0
1038,0.8,-0.0,0.0
1622,1.3,2.8,5.1
1008,1.3,0.2,3.7
1222,0.1,1.5,3.3
1612,2.3,2.8,2.9
1231,1.5,1.8,4.1
1119,1.3,0.0,0.0
1538,0.8,0.0,0.0
1840,0.7,-0.0,0.0
1794,1.1,0.0,3.0
1683,1.4,3.5,3.8
1158,1.9,-0.0,5.2
1230,1.0,1.8,-0.0
1324,1.3,1.4,3.5
1954,2.1,2.8,5.2
1203,0.9,0.0,0.0
1903,2.6,3.3,6.5
1588,0.9,0.0,2.1
1905,0.8,0.0,0.0
1913,0.5,0.9,2.0
1796,1.2,1.5,2.9
