,x1,x2,x3
1832,0.8353986,0.7192483,1.5081868
1472,1.0027604,0.8034505,1.726487
1117,0.9516038,0.9145047,1.8512688
1171,1.0198593,0.74982417,1.6216694
1431,0.11957842,0.8994731,2.1310093
1203,0.70698273,0.83372843,1.6714095
1306,0.78048396,0.7506049,1.5191373
1327,0.69136465,0.8392058,1.669707
1402,1.2014034,0.9767542,2.0882978
1881,0.7092793,0.56159914,1.9118063
1915,0.86402017,0.7800252,1.6104474
1340,1.0548786,0.91859823,1.9189647
1350,0.35439667,0.91799587,1.9178323
1541,0.84514093,0.80642617,1.6360812
1700,1.1803122,0.5253902,1.5637336
1155,0.78964347,0.61205435,1.8306623
1278,0.701598,0.82699746,1.6187553
1103,1.1102328,0.63779104,1.5590471
1276,0.6693765,0.26172072,2.2080348
1509,1.0055594,0.9569493,1.9430646
1906,0.938572,0.798215,1.6806442
1525,0.7328797,0.8660996,1.3722672
1905,0.4587894,1.1734868,1.5581553
1640,0.766934,0.9086675,1.6122949
1981,-0.10968566,-0.18710713,3.4922385
1696,1.0410604,0.70132554,1.606492
1003,0.9476697,0.85958713,1.7720238
1996,0.472751,0.94093883,1.7009652
1978,1.745072,1.3313401,2.9109194
1735,-0.7254913,2.3931358,1.5950954
1576,0.70955014,0.8619377,1.4524429
1107,0.6978507,0.6223134,1.6899492
1446,-0.19962612,1.1254673,2.2958782
1482,0.89924735,0.72405916,1.5532312
1234,0.6843254,0.9054068,1.5781648
1504,1.0450686,0.9563358,1.2659113
1818,1.1693506,1.1366882,2.292974
1828,1.0063678,0.78295976,1.3999643
1510,0.710645,0.58830625,1.7500157
1925,1.4892546,0.5615683,1.1197486
1800,0.88715655,0.7589457,1.5948179
1588,1.0459569,0.80744606,1.7579986
1275,0.9171089,0.7963861,1.665206
1359,0.8420261,0.77753264,1.5937614
1299,1.1307318,0.8884148,1.9222199
1218,1.0807424,-0.099072054,2.1297445
1775,0.79644233,0.7455529,1.5216395
1526,0.760998,0.85124755,1.6083454
1919,1.1819496,1.1774371,2.3575816
1444,0.8555305,1.9194131,0.2604967
1911,0.9641849,0.7552311,1.4358344
1069,0.73471946,0.6183993,1.7065907
1357,0.71357036,0.8169629,1.4918903
1769,0.8885445,0.8856806,1.7730795
1211,0.4921714,1.4402143,1.2316028
1465,0.8810165,0.27627066,2.055389
1523,0.7287748,0.8109685,1.6326208
1602,0.6892483,0.8865604,1.5347337
1740,0.9852427,0.9065534,1.8603203
1491,0.95323473,0.8665434,1.2851015
1802,1.0825112,0.82813895,1.8089013
1516,0.8457732,0.83221656,1.672567
1219,0.6944399,0.86804986,1.5919338
1354,0.699744,0.89967996,1.5593983
1087,-0.17564872,-0.2445609,3.4522254
1936,0.8033066,0.72913325,1.5027704
1401,0.8031835,0.50397944,1.8674812
1129,0.6601747,0.82521844,1.6514106
1682,0.6753378,0.84417224,1.647044
1235,0.7829826,0.6537283,1.7650092
1457,0.82269007,0.7533626,1.5483217
1378,0.7094419,0.8868024,1.5471885
1727,2.282737,2.2284212,-0.61056787
1724,0.9548517,0.7935646,1.6839014
1490,0.7448,0.931,1.55028
1473,0.87595963,0.84494954,1.708505
1971,1.4217294,-0.99783826,2.696064
1100,1.1432685,0.97908556,2.056681
1451,0.9033902,0.7542378,1.597967
1246,0.8883121,0.6103901,1.6875334
1570,1.2107157,0.8883946,1.9701817
1147,0.3337435,1.0171794,1.8642973
1661,1.0695937,-0.36300796,2.493545
1180,0.97555965,0.81944954,1.732565
1961,0.8459031,0.60737884,1.7578723
1717,0.8124263,0.7655329,1.559202
1495,0.9944126,0.86801577,1.8118697
1059,0.9386858,0.74835724,1.6109115
1027,0.93796,0.84745,1.3492061
1470,1.0358745,0.9948431,2.014305
1875,0.80002975,0.65003717,1.79007
1122,0.83537066,-2.3807867,4.7281213
1994,0.77934957,0.72418696,1.4814714
1792,0.9751807,0.84397584,1.7666746
1455,0.8053535,0.88169193,1.4575808
1000,0.56669366,0.9083671,1.6917305
1049,0.9632833,0.92910415,1.8787158
1268,0.07436715,1.2679589,1.8397628
1369,0.94048995,0.7756124,1.6501514
1880,-0.9449272,1.393841,2.7444212
