,x1,x2,x3
1560,1.2,-0.1,0.7
1312,1.6,0.2,0.0
1224,0.1,0.0,0.1
1223,0.4,-0.0,-0.0
1071,0.4,-0.0,0.1
1942,0.4,-0.0,-0.0
1408,1.2,-0.0,0.0
1836,1.1,0.1,0.1
1030,1.2,-0.0,0.2
1065,1.1,0.0,0.0
1237,0.1,0.0,0.0
1214,1.7,-0.5,-0.2
1327,0.2,0.0,0.3
1081,0.3,-0.0,0.0
1219,0.4,0.1,-0.1
1084,0.8,0.2,-0.1
1168,0.6,-0.3,-0.1
1985,1.5,-0.3,0.0
1992,0.8,0.1,0.1
1659,1.1,-0.1,-0.3
1306,0.4,0.0,-0.2
1757,1.1,0.0,-0.1
1443,0.1,-0.0,-0.0
1040,0.3,-0.0,-0.1
1574,0.8,0.0,0.1
1674,0.8,-0.1,-0.0
1495,0.9,-0.0,0.0
1814,1.2,-0.1,0.0
1835,0.4,-0.0,-0.0
1778,0.9,-0.1,-0.7
1026,0.2,-0.1,-0.1
1561,0.6,0.0,0.0
1668,0.5,0.1,0.1
1363,0.8,0.1,-0.1
1816,0.9,-0.1,-0.0
1675,0.7,-0.0,-0.0
1892,0.9,-0.0,-0.0
1645,1.3,0.1,0.0
1320,1.2,-0.1,-0.2
1713,0.1,0.1,0.1
1625,0.3,-0.0,0.0
1933,0.6,0.6,-0.2
1372,2.2,-0.1,0.1
1503,0.7,0.0,-0.0
1711,0.5,0.0,0.1
1973,0.1,-0.1,0.1
1332,0.2,-0.1,0.1
1012,0.7,0.0,-0.0
1743,0.3,0.0,0.0
1203,0.1,-0.0,0.0
1532,1.1,-0.0,-0.1
1773,0.7,-0.2,0.0
1697,1.4,0.0,0.1
1291,1.0,0.0,-0.1
1562,0.4,-0.0,-0.0
1899,0.2,-0.0,-0.0
1366,0.2,0.0,0.1
1197,0.3,-0.1,-0.0
1633,0.4,-0.1,-0.0
1161,0.8,0.1,-0.2
1014,0.4,0.0,-0.1
1935,0.3,0.1,0.1
1860,0.5,0.1,0.1
1221,1.0,-0.0,-0.1
1998,1.9,-0.1,0.1
1968,0.4,-0.0,-0.4
1458,0.4,-0.0,0.2
1210,0.3,-0.0,-0.0
1281,0.8,0.0,0.0
1931,1.7,-0.1,0.0
1884,1.0,-0.1,-0.1
1434,1.1,-0.1,-0.0
1492,1.0,-0.2,0.1
1594,0.3,-0.1,-0.1
1166,0.9,-0.1,0.5
1075,0.8,0.0,-0.1
1177,0.3,0.1,-0.0
1198,0.2,0.0,0.0
1233,1.6,0.0,0.3
1938,0.4,-0.1,-0.1
1034,0.7,0.2,-0.1
1044,0.8,0.0,-0.1
1231,0.8,0.0,0.2
1470,0.8,0.1,-0.1
1070,0.4,-0.1,-0.2
1447,0.1,0.1,0.1
1941,0.8,-0.0,0.0
1452,0.3,-0.0,-0.0
1923,1.2,-0.0,0.2
1648,0.4,0.0,0.0
1934,0.3,0.0,-0.1
1895,0.3,0.0,0.0
1567,0.2,0.2,0.0
1344,1.5,0.2,0.5
1872,0.4,0.2,0.0
1655,1.0,0.1,-0.0
1906,0.7,-0.1,0.3
1611,1.0,0.0,0.2
1360,0.1,0.1,0.1
1610,0.6,-0.0,-0.0
