,x1,x2,x3
1875,0.14492993,1.217395,1.3568178
1210,-0.28276068,1.6258589,1.2648221
1886,0.33380464,0.00070700643,2.4278922
1788,1.0339358,1.5009037,0.42823312
1004,0.4729431,0.95941466,1.4296521
1201,-0.37426642,1.0386004,2.0869071
1921,0.50490415,0.9073562,1.3927507
1879,0.7039235,1.2058853,0.85020113
1683,0.42404997,0.986075,1.3625299
1646,0.3439527,1.0159291,1.254277
1884,0.63186026,0.39779037,0.8828367
1757,0.07833312,1.1174997,1.5436661
1795,0.46831846,0.9524777,1.417628
1564,0.6866564,0.4299846,1.7053066
1481,0.43797898,0.9069685,1.5387454
1161,0.5031548,0.40473223,0.7882025
1223,0.2809355,1.0714033,1.4704323
1681,0.34718817,1.0207822,1.4226894
1935,0.11302241,1.1195335,1.5538583
1870,0.37441,0.761615,1.693466
1660,0.32178655,1.0326798,1.3966448
1212,1.5658941,1.8988411,-0.46867535
1616,0.49418917,0.94128376,1.4248918
1443,0.14983787,1.3747568,1.4695785
1541,0.3956831,0.7435247,1.6087761
1740,0.13777453,1.1066618,1.5582138
1638,0.074742734,1.0121142,1.6743312
1900,0.31132507,1.0669876,1.4094453
1924,0.8309087,1.7463629,0.24036217
1288,0.39575475,0.9436321,1.4489622
1308,0.53468615,0.8520292,1.3501841
1888,-0.00015184582,1.2997723,1.4796052
1499,0.65142673,1.0771401,1.7137096
1641,0.4176135,0.9264202,1.4057951
1560,0.3982377,0.89735657,1.1354179
1781,0.03289522,1.3993428,1.3655275
1588,0.37725908,0.31588858,2.1008735
1816,1.7839787,-0.6740319,1.6783446
1505,0.31248298,1.0187243,1.4724557
1906,0.06304045,2.0945606,0.6439053
1807,0.3313637,1.0470456,1.3215456
1861,0.26201004,1.293015,1.181226
1801,0.52209026,1.1331353,1.1774347
1736,0.66462976,0.89694464,1.2080374
1680,0.33670777,-1.0949383,3.55544
1435,-0.19607985,1.5058801,1.4901925
1498,-0.11106298,1.1834055,1.7512362
1225,1.1120726,1.5681088,0.1713886
1088,0.40736133,0.81104195,1.5991395
1476,0.40243298,0.5036495,1.8863257
1645,0.04936664,1.1740499,1.5483533
1994,0.58249617,1.6737442,0.5544898
1464,0.409805,0.5147075,1.545493
1679,0.55155617,1.6773342,0.574046
1067,0.39878803,0.94818205,1.4568489
1595,0.51670766,0.9750615,1.4834398
1907,0.42446288,0.98669434,1.3636035
1969,0.33089086,1.0463363,1.3603163
1016,0.38026205,1.0203931,1.3686814
1821,0.35154343,1.0273151,1.4140127
1999,0.5021338,0.8532007,1.3255479
1263,-0.3824791,0.026281362,3.1055543
1633,0.3847233,0.47708496,1.5802805
1076,0.5804955,1.0207433,1.2092884
1568,0.62157476,0.6323621,1.1560943
1216,0.044078447,1.0161177,1.7546039
1256,-0.023662474,1.1645063,1.6384776
1502,0.40376782,0.90565175,1.5097964
1131,0.2957255,1.0435883,1.2288862
1674,0.05304711,1.2295707,1.4579227
1793,0.42248145,0.8837222,1.2984518
1865,0.5109326,0.7163989,1.5884248
1940,0.2593363,0.88900447,1.6542743
1835,0.67563087,0.76344633,1.0566403
1745,0.46492952,0.5473943,0.9288168
1162,0.35706598,1.035599,1.4083716
1276,0.81870997,1.728065,0.24864583
1219,-0.19311868,1.0603219,1.8778915
1332,-0.07527199,1.287092,1.5442928
1224,0.38293418,1.0244013,1.355629
1293,0.38121545,0.97182316,1.4111601
1101,-0.036911257,1.1446332,1.6640308
1342,0.9488646,1.4232969,2.3670478
1267,0.23854232,1.0578135,1.2202101
1982,0.27387884,1.1108181,1.3720851
1964,0.4027891,1.9541836,0.42725164
1014,0.5430417,0.6145626,1.0719084
1998,0.31950134,1.1292522,1.3107038
1486,0.3692342,1.0538512,1.3800089
1557,0.3220675,0.98310125,1.4373755
1624,0.29215604,1.0882341,1.3596058
1132,0.36853042,0.9527956,1.318179
1538,0.43872264,0.9080839,1.3406788
1315,0.09149459,1.6372418,1.0178859
1991,0.42708108,0.34062162,1.5504109
1540,0.16261497,1.1439224,1.2627989
1484,0.45290655,1.1793599,1.1975572
1462,-0.1155747,1.326638,1.5795058
1708,-0.47932655,-0.1689898,3.4337506
1629,-0.3666236,1.0500646,2.0867786
