,x1,x2,x3
1595,0.22459121,-0.019260988,0.107789345
1674,-0.63490105,-0.19362631,0.3079825
1409,-0.22297879,0.021276522,0.095999956
1211,0.09217141,0.04021423,0.031602778
1444,0.055530515,0.01941314,0.060496707
1804,-0.64567274,-0.80709094,0.782669
1180,0.07555963,0.01944952,0.03256511
1794,-0.54397225,0.07003474,0.13166495
1673,-0.11568245,0.055396926,0.028146226
1155,0.48964345,-0.28794566,0.13066214
1576,0.009550151,-0.038062308,0.05244285
1736,-0.28975642,0.062804505,0.094072625
1354,-0.10025601,-0.00032001734,0.059398413
1681,0.024769355,-0.044038307,0.053208005
1853,-0.5532477,-0.1665596,0.33486786
1509,-0.1944405,0.05694938,0.043064833
1963,0.20463517,0.030793965,0.16589266
1103,0.01023283,-0.16220884,0.15904722
1732,-0.7431646,-0.15395579,0.31856304
1263,-1.0504161,-1.3880202,1.3265221
1906,-0.561428,-0.10178503,0.28064415
1886,-0.023517227,0.07060347,0.004734516
1969,0.13071352,0.0883919,0.20217678
1305,0.02883502,0.011043778,0.0327623
1227,0.055940486,0.019925606,0.021460105
1915,0.46402016,0.3800252,0.8104474
1003,0.1476697,0.05958713,0.17202379
1235,-1.8170174,-0.1462717,0.56500924
1352,-0.6095516,0.06306054,0.20255378
1063,-0.23535024,0.030812215,0.10192709
1580,-0.8604334,-1.0505418,1.0129814
1107,-0.0021493256,-0.07768666,0.089949116
1483,-0.3668931,0.14138362,0.057801295
1720,0.12111199,0.10138999,0.21461317
1238,0.09602674,0.020033427,0.08566284
1218,-1.7192577,-0.9990721,1.2297444
1510,-0.489355,-0.5116937,0.85001576
1524,-0.14450178,0.09437277,0.045420647
1680,0.569308,0.28663498,0.7428738
1429,0.1082404,-0.014699496,0.044364948
1117,0.05160376,0.014504701,0.051268842
1260,-0.0855258,0.06809275,0.064014375
1531,-0.78022087,0.049723946,0.20148103
1748,0.018641036,-0.026698705,0.073806435
1335,-0.33490044,0.1313744,0.04298401
1829,0.021840429,-0.12269946,0.14132512
1776,-0.65638024,0.15452465,0.102506354
1327,-0.008635366,0.03920578,0.06970692
1919,-0.018050427,0.07743697,0.057581503
1757,0.008688539,0.085860685,0.045418076
1129,-1.4398253,0.22521845,0.35141063
1069,-0.26528054,0.018399334,0.1065907
1981,-0.60968566,-0.88710713,0.7922386
1961,-0.8540969,-0.9926211,1.1578723
1390,-0.08273406,-0.17841758,0.30057496
1402,0.20140335,-0.023245811,0.088297874
1526,-0.039001968,0.05124754,0.008345377
1496,-0.5428551,-0.8785688,0.7442907
1865,-0.529556,-0.536945,0.5505434
1219,-1.50556,0.46804985,0.091933824
1275,0.21710889,-0.003613913,0.16520587
1523,0.028774804,0.0109685045,0.032620788
1880,-1.0449272,-0.0061590197,0.3444212
1917,-0.81795955,-1.0724494,0.96779495
1087,0.024351288,-0.04456089,0.25222555
1717,0.012426359,-0.034467053,0.059201926
1875,0.10002978,-0.049962774,0.09007001
1744,-1.179042,-1.2738024,1.2292514
1237,-0.025853533,0.117683075,0.06924418
1472,-0.3972396,0.003450513,0.1264869
1450,-0.400233,-0.5002912,0.5594524
1782,0.040500425,0.050625533,0.055176
1742,-0.44672328,0.041595913,0.1502002
1730,0.4910475,0.23880938,0.6289616
1278,-1.098402,-1.0730026,1.0187553
1467,-0.48932314,0.013346076,0.14509058
1171,-1.4801407,-0.9501759,1.1216694
1810,0.08263214,0.028290201,0.049185548
1100,-0.65673155,0.07908555,0.1566809
1552,-0.9630954,-0.053869344,0.32672548
1378,0.109441884,-0.013197646,0.047188427
1340,0.05487863,0.01859827,0.018964697
1147,-0.16625647,-0.28282064,0.2642973
1691,1.5445951,1.3557439,2.8247986
1740,-0.014757288,0.0065533756,0.060320366
1925,-1.0107454,-0.038431667,0.31974855
1833,-0.015017055,-0.018771319,0.06470992
1662,0.00676287,0.008453588,0.115892746
1905,-0.64121056,-0.8265132,0.7581551
1306,-0.01951606,-0.049395077,0.11913728
1974,0.15125453,0.06406817,0.18044816
1059,-0.86131424,0.04835725,0.21091163
1027,0.037960015,0.047450006,0.049206022
1246,-0.7116879,0.010390187,0.18753342
1203,-0.69301724,0.23372844,0.07140954
1122,-3.2646294,0.019213295,0.9281212
1511,0.0019099101,-0.02261261,0.06948829
1299,0.030731857,-0.21158518,0.2222197
1465,-0.018983483,-0.023729354,0.055388816
1000,-0.4333063,0.10836711,0.0917305
