,h_post,h_post_individualized
1380,0.5158946,
1395,0.72880113,
1622,0.67499816,
1430,0.643134,
1110,0.72880113,
1175,0.7071521,
1646,0.5253322,
1897,0.72880113,
1351,0.7210084,
1015,0.72880113,
1975,0.7062886,
1203,0.72880113,
1025,0.72880113,
1889,0.5499807,
1091,0.64863825,
1987,0.7282866,
1031,0.7176918,
1732,0.6064,
1824,0.72880113,
1794,0.52345043,
1962,0.72880113,
1215,0.72880113,
1382,0.5635027,
1737,0.72880113,
1426,0.72880113,
1188,0.72880113,
1620,0.72880113,
1895,0.72880113,
1020,0.5341738,
1386,0.51829237,
1084,0.72880113,
1509,0.5902816,
1231,0.58605784,
1161,0.71905565,
1408,0.5999955,
1008,0.72880113,
1592,0.72880113,
1330,0.62162304,
1162,0.72238487,
1275,0.72720927,
1373,0.72880113,
1542,0.54128104,
1257,0.500062,
1576,0.6531665,
1248,0.5622612,
1065,0.72880113,
1427,0.5495452,
1937,0.72880113,
1963,0.72880113,
1994,0.5901742,
1886,0.69218427,
1099,0.72880113,
1845,0.72880113,
1971,0.72880113,
1735,0.72880113,
1422,0.72880113,
1586,0.72880113,
1406,0.55200064,
1220,0.50974286,
1159,0.6249095,
1807,0.61920893,
1995,0.5040198,
1779,0.71409804,
1792,0.7272174,
1841,0.6806816,
1669,0.72880113,
1352,0.72880113,
1878,0.57009345,
1147,0.72880113,
1199,0.515462,
1661,0.2177782,
1782,0.69698197,
1635,0.72880113,
1374,0.6482541,
1152,0.5663717,
1342,0.5415066,
1180,0.5275464,
1412,0.521116,
1846,0.63600045,
1880,0.50284415,
1536,0.50075895,
1345,0.72880113,
1671,0.72880113,
1299,0.72775996,
1531,0.72880113,
1747,0.6579936,
1496,0.60652936,
1494,0.57432437,
1132,0.71639156,
1337,0.72880113,
1100,0.72880113,
1931,0.5167455,
1470,0.55675197,
1038,0.6444556,
1453,0.59103,
1308,0.72880113,
1113,0.72880113,
1336,0.72880113,
1831,0.6523364,
1221,0.59333634,
