,x1,x2,x3
1773,0.547797,0.27169552,0.70905197
1985,0.5482961,0.6724442,1.5303997
1725,0.5182862,0.42742932,0.9093728
1679,0.6257781,0.48866713,1.1596007
1221,0.19503894,0.3425584,2.1966052
1734,0.46135327,0.4420299,0.8956538
1288,0.5478774,0.32181606,1.279269
1587,0.5205904,0.23088562,0.6355941
1632,0.50161815,0.40242723,0.864369
1952,0.61758655,0.4763798,1.0374837
1685,0.46943605,0.20415407,0.56747735
1940,0.52966815,0.8945023,1.330104
1677,0.5662132,0.7993198,1.3987756
1457,0.5295489,0.7943233,1.5097817
1859,0.020107204,1.2301608,1.5742896
1213,0.57101595,0.7565239,1.3217431
1101,0.48154438,0.37231657,0.8101699
1025,0.5327614,0.49914208,1.0184557
1492,-0.70244217,1.2463367,2.203406
1408,0.48767728,0.78151584,1.5067284
1801,0.5110451,0.31656766,0.7498218
1852,0.47664425,0.41496637,0.8669395
1149,0.5641949,0.54629236,1.1033262
1574,0.5894562,0.2841843,0.7515318
1983,0.54383856,0.46575785,0.97836405
1987,0.5844501,0.5766752,1.1580154
1388,0.50669414,0.81004125,1.4180743
1683,0.562025,0.4430375,0.95746756
1224,0.5414671,0.8122006,1.4019612
1103,0.51549494,0.2732424,1.4918362
1460,0.50544876,0.40817314,0.87471163
1633,0.5923617,0.38854253,0.8993766
1751,0.4963407,0.39451104,1.45012
1083,0.5681521,0.5022282,1.0440108
1778,0.618775,-0.021837473,2.1606925
1996,0.5610632,0.7915948,1.3248707
1467,0.5364395,0.45465922,0.9583866
1591,0.4616662,0.3424993,0.7564987
1143,0.58558726,0.5283809,1.0910856
1045,0.58047986,0.5707198,1.2472956
1201,0.5128668,0.31930017,1.3547403
1687,0.5558734,0.2338101,1.3608582
1571,0.6674584,0.6511876,1.1121377
1289,0.5693294,0.8039941,1.1071893
1989,0.49562055,0.14343083,0.4981755
1567,0.49341378,0.8401207,1.2722173
1816,0.5419893,0.212984,0.6233711
1561,0.49135464,0.23703197,0.62665755
1206,0.5950252,0.3425378,1.7965679
1426,0.61756194,0.57634294,1.2774173
1523,0.49666923,0.24500385,0.64100695
1929,0.52256274,0.48384413,1.4909195
1016,0.64013106,0.5601965,1.5683538
1839,0.58755827,0.5813374,1.1664073
1933,-0.4274617,1.0088074,2.1758533
1182,0.49035686,0.43553528,0.9039635
1539,0.598628,0.19794199,0.63629556
1541,0.54784155,0.7717624,1.4891722
1470,0.56247663,0.24371496,1.4786869
1312,-0.73825604,1.2426159,2.2967086
1295,0.60318065,0.30477098,0.78858775
1913,0.5424491,0.46367368,0.97461265
1090,-0.49752462,0.80371314,2.5066836
1356,0.63380814,0.7507123,1.231282
1955,0.67220074,0.4583011,1.044942
1464,0.5049025,0.30735373,0.73323673
1895,0.5347627,0.352144,0.8138592
1099,0.62419116,0.5862868,1.1953162
1366,0.48156902,0.32235354,0.74023634
1819,0.48108396,0.32162595,0.7389267
1281,0.49934652,0.19901979,0.57823557
1949,0.49949664,0.24924496,0.64864093
1841,0.5490913,0.47363693,0.99254644
1938,0.5694131,0.3541197,0.83741546
1269,0.6357774,0.6036661,1.226599
1184,0.48935756,0.43403634,0.90126544
1319,1.2062823,0.10942346,1.1969622
1935,0.5065112,0.30976683,0.7375803
1741,0.5890584,0.3835876,0.8904577
1452,0.5091439,0.31371582,0.7446885
1611,0.5526959,0.7790438,1.4822788
1588,0.03862953,1.1579443,1.6042998
1177,0.5049946,0.30749184,1.4334854
1364,0.4544869,0.23173036,0.5971146
1988,0.5988382,0.39825732,0.91686314
1340,0.61831397,0.57747096,1.1794478
1707,0.51878107,0.22817159,0.6307089
1076,0.34024775,0.86037165,1.6086688
1674,0.57652354,0.26478532,1.2166137
1317,0.5120883,0.26813245,0.6826384
1961,0.5436664,0.31549963,0.76789933
1821,0.47577173,0.8136576,1.5245837
1469,0.5506698,0.17600468,1.3768083
1257,0.48032144,0.37048215,0.8068679
1097,0.52333885,0.83500826,1.423015
1033,0.6263778,0.48956674,1.0612202
1638,0.53737134,0.506057,1.0309027
1196,0.50040066,0.45060098,0.9310818
1557,0.5610337,0.3915506,0.8847911
1593,0.5178332,0.42674977,0.9081496
