,h_post,h_post_individualized
1746,0.5275243,
1255,0.72907895,
1202,0.6083322,
1649,0.54551053,
1882,0.72907895,
1683,0.6347227,
1495,0.72907895,
1165,0.6478442,
1659,0.56377494,
1303,0.62072694,
1386,0.72634834,
1288,0.51783264,
1448,0.6290031,
1415,0.71891683,
1993,0.5712909,
1708,0.5045944,
1156,0.5816201,
1313,0.5758977,
1422,0.580945,
1182,0.72907895,
1842,0.6066725,
1204,0.595038,
1608,0.5387285,
1980,0.53939754,
1351,0.6626503,
1014,0.57241243,
1089,0.72907895,
1094,0.50573874,
1336,0.55067664,
1623,0.57999206,
1681,0.61161685,
1538,0.72633094,
1933,0.6186118,
1529,0.546289,
1531,0.5534801,
1704,0.72907895,
1074,0.72907895,
1144,0.50326055,
1015,0.62170297,
1356,0.6546731,
1848,0.6735312,
1093,0.72907895,
1676,0.72907895,
1220,0.6846848,
1976,0.5523502,
1166,0.5025424,
1615,0.70149046,
1459,0.5230837,
1840,0.66148704,
1642,0.5358,
1903,0.72907895,
1859,0.7040249,
1049,0.53427476,
1337,0.537963,
1131,0.72907895,
1319,0.5385679,
1820,0.5423929,
1567,0.5842343,
1680,0.72907895,
1626,0.5726102,
1744,0.50574565,
1593,0.5733112,
1460,0.62199754,
1629,0.58514255,
1219,0.52763224,
1059,0.5589835,
1031,0.586555,
1654,0.5465009,
1079,0.6091664,
1384,0.51970965,
1332,0.72907895,
1434,0.61936957,
1428,0.72907895,
1776,0.54709333,
1145,0.50462323,
1276,0.5028259,
1139,0.72907895,
1884,0.72907895,
1405,0.57372534,
1689,0.72907895,
1030,0.579518,
1928,0.6729857,
1286,0.72907895,
1956,0.7142531,
1259,0.72907895,
1488,0.6354898,
1905,0.5045065,
1479,0.5770941,
1491,0.70530176,
1036,0.6816389,
1964,0.59584016,
1570,0.7224582,
1245,0.52577096,
1853,0.52840227,
1244,0.56816405,
1731,0.5256666,
1528,0.53346884,
1772,0.72907895,
1590,0.72907895,
1250,0.72907895,
