ix,goal_cost,intv_cost
1219,0.954,8.4
1628,0.956,4.5
1582,0.954,11.0
1099,0.955,14.7
1486,0.952,3.0999999999999996
1704,0.951,9.4
1333,0.953,2.9
1218,0.963,1.2
1231,0.957,4.0
1020,0.953,4.199999999999999
1733,0.975,1.4
1036,0.959,1.9
1456,0.957,0.9
1973,0.951,1.6
1845,0.951,5.3
1326,0.955,11.5
1714,0.953,8.5
1030,0.953,6.4
1685,0.954,12.4
1654,1.0,2.0
1734,0.951,5.7
1601,0.962,0.8
1230,0.957,4.4
1542,0.951,14.400000000000002
1520,0.98,2.2
1821,0.9570000171661377,2.5
1115,0.96,0.8
1194,0.98,2.8
1592,0.986,1.3
1539,0.957,5.4
1427,0.964,1.1
1003,0.951,6.0
1594,0.956,1.2
1746,0.953,3.2
1384,0.951,3.5
1385,0.951,10.899999999999999
1666,0.953,4.8
1450,0.958,0.8
1623,0.966,1.3
1507,0.956,17.8
1157,0.955,9.5
1359,0.963,0.9
1171,0.951,7.300000000000001
1273,0.954,3.0
1902,0.951,4.699999999999999
1286,0.951,6.8
1590,0.955,9.6
1201,0.951,5.4
1686,0.973,0.9
1931,0.961,1.1
1561,0.952,0.9
1229,0.956,0.9
1305,0.954,16.0
1688,0.956,3.9
1323,0.975,1.7
1966,0.957,3.5
1500,0.983,1.4
1747,0.951,7.5
1008,0.962,1.5
1567,0.951,6.9
1956,0.954,0.8
1602,0.962,1.5
1720,0.952,4.5
1072,0.973,2.4
1550,0.951,3.5
1098,0.974,2.2
1279,0.953,4.3
1374,0.959,0.9
1034,0.953,15.599999999999998
1579,0.954,4.0
1044,0.951,2.5
1459,0.9570000171661377,1.5
1223,0.961,1.1
1848,0.952,4.2
1330,0.953,1.7
1777,0.955,2.9
1506,0.952,4.2
1345,0.951,3.5999999999999996
1276,0.953,5.7
1331,0.951,2.9
1724,0.954,12.7
1804,0.953,10.3
1049,0.96,2.1
1711,0.958,1.8
1516,0.9509999752044678,2.5
1313,0.96,1.6
1934,0.956,4.699999999999999
1259,0.956,4.0
1344,0.951,4.300000000000001
1938,0.964,1.1
1936,0.952,5.5
1809,0.955,8.2
1879,0.976,2.8
1119,0.952,5.5
1836,0.951,3.2
1961,0.9559999704360962,2.0
1246,0.956,2.3
1033,0.958,2.3
1776,0.956,2.4
1996,0.952,4.7
