ix,goal_cost,intv_cost
1746,0.972,3.6
1255,0.98,0.9
1202,0.952,3.2
1649,0.952,0.7
1882,0.954,2.2
1683,0.972,1.2
1495,0.97,1.1
1165,0.962,0.8
1659,0.954,1.1
1303,0.972,2.9000000000000004
1386,0.966,0.6
1288,0.952,3.6999999999999997
1448,0.958,0.6
1415,0.972,0.9
1993,0.972,0.8
1708,0.976,0.9
1156,0.954,0.6
1313,0.972,0.9
1422,0.9819999933242798,1.0
1182,0.974,0.7
1842,0.952,7.5
1204,0.954,2.6
1608,0.982,0.7
1980,0.954,2.5999999999999996
1351,0.952,10.3
1014,0.952,3.0
1089,0.972,1.2
1094,0.976,0.8
1336,0.982,0.7
1623,0.98,0.8
1681,0.952,0.8
1538,0.99,0.9
1933,0.972,0.8
1529,0.952,1.3
1531,0.974,0.9
1704,0.984,1.3
1074,0.952,3.7
1144,0.9520000219345093,1.0
1015,0.968,0.8
1356,0.968,0.6
1848,0.984,0.9
1093,0.952,6.2
1676,0.956,2.3
1220,0.954,0.9
1976,0.982,1.1
1166,0.984,0.7
1615,0.98,1.2
1459,0.974,0.9
1840,0.976,0.7
1642,0.9760000109672546,1.0
1903,0.954,4.0
1859,0.984,1.4
1049,0.952,3.6
1337,0.952,1.8
1131,0.974,0.7
1319,0.9739999771118164,1.0
1820,0.952,3.6999999999999997
1567,0.9739999771118164,1.0
1680,0.956,1.0
1626,0.952,5.0
1744,0.952,0.8
1593,0.956,4.2
1460,0.952,8.2
1629,0.974,1.2
1219,0.984,1.2
1059,0.984,0.7
1031,0.954,0.7
1654,0.982,0.7
1079,0.952,0.6
1384,0.98,0.7
1332,0.952,4.0
1434,0.952,4.1
1428,0.962,1.2
1776,0.978,0.8
1145,0.984,1.3
1276,0.952,0.8
1139,0.968,5.800000000000001
1884,0.972,0.6
1405,0.974,0.8
1689,0.954,0.9
1030,0.984000027179718,1.0
1928,0.954,2.9
1286,0.9760000109672546,1.0
1956,0.984,0.7
1259,0.952,3.0
1488,0.978,1.2
1905,0.968,0.7
1479,0.952,2.7
1491,0.974,0.8
1036,0.984,1.1
1964,0.952,5.0
1570,0.952,7.7
1245,0.972,1.1
1853,0.952,3.3
1244,0.98,0.9
1731,0.952,4.9
1528,0.954,0.9
1772,0.982,1.1
1590,0.982,1.3
1250,0.974,1.1
