,h_post,h_post_individualized
1861,0.6353630023689949,
1244,0.7368319695580844,
1512,0.5080832705916745,
1937,0.9658877916940836,
1661,0.5972772039007035,
1073,0.5374825085957892,
1885,0.6233427854058112,
1091,0.6165440545013211,
1731,0.7337931355674119,
1423,0.5973106832623688,
1925,0.6971086233957313,
1379,0.6296663984080945,
1551,0.5409942587786911,
1268,0.5311624907587306,
1253,0.8729137502991856,
1947,0.5,
1593,0.5377389352317237,
1673,0.8733787320112323,
1864,0.5787185475882086,
1547,0.7612193495009965,
1901,0.7466137040872873,
1974,0.5335498395170255,
1457,0.5722507560627117,
1249,0.5,
1284,0.9999966595769662,
1144,0.5709771265265512,
1622,0.6262545469702397,
1426,0.5961374530101609,
1399,0.7692747925042595,
1804,0.7007478148312667,
1909,0.6420665900260009,
1980,0.5488936735474311,
1992,0.8079255419645601,
1083,0.8524443561188398,
1813,0.5758653191140842,
1271,0.528094598579995,
1022,0.5406945865418055,
1917,0.5,
1863,0.5974842931137181,
1014,0.6999098644407129,
1832,0.5517782490191185,
1736,0.5315383171424182,
1215,0.5416816825503038,
1272,0.6114461532440856,
1467,0.6462150568619243,
1761,0.5466738013237473,
1359,0.6823394116440575,
1384,0.9999964000366773,
1479,0.7233396829202573,
1108,0.7744262293781666,
1681,0.8623126385120786,
1486,0.7313670279627505,
1372,0.5776412110926075,
1635,0.5765197647858149,
1333,0.5516438914560098,
1490,0.8046504815004727,
1133,0.653211880263585,
1533,0.9999998880739911,
1592,0.6252766555499183,
1283,0.6347803773231957,
1105,0.6954929782326926,
1357,0.8189032239597845,
1082,0.5066416706586959,
1028,0.6258261873518378,
1802,0.7349311805379993,
1446,0.5845041466406876,
1029,0.5151808697427146,
1541,0.523210677667466,
1807,0.5701681055962946,
1327,0.5922856702565316,
1491,0.5214394985270238,
1450,0.5757196670050214,
1165,0.6689914693501672,
1319,0.5763995011473317,
1682,0.5833513805248466,
1034,0.7969464243087505,
1764,0.7649093430000983,
1818,0.5462824678350818,
1881,0.7978104769582198,
1260,0.633062991292334,
1305,0.5972233367507578,
1829,0.5314302774160741,
1994,0.6827267438402881,
1043,0.5622191751103371,
1971,0.5,
1637,0.6562286359045889,
1737,0.7948586352504484,
1345,0.6427514571205418,
1027,0.6475768548454579,
1287,0.5241693504833725,
1418,0.8454310552780331,
1454,0.582678446407296,
1650,0.5315336547630846,
1185,0.8663009912157982,
1209,0.5546344470002438,
1111,0.9999999931216003,
1374,0.6247971559922397,
1360,0.5060186394869034,
1174,0.5616752772587054,
1717,0.6090112007767136,
