,x1,x2,x3
1861,0.58851385,0.8827707,1.4501361
1244,1.2964685,0.94470274,2.1708183
1512,0.6713883,1.0570824,1.6456096
1937,1.0304192,0.64562887,1.59909
1661,0.66959363,0.90439045,1.5609432
1073,0.65338683,0.8300803,1.6388057
1885,0.79099953,0.7364993,1.5165988
1091,1.0987748,0.5981622,1.5968144
1731,0.8159571,0.17393567,2.1814885
1423,-0.08875936,1.216861,2.0692258
1925,0.48925465,1.0338819,1.592062
1379,0.63426656,0.9013998,1.649093
1551,0.8501649,0.82524735,1.6704286
1268,0.77436715,0.7615507,1.7333546
1253,0.92710024,0.79065037,1.6904606
1947,0.70540714,0.008110618,2.4740584
1593,1.082886,0.674329,1.6755036
1673,0.6843175,0.6264763,1.7992256
1864,0.6272478,0.9908717,1.6108443
1547,0.5019611,1.0529416,1.7050989
1901,0.60887575,1.0633136,1.6030769
1974,1.1512545,0.9768818,2.093262
1457,1.1226901,0.98403513,2.0789943
1249,1.0430965,0.96464485,1.0920511
1284,0.31817013,0.52725506,2.3472424
1144,0.9982757,0.5474136,1.6555169
1622,0.82569516,0.78854275,1.5068074
1426,-0.66506726,1.4023991,2.470825
1399,1.0645403,0.5468104,1.5078046
1804,0.75432724,0.9314909,1.6212509
1909,0.5951413,1.142712,1.5073674
1980,0.6292576,0.9438865,1.5960699
1992,0.7737693,0.71065396,1.5718002
1083,0.95092565,0.6763885,1.5724066
1813,1.3734353,0.7601529,2.0109315
1271,1.1898437,0.48476547,1.5335935
1022,0.79782987,0.7467448,1.5343577
1917,0.68204045,0.9730607,1.5133052
1863,0.6445457,0.91681856,1.6358188
1014,1.1542422,2.8313632,-0.77897024
1832,0.6353986,0.40309793,2.2920363
1736,0.61024356,0.91536534,1.6466334
1215,0.6257308,0.9885963,1.5069003
1272,1.1629183,0.5943775,1.4435877
1467,1.0106769,0.6160153,1.5477599
1761,0.67191494,0.9578725,1.4869789
1359,0.8420261,0.71303916,1.5292679
1384,0.6829771,0.92446566,1.5757405
1479,1.2409822,0.011473244,1.9465536
1108,0.9551859,0.73277885,1.6434833
1681,0.8247694,0.68715405,1.4844004
1486,0.67323494,0.059852503,2.4104106
1372,1.1382811,1.1074216,2.2395308
1635,0.6991798,0.9987697,1.6178675
1333,-0.177804,1.233294,2.1377096
1490,0.14479998,1.1171999,1.93648
1133,1.0444596,0.8166894,1.8155949
1533,1.4709319,0.75639784,2.0844228
1592,0.919044,0.72856605,1.6095145
1283,1.0450585,0.7675878,1.7571521
1105,1.0207903,0.5811855,1.514055
1357,0.61357033,0.9203555,1.4952829
1082,0.9687526,0.9031289,1.8587568
1028,1.0148433,0.722265,1.6785927
1802,1.0825112,0.57376677,1.554529
1446,-0.4996261,0.9505609,2.7209718
1029,0.8583561,0.93753433,1.3917258
1541,0.64514095,0.8677114,1.4973665
1807,1.0476437,0.87146544,1.8838735
1327,0.99136466,0.687047,1.6175482
1491,0.3532347,0.9798521,1.6984103
1450,0.59976697,0.8996505,1.5593942
1165,0.8466282,0.8199423,1.6612332
1319,0.81135494,0.5670324,1.9295229
1682,0.7753378,-0.38699323,2.7158782
1034,0.3322211,0.64833164,2.0637748
1764,1.0268351,0.69025266,1.6497712
1818,0.8693506,0.8040259,1.6603116
1881,0.6092793,0.9139189,1.6641262
1260,0.7144742,0.8217113,1.517633
1305,1.028835,0.9932526,2.014971
1829,0.6218404,1.0327606,1.5967852
1994,0.2793496,0.9690244,1.726309
1043,-0.9707797,2.6438303,1.5759727
1971,1.4217294,0.78259414,1.0764965
1637,1.0962973,0.6444459,1.6503729
1737,0.48608962,0.97913444,1.723833
1345,0.94978595,0.8746789,1.8094434
1027,1.03796,0.85694003,1.158696
1287,-0.277331,-0.41599655,3.8789396
1418,-0.7417194,1.7874209,2.0915294
1454,-0.7268875,1.4096687,2.4900925
1650,0.85822266,0.687334,1.5113789
1185,0.7227082,0.9840623,1.5790414
1209,0.62170804,0.23256207,2.2764409
1111,0.67391163,0.36086744,2.2721703
1374,0.44158626,1.0623794,1.4881243
1360,0.6474031,0.87110454,1.6232479
1174,1.0796009,0.6194014,1.5069624
1717,0.8124263,0.7186395,1.5123085
