,x1,x2,x3
1075,0.8,1.2,2.1
1658,1.0,1.5,2.6
1923,1.0,1.4,2.6
1940,0.6,0.0,1.4
1216,0.7,1.0,0.0
1034,0.7,-0.0,-0.0
1369,0.5,0.8,2.6
1090,1.3,1.1,3.6
1362,1.3,2.0,4.2
1629,0.5,0.7,2.1
1860,0.6,0.0,0.0
1529,0.7,1.4,1.4
1162,0.6,0.0,1.2
1675,0.7,1.1,1.9
1657,0.1,1.2,2.1
1859,0.2,1.3,1.3
1836,1.0,-0.0,-0.0
1685,0.8,0.6,2.1
1110,0.9,1.3,2.0
1274,0.7,1.0,1.8
1102,1.5,1.3,3.0
1284,0.7,1.1,-0.0
1234,0.8,-0.0,2.3
1495,0.9,1.1,-0.0
1988,0.6,0.0,1.1
1687,1.3,1.9,0.9
1289,1.5,2.2,4.0
1902,0.6,0.8,-0.0
1438,0.5,1.0,1.8
1415,0.3,1.1,1.8
1562,0.4,-0.0,-0.0
1408,1.0,0.0,0.0
1954,1.1,-0.0,2.6
1504,0.6,0.0,0.0
1801,0.4,-0.0,-0.0
1931,1.4,2.1,2.8
1606,0.3,0.4,2.6
1281,0.7,-0.0,1.8
1170,0.7,1.4,2.3
1457,1.1,0.0,0.0
1953,1.1,0.1,3.1
1642,0.8,0.0,0.0
1221,0.8,1.3,2.3
1231,0.6,-0.0,-0.0
1697,0.1,2.2,3.1
1576,1.0,1.4,2.6
1517,0.5,-0.0,-0.0
1892,0.8,1.3,2.1
1492,0.8,1.3,2.3
1840,0.7,1.5,2.6
1349,0.6,0.9,1.6
1189,0.7,-0.0,1.5
1560,1.0,0.6,3.3
1372,1.8,1.7,4.2
1633,0.6,0.8,-0.0
1659,0.9,-0.0,-0.0
1044,0.8,1.1,0.0
1855,0.9,0.0,0.0
1537,0.6,-0.0,-0.0
1081,-0.0,1.3,-0.0
1383,1.1,2.3,2.3
1344,1.2,1.5,3.1
1791,0.9,0.8,2.6
1070,0.4,0.0,0.0
1468,0.9,0.5,2.1
1084,0.8,1.2,2.1
1955,0.5,0.9,1.6
1077,1.3,1.9,1.3
1708,1.5,0.2,4.7
1319,0.7,1.1,-0.0
1150,1.0,-0.0,2.4
1452,0.5,0.8,0.0
1971,1.3,0.0,2.6
1219,0.4,-0.0,0.0
1210,0.5,1.0,1.3
1680,1.2,1.3,3.1
1161,0.7,0.0,0.0
1646,0.7,-0.0,-0.0
1276,0.6,1.0,1.7
1773,0.1,1.3,2.3
1435,0.7,1.1,-0.0
1363,0.8,0.0,0.0
1057,0.5,-0.0,-0.0
1258,0.9,1.3,1.8
1177,0.5,0.8,-0.0
1610,0.7,0.0,0.0
1028,0.7,2.3,1.8
1317,0.2,1.3,1.8
1295,0.7,-0.0,0.0
1588,1.1,0.0,3.0
1379,1.1,2.3,3.1
1872,0.4,0.0,0.0
1055,1.0,-0.0,2.5
1464,0.5,0.8,1.5
1731,0.8,1.2,2.1
1071,0.4,0.0,0.0
1131,0.7,0.0,1.6
1267,0.7,0.2,1.9
1097,1.3,-0.0,3.4
1717,0.6,0.9,-0.0
