,x1,x2,x3
1879,-0.13734408,-0.49668008,0.42863187
1615,-0.7194984,-0.09937294,0.36163044
1272,-0.94038415,-0.5504801,0.66875136
1889,-0.68403435,0.019957066,0.25188833
1131,-0.15123133,-0.08903917,0.10849813
1558,-0.10189792,-0.17737238,0.118831776
1560,-0.10069591,-0.5508699,0.34773833
1452,-0.11818226,-0.59772784,0.46590775
1128,-0.12640409,-0.13300511,0.114186645
1804,-1.1113688,-1.6642109,1.3130516
1256,-1.2243309,-0.10541363,0.54592437
1761,-0.2708062,-0.23850775,0.21987984
1361,-1.3459016,-1.282377,1.2258197
1000,-0.20618376,-0.4827297,0.4049027
1014,-0.037084855,-0.14635608,0.07947421
1883,-0.07782258,-0.9972782,0.5470766
1758,-0.04281087,-0.028513586,0.08586468
1539,-0.586375,-0.18296875,0.34428135
1148,-0.13001654,-0.16252068,0.17744625
1803,0.1611377,-0.8985778,0.42369738
1483,1.3067467,-2.8415666,-7.3280735
1244,0.1998194,0.07477425,0.27441305
1283,-0.34243777,-0.37804717,0.33707753
1402,0.43554598,0.34443247,0.9155244
1742,0.048879184,0.011098993,0.008857358
1093,-1.0367719,-1.3209648,1.1054912
1299,-0.12945984,-0.13682482,0.10425548
1248,-0.33886456,0.22641936,-7.35131
1099,-1.8639098,-0.9298874,1.242293
1496,-0.10773669,-0.18467085,0.19985576
1062,0.025175417,-0.6935308,0.35682005
1114,0.6341726,0.36771578,0.43606102
1005,-0.7148956,-1.0186195,0.8515893
1902,-0.33288527,0.18389341,0.018122882
1133,0.018356616,-0.07705423,0.059658997
1202,-0.13500194,-0.46875244,0.7612437
1293,-0.29294503,-0.54118127,0.4729287
1859,-0.7188869,-1.1736087,0.8886175
1930,-0.7750261,-0.09378266,0.45616513
1582,-0.5473138,-0.034142233,-7.72877
1047,0.06719559,-0.016005516,0.21838567
1002,-0.17291155,-0.116139434,0.13803744
1440,-0.09255681,-0.14069602,0.17419039
1906,-0.11640038,-0.9205004,0.5466988
1485,-0.17586416,-0.24483019,0.2034415
1295,-3.3247893,-2.8309865,-10.5805645
1194,-0.69396573,-0.14245716,0.46961117
1397,-0.12717895,-0.058973692,0.1866684
1096,-0.24453138,-0.080664225,0.13027301
1015,-0.41897312,-0.5237164,0.53833735
1459,-0.050181985,-0.38772744,0.21190858
1969,-0.029486835,-0.16185854,0.07916765
1276,0.09198431,-0.035019614,0.048949003
1270,-0.41424137,-0.5928017,0.57871544
1701,-0.1228474,-0.15355925,0.20074594
1326,-1.6398454,-0.2498066,0.87050265
1880,-0.044472933,-0.18059117,0.13046303
1744,0.063706376,0.029632997,0.057045743
1688,-0.3078482,-0.43481022,0.34949356
1150,-0.15740642,-0.22175802,0.16342914
1840,-0.14292368,-0.17865461,0.13549802
1161,-0.049774002,-0.3872175,0.21323451
1245,0.10351179,-1.3456103,0.66141355
1743,-0.38960463,-0.5120057,0.40878478
1904,-2.0195653,-2.5744567,1.9864123
1528,0.033545744,0.066932164,-0.06597635
1463,-0.25004628,-0.11255784,0.18734959
1858,-1.1799622,-0.1749527,0.5651228
1357,-0.47990695,-0.14988367,0.29030257
1031,-0.06561561,-0.13201952,0.13674924
1965,-0.31265453,-0.16581818,0.20887277
1214,0.4334918,-0.108135246,-0.14115167
1856,-0.27093458,-0.36366823,0.29446256
1189,-1.7517881,-2.3147352,1.7816883
1729,-0.022547828,-0.053184785,0.30171955
1572,-0.15048823,-0.2881103,0.21091318
1731,-0.24096923,-0.10121159,-7.5831504
1823,-0.06517889,-0.3564736,0.21316862
1666,-0.046452086,-0.13306512,0.07403071
1665,-0.084427714,-0.055534672,0.07560978
1074,-1.0309796,0.13627534,-8.025683
1146,0.051167823,-1.2110401,0.5912955
1980,-0.0701771,-0.112721376,0.14692442
1652,-0.12838317,-0.13547894,0.10775471
1415,-0.39175063,-0.63968825,0.4768105
1098,0.005836129,-0.94270486,0.46896714
1974,-0.16783617,-0.10979522,0.15453242
1020,-0.08447818,-0.105597734,0.1254458
1379,-0.07479056,-0.34348822,0.20693055
1354,-0.057762913,-0.097203635,0.18727054
1331,-0.34712458,0.016094279,0.12184515
1034,-0.15122147,-0.36402684,0.23353024
1072,-0.86225885,-0.8528236,0.82265866
1423,-1.8754866,-2.3443582,1.9046685
1634,-0.1070062,-0.15875775,0.12722985
1334,-0.07261656,0.03422931,0.08899619
1570,-0.90858763,-0.7357346,-8.85291
1593,-0.51477075,0.83153665,-0.19800484
1486,-0.420653,-0.17581621,0.28287798
1010,-0.789897,-0.18737127,0.43283463
