,x1,x2,x3
1733,0.7,0.0,0.0
1606,-0.1,0.3,2.1
1579,0.3,1.3,2.8
1947,0.7,1.3,2.4
1507,1.0,3.9,8.4
1692,1.3,2.0,3.5
1374,0.1,0.1,0.3
1036,0.4,0.7,2.7
1115,0.0,0.0,0.1
1608,0.1,0.2,0.2
1333,0.8,-0.0,-0.0
1345,0.7,0.0,0.0
1231,0.5,0.9,2.9
1456,-0.1,0.2,0.3
1422,1.1,0.0,0.0
1443,-0.0,0.1,4.1
1840,-0.0,0.6,-0.0
1973,0.1,0.1,0.2
1369,0.0,0.0,1.4
1003,0.6,0.9,1.5
1099,0.8,1.1,7.6
1934,0.3,0.5,0.8
1966,0.9,1.1,-0.0
1030,0.9,0.0,1.7
1201,0.1,0.2,1.6
1218,0.2,0.5,0.7
1668,0.6,1.8,3.9
1546,0.9,1.4,2.5
1594,0.2,0.5,0.9
1286,0.6,0.5,2.3
1560,0.4,0.6,1.8
1356,0.0,0.0,0.1
1704,0.0,0.1,4.6
1845,0.1,0.1,1.6
1772,1.6,-0.0,-0.0
1533,0.0,2.3,0.0
1194,0.2,0.3,5.0
1729,0.1,0.2,0.3
1959,1.0,0.0,2.6
1688,0.2,0.1,3.3
1242,0.2,0.1,0.5
1828,0.5,0.8,0.0
1743,1.3,1.3,5.2
1229,0.1,0.2,0.3
1008,0.5,0.6,1.4
1391,1.2,-0.0,-0.0
1072,1.4,0.4,3.6
1683,1.2,1.4,3.3
1440,-0.0,0.6,0.0
1157,0.3,0.4,4.4
1098,1.4,-0.0,-0.0
1259,0.4,0.7,1.0
1020,0.5,0.7,1.3
1612,0.1,0.1,4.0
1588,0.3,0.5,0.9
1230,0.4,0.4,-0.0
1731,1.1,1.7,4.6
1996,0.6,0.2,1.8
1993,0.1,0.7,1.1
1590,1.3,0.9,3.8
1044,0.0,0.1,0.2
1034,4.2,3.7,0.0
1448,0.1,0.1,0.2
1501,0.4,0.3,-0.0
1602,0.2,0.7,1.5
1570,2.0,2.6,0.0
1520,0.4,0.6,3.1
1455,0.1,0.1,0.3
1528,0.7,0.3,2.1
1903,0.3,1.0,6.6
1171,-0.0,-0.2,3.5
1592,0.5,0.0,0.0
1802,0.3,0.0,2.4
1049,1.3,-0.1,3.3
1804,-0.1,0.0,5.5
1305,1.2,4.2,6.9
1353,0.8,1.1,4.0
1273,0.2,0.2,0.4
1938,0.2,0.4,0.0
1956,0.1,0.1,0.1
1805,0.0,0.0,0.1
1219,0.0,-0.0,4.0
1119,0.9,0.0,2.2
1720,-0.1,0.5,0.9
1033,0.4,0.4,-0.0
1768,-0.0,-2.2,-2.1
1510,0.1,-0.1,0.2
1490,0.3,0.5,0.8
1623,0.2,0.5,0.9
1267,0.5,2.6,4.9
1025,0.4,0.7,1.1
1839,0.6,0.9,1.5
1384,0.1,0.2,0.3
1223,0.1,0.2,0.7
1750,1.4,-0.0,-0.0
1246,0.3,0.4,0.8
1744,0.5,0.8,1.4
1276,-0.1,0.3,1.8
1048,0.0,1.9,3.8
1796,0.1,0.2,2.0
