ix,goal_cost,intv_cost
1879,1.0,7.0
1615,1.0,5.5
1272,1.0,9.6
1889,1.0,3.5
1131,1.0,0.2
1558,1.0,3.0
1560,1.0,2.7
1452,1.0,8.4
1128,1.0,1.4000000000000001
1804,1.0,6.6
1256,1.0,5.1
1761,1.0,0.8
1361,0.99,1.7
1000,1.0,5.5
1014,0.952,0.7
1883,1.0,3.5
1758,0.996,0.9
1539,1.0,3.7
1148,1.0,0.1
1803,1.0,9.5
1483,1.0,4.5
1244,1.0,1.9
1283,0.964,3.7
1402,1.0,0.9
1742,1.0,1.0
1093,1.0,4.6000000000000005
1299,1.0,3.2
1248,1.0,6.0
1099,1.0,10.4
1496,1.0,1.0
1062,1.0,3.7
1114,1.0,4.8
1005,1.0,7.300000000000001
1902,0.952,0.6
1133,1.0,1.4
1202,0.952,1.6
1293,1.0,4.5
1859,1.0,6.199999999999999
1930,1.0,3.3
1582,1.0,6.1
1047,1.0,1.2
1002,1.0,2.5
1440,1.0,0.5
1906,1.0,5.6
1485,1.0,0.9
1295,1.0,3.4000000000000004
1194,1.0,6.1000000000000005
1397,1.0,0.1
1096,1.0,0.2
1015,1.0,1.3
1459,0.966,1.3
1969,1.0,2.2
1276,0.98,1.9
1270,1.0,3.0
1701,1.0,0.1
1326,1.0,7.0
1880,1.0,2.3
1744,1.0,2.2
1688,1.0,4.300000000000001
1150,1.0,0.7
1840,1.0,0.1
1161,1.0,5.5
1245,1.0,4.8
1743,1.0,6.0
1904,1.0,10.7
1528,1.0,3.0
1463,1.0,0.7
1858,1.0,6.5
1357,0.99,4.3
1031,1.0,0.8
1965,1.0,0.5
1214,1.0,3.9
1856,1.0,1.0
1189,1.0,9.4
1729,1.0,0.1
1572,0.99,2.1
1731,1.0,7.0
1823,1.0,5.7
1666,0.976,0.9
1665,1.0,4.6
1074,1.0,4.699999999999999
1146,1.0,4.6
1980,1.0,0.4
1652,1.0,1.1
1415,0.99,2.3
1098,1.0,4.8
1974,1.0,0.30000000000000004
1020,1.0,1.6
1379,1.0,3.0999999999999996
1354,1.0,0.4
1331,1.0,2.5
1034,1.0,12.5
1072,1.0,4.6000000000000005
1423,1.0,5.1000000000000005
1634,1.0,0.5
1334,1.0,1.5
1570,1.0,5.1
1593,1.0,4.800000000000001
1486,1.0,2.7
1010,1.0,3.5
