,x1,x2,x3
1059,-0.7613142,-0.95164275,-1.593614
1176,-0.40021232,-0.5002654,-0.6005839
1925,-1.3107454,-1.6384317,-3.1045496
1433,-0.38296875,-0.47871095,-0.55316406
1073,-1.4466132,-1.8082665,-3.4781864
1580,-0.7604334,-0.95054173,-1.5911919
1876,-0.8367732,-1.0459665,-1.8011264
1674,-0.63490105,-0.7936263,-1.2459779
1880,-1.0449272,-1.306159,-2.3735497
1276,-1.2306235,-1.5382793,-2.8842144
1430,-0.6801937,-0.85024214,-1.3705326
1373,-0.7273154,-0.9091443,-1.5001174
1652,-0.60776174,-0.7597022,-1.1713448
1478,-0.6751917,-0.8439896,-1.3567771
1533,-1.4290681,-1.7863351,-3.4299371
1396,-1.6564342,-2.0705428,-4.055194
1325,-1.0651821,-1.3314776,-2.429251
1447,-0.35022783,-0.4377848,-0.46312654
1594,-1.4755694,-1.8444617,-3.5578158
1037,-0.23148999,-0.2893625,-0.13659745
1824,-0.6854108,-0.8567635,-1.3848797
1496,-1.3428551,-1.6785688,-3.1928513
1681,-0.27523065,-0.3440383,-0.25688428
1109,-0.25684834,-0.32106042,-0.20633292
1541,-0.15485904,-0.1935738,0.07413763
1429,-0.4917596,-0.6146995,-0.8523389
1423,-0.58875936,-0.7359492,-1.1190883
1278,-1.098402,-1.3730025,-2.5206056
1613,-0.5717402,-0.71467525,-1.0722855
1272,-1.1370816,-1.421352,-2.6269743
1302,-0.22882727,-0.28603408,-0.12927496
1799,-0.9127999,-1.1409999,-2.0101998
1490,-1.2552,-1.569,-2.9518
1518,-2.2437534,-2.8046918,-5.670322
1971,-1.2782706,-1.5978383,-3.0152442
1353,-1.1900889,-1.487611,-2.7727444
1219,-1.7055601,-2.1319501,-4.19029
1426,-0.66506726,-0.83133405,-1.3289349
1023,-0.49787754,-0.62234694,-0.8691633
1164,-0.23475724,-0.29344654,-0.14558241
1527,-0.16619115,-0.20773894,0.042974323
1347,-0.29984,-0.3748,-0.32456
1686,-0.51487225,-0.64359033,-0.9158987
1704,-0.09004066,-0.112550825,0.25238818
1759,-0.31347084,-0.39183855,-0.3620448
1941,-1.472989,-1.8412362,-3.5507197
1685,-0.95636374,-1.1954547,-2.1300004
1003,-0.3523303,-0.44041288,-0.46890837
1483,-1.1668931,-1.4586164,-2.708956
1094,-0.72324604,-0.90405756,-1.4889266
1401,-2.3968165,-2.9960206,-6.091245
1882,-1.0641676,-1.3302095,-2.426461
1233,-1.4605634,-1.8257043,-3.5165496
1177,-0.5802763,-0.7253454,-1.0957597
1563,-1.3890867,-1.7363584,-3.3199885
1020,-0.26152134,-0.32690167,-0.21918368
1356,-1.0865357,-1.3581696,-2.4879732
1767,-0.3447316,-0.4309145,-0.44801188
1657,-0.60204035,-0.7525504,-1.1556109
1230,-0.6201248,-0.775156,-1.2053432
1290,-1.0499127,-1.3123908,-2.38726
1669,-0.6746513,-0.8433142,-1.3552912
1749,-0.14196919,-0.17746149,0.10958472
1384,-0.3170229,-0.39627862,-0.371813
1026,-2.1911097,-2.738887,-5.5255513
1788,-0.5461465,-0.6826831,-1.0019028
1764,-0.6731649,-0.8414561,-1.3512034
1144,-0.9017243,-1.1271553,-1.9797418
1364,-1.4540371,-1.8175464,-3.4986022
1217,-1.578201,-1.9727514,-3.840053
1247,-0.54751366,-0.6843921,-1.0056626
1502,-2.3019745,-2.877468,-5.8304296
1238,-0.30397326,-0.37996656,-0.33592644
1111,-0.6260884,-0.7826105,-1.221743
1643,-0.344067,-0.43008375,-0.44618422
1958,-2.0513885,-2.5642357,-5.141319
1309,-0.9885235,-1.2356544,-2.2184396
1311,-1.7769185,-2.2211483,-4.386526
1227,-0.5440595,-0.6800744,-0.9961637
1605,-0.35128918,-0.43911147,-0.4660452
1661,-2.1304064,-2.663008,-5.3586173
1410,-0.12583041,-0.15728801,0.15396637
1283,-0.5549415,-0.6936768,-1.0260891
1538,-0.06811418,-0.08514272,0.31268603
1209,-0.77829194,-0.9728649,-1.6403028
1862,-0.8446577,-1.0558221,-1.8228086
1165,-0.053371802,-0.06671475,0.35322756
1816,-0.32680896,-0.4085112,-0.39872462
1575,-0.36952206,-0.4619026,-0.5161857
1996,-2.127249,-2.6590612,-5.3499346
1327,-0.60863537,-0.7607942,-1.1737473
1521,-1.1756603,-1.4695753,-2.7330656
1231,-0.3056683,-0.38208538,-0.34058782
1821,-0.83418953,-1.0427369,-1.7940211
1724,-0.64514834,-0.8064354,-1.2741579
1992,-0.1262307,-0.15778838,0.15286556
1537,-0.25017083,-0.31271353,-0.18796974
1802,-1.0174888,-1.2718611,-2.2980945
1878,-1.6319011,-2.0398765,-3.9877284
1470,-0.16412555,-0.20515694,0.048654735
