,x1,x2,x3
1234,-1.4339156,-1.4923946,0.43977413
1697,-1.1908914,-1.8386143,0.57960284
1071,-0.40171775,-0.3021472,0.49441728
1985,-1.4034078,-1.8792598,0.5139248
1065,-0.006796956,0.21650383,-0.29709005
1206,-0.90994966,-1.3624371,0.61766356
1651,-2.396355,-3.6704438,-1.8631542
1562,-0.2747676,-0.29345948,0.45700532
1014,-0.45695826,-0.67119783,0.5148856
1223,-0.4190645,-0.6238306,0.63804036
1859,-0.3597856,-0.54973197,0.5306968
1801,-0.17790976,-0.5723872,0.5717933
1457,-1.6409023,-2.076128,0.44206753
1892,-0.9297137,-0.86214215,0.47843057
1992,-0.7327839,-1.0409799,0.4934523
1302,-2.2453792,-2.506724,-0.19748268
1443,-0.15016213,-0.08770267,0.5119731
1988,-0.5023236,-0.20290454,0.3924482
1629,-0.4666236,-0.60827947,0.5584733
1030,-1.258158,-1.6726974,0.5109867
1081,0.036628354,-0.054214574,0.51904213
1766,0.015238166,-0.10595229,0.5245241
1942,-0.27602825,-0.4950353,0.5529082
1835,-0.42436913,-0.43046144,0.5208003
1797,-0.09660473,-0.27075592,0.53603464
1084,0.31220016,-0.0097498,0.014650583
1219,-0.39311868,-0.31639832,0.4973643
1440,-0.38575304,-0.6071913,0.5213026
1680,-1.3632922,-1.8291153,0.5443002
1221,-1.1099222,-1.1624026,0.41775322
1198,-0.03699734,-0.19624668,0.5297587
1484,-0.54709345,-1.0838668,0.62194633
1741,0.2781168,0.07264599,0.52887964
1040,0.3476065,0.15950814,0.75472116
1418,0.4772974,0.32162175,1.1762166
1529,-0.62799525,-0.584994,0.5590155
1731,-0.78448784,-1.1056098,0.52541465
1356,-0.23238368,0.38452035,-0.380247
1683,0.024049968,-0.09493754,0.5531624
1316,-0.3260925,-0.0076156617,0.5401993
1895,0.16952536,0.08690667,0.5259574
1162,-0.24293402,-0.75366753,0.6604644
1026,-0.017392421,-0.07174052,0.4934746
1648,-0.240015,-0.45001873,0.5699513
1366,-0.33686197,-0.1960775,0.43019855
1933,-0.5549234,0.7813457,0.1714989
1295,-0.4936387,-0.3920484,0.5206742
1660,-1.1782135,-1.5727668,0.5708062
1327,-0.21822205,-0.072777554,0.49077833
1982,-0.7261212,-1.0076514,0.7401062
1362,-2.070578,-2.8132224,-0.2543787
1740,-0.36222547,-0.47778186,0.5977672
1214,-1.5106932,-0.53836644,0.14024734
1329,0.37926307,0.12407884,0.48260498
1685,-0.5611279,-0.8264099,0.5513344
1532,-0.81253856,-1.2906731,0.58424973
1650,0.26051787,-0.02435267,0.096683025
1973,0.049281575,-0.08839803,0.6101651
1935,-0.2869776,-0.38372198,0.5423229
1012,-0.7514144,-0.739268,0.6579032
1485,-0.8043221,-0.50540257,0.38595325
1284,0.2665619,-0.016797632,0.11632609
1274,-0.62901115,-0.58626395,0.5557138
1924,-2.1690912,-4.211364,-0.7495468
1591,0.023332387,-0.095834516,0.55083025
1539,0.29725602,-0.10342997,-0.40891802
1872,-0.32823008,0.46471238,0.30825216
1186,-0.08535667,-0.30669582,0.5225908
1610,-0.689006,-0.96125746,0.66073066
1146,-0.5340171,-0.81752133,0.5144444
1276,-0.48129004,-0.62661254,0.7108073
1677,-0.06757363,-0.23446703,0.5303857
1216,-0.6559216,-0.7199019,0.56825495
1317,0.32417655,0.080220684,0.4285738
1495,-0.8084407,-1.3355509,0.54756767
1907,0.024462879,-0.0944214,0.55450445
1625,-0.23974562,0.375318,0.39582682
1203,-0.04764521,-0.08455651,0.5201531
1439,0.003069669,-0.121162914,0.4849764
1742,-0.5581361,-0.8226701,0.5610577
1097,-1.8533223,-2.4416528,0.15170269
1902,0.19101602,0.08877001,0.470802
1900,-0.28867492,-0.46084365,0.5618065
1619,-0.23856324,-0.12320407,0.49966946
1968,-0.055027734,-0.26878467,0.62115985
1161,-0.89684516,-0.79605645,0.6102532
1075,-0.7769804,-1.0962255,0.5498137
1168,1.0221049,0.75263107,1.6968408
1873,0.0028586686,-0.121426664,0.48429066
1189,-0.5778389,-0.04729862,0.3970236
1227,-0.060906768,-0.20113346,0.57705295
1940,-0.4406637,-0.67582965,0.542843
1034,-0.66555846,-0.95694804,0.51193506
1044,-1.4568341,-0.57104254,0.6152894
1224,-0.117065825,-0.24633229,0.6195361
1949,-0.60100675,-0.8512584,0.7467282
1070,-0.21771249,-0.022140622,0.5424344
1470,-0.7750467,-1.0938084,0.55609816
1557,-0.2779325,-0.24741563,0.49671936
1675,-0.6113026,-0.9891283,0.58826655
