ix,goal_cost,intv_cost
1585,0.779,1.2
1386,0.76,1.6
1111,0.772,1.4
1923,0.815,2.6
1977,0.851,2.4
1116,0.762,2.3
1741,0.762,1.6
1437,0.756,3.0
1166,0.792,2.2
1433,0.871,1.7
1007,0.7730000019073486,1.5
1572,0.771,2.3
1130,0.7860000133514404,1.0
1661,0.763,3.0
1797,0.758,2.9000000000000004
1344,0.757,5.6
1233,0.9,3.3
1541,0.774,1.1
1642,0.76,4.0
1404,0.764,0.9
1639,0.781,2.0
1287,0.769,1.2
1681,0.768,2.3
1452,0.76,3.0999999999999996
1618,0.772,0.9
1177,0.757,3.0999999999999996
1607,0.755,4.3
1819,0.765,1.4
1088,0.867,1.3
1462,0.769,1.1
1467,0.762,1.1
1203,0.762,2.5999999999999996
1940,0.752,1.7
1888,0.755,1.9
1308,0.816,1.3
1400,0.754,6.3
1629,0.7609999775886536,3.5
1070,0.765,1.6
1907,0.767,2.5
1112,0.76,1.1
1884,0.759,2.3
1626,0.762,2.9000000000000004
1597,0.78,1.2
1147,0.782,1.2
1267,0.751,1.5
1906,0.761,3.9000000000000004
1331,0.759,1.8
1285,0.763,0.9
1372,0.757,7.2
1902,0.752,3.1
1744,0.754,1.8
1533,0.812,1.8
1076,0.763,5.6
1046,0.765999972820282,1.0
1236,0.779,2.6
1081,0.847,1.8
1426,0.751,0.9
1753,0.751,1.7
1567,0.889,1.8
1179,0.79,1.9
1660,0.754,4.800000000000001
1883,0.758,2.9000000000000004
1002,0.7850000262260437,1.0
1440,0.756,3.3
1989,0.753,4.4
1484,0.755,4.3
1332,0.819,1.6
1638,0.763,0.9
1105,0.755,3.0
1174,0.771,0.9
1210,0.817,1.7
1778,0.753,4.3
1603,0.772,1.1
1764,0.76,2.0
1725,0.784,1.2
1415,0.785,1.8
1110,0.784,2.2
1039,0.761,1.6
1801,0.762,3.1
1225,0.759,1.7000000000000002
1168,0.814,2.0
1458,0.836,1.9
1929,0.791,1.0
1645,0.757,5.199999999999999
1931,0.7540000081062317,3.0
1075,0.812,2.2
1149,0.775,0.9
1895,0.7609999775886536,1.5
1934,0.7580000162124634,1.5
1346,0.861,1.4
1387,0.865,1.3
1814,0.753,5.0
1324,0.813,1.2
1485,0.829,2.2
1435,0.83,2.2
1568,0.769,3.6
1376,0.779,1.2
1899,0.751,2.8
1806,0.76,2.5
1362,0.754,7.0
