,x1,x2,x3
1250,-0.0,0.5,3.0
1736,0.1,0.1,0.3
1531,-0.1,-0.0,1.8
1283,0.2,1.0,2.8
1103,0.0,0.1,0.2
1253,-0.0,1.3,3.8
1235,-0.0,0.5,2.1
1144,-0.1,0.2,2.9
1170,0.1,0.7,3.2
1151,0.0,-0.0,4.2
1561,0.1,-0.1,0.3
1717,-0.5,1.0,5.5
1453,-0.1,0.1,1.5
1836,0.0,0.0,0.1
1590,-0.1,0.7,4.0
1244,-0.3,0.4,1.5
1420,0.2,0.3,1.6
1507,-0.2,1.7,9.3
1114,-0.1,0.5,3.3
1273,-0.0,-0.0,0.4
1823,-0.1,0.9,3.6
1379,-0.0,0.7,2.0
1145,0.1,0.4,4.0
1981,-0.0,-0.1,5.5
1354,0.1,-0.0,0.4
1904,-0.0,0.1,7.8
1190,-0.2,0.4,1.5
1706,0.0,0.0,0.2
1589,-0.0,0.0,6.8
1179,0.1,0.0,5.0
1449,-0.0,0.3,1.1
1014,-0.1,0.2,1.3
1002,0.0,-0.0,1.9
1692,0.0,1.0,4.3
1425,0.1,-0.0,0.2
1578,0.1,0.1,5.2
1313,0.0,0.6,1.8
1626,-0.3,0.8,2.1
1236,-0.1,0.1,2.8
1580,0.0,0.0,4.7
1204,-0.0,0.5,2.5
1585,0.1,0.1,0.3
1750,-0.1,0.7,3.5
1000,0.2,1.0,3.4
1623,-0.2,0.1,0.9
1629,-0.0,0.3,3.7
1119,-0.2,0.4,2.3
1015,-0.1,0.2,1.2
1089,0.1,0.7,3.8
1863,-0.6,0.1,2.0
1127,0.0,0.2,3.1
1452,-0.1,1.3,6.1
1303,-0.1,0.1,0.7
1467,-0.1,0.4,1.2
1322,0.1,0.2,1.8
1398,0.0,0.4,2.0
1992,0.0,1.6,3.9
1593,0.0,0.7,3.1
1096,-0.1,-0.0,0.4
1062,-0.2,0.3,2.7
1513,0.1,1.5,4.8
1570,-0.1,0.1,5.6
1093,-0.5,0.6,3.5
1005,0.0,-0.0,5.5
1422,-0.3,0.7,1.9
1282,-0.0,-0.0,3.2
1845,-0.1,0.5,1.3
1965,-0.0,-0.0,0.6
1047,0.1,0.3,0.9
1695,-0.4,1.4,5.1
1907,0.1,0.4,2.2
1230,-0.1,-0.1,0.7
1361,-0.2,0.8,4.2
1338,0.2,-0.0,0.6
1840,-0.0,0.0,0.3
1288,0.0,0.1,2.5
1954,0.0,1.0,4.6
1666,-0.2,0.3,0.9
1864,0.1,0.0,0.6
1708,-0.1,0.5,1.6
1528,-0.2,0.4,2.0
1309,-0.1,0.4,1.6
1934,-0.1,0.2,0.8
1382,0.1,0.4,2.8
1818,-0.3,0.5,4.5
1964,-0.4,-0.0,2.1
1239,-0.1,-0.4,10.0
1889,-0.1,0.2,2.5
1031,-0.1,0.0,0.7
1684,0.2,0.2,1.1
1968,0.1,0.8,2.4
1923,0.0,0.0,0.1
1671,0.1,0.6,2.0
1739,0.1,0.9,4.1
1337,-0.0,0.0,0.6
1916,-0.1,1.6,5.1
1397,0.1,0.0,0.3
1606,0.4,0.6,1.7
1762,0.0,0.4,1.7
1491,0.2,0.3,1.1
