,x1,x2,x3
1304,0.0,0.2,0.4
1288,0.0,0.4,1.0
1566,0.9,0.9,0.0
1287,1.3,1.5,-0.0
1127,2.4,3.1,-0.2
1360,2.0,2.5,-0.0
1685,1.2,1.0,0.0
1271,1.5,1.7,-0.0
1230,0.7,0.0,0.0
1923,1.2,0.9,0.1
1649,1.2,1.2,0.2
1555,-0.2,1.1,3.7
1390,-0.0,0.2,0.4
1963,0.7,0.7,0.1
1761,1.5,1.7,0.4
1446,2.5,3.1,-0.1
1786,1.8,2.2,0.1
1231,0.0,0.0,0.1
1493,1.6,1.9,-0.1
1430,0.7,0.6,-0.1
1336,0.0,1.7,5.0
1575,0.1,0.1,0.3
1014,0.1,0.5,2.3
1987,0.0,0.0,0.1
1980,-0.1,0.8,2.8
1677,0.1,0.1,-0.0
1881,0.6,0.5,0.1
1244,0.1,0.6,2.5
1846,2.4,3.1,0.7
1592,0.0,0.2,0.4
1736,2.2,0.0,0.0
1290,1.3,1.2,0.2
1342,0.1,0.3,0.8
1650,0.1,-0.0,-0.0
1504,0.1,0.0,0.3
1958,2.2,2.7,-0.1
1682,1.9,2.2,0.3
1495,-0.1,0.4,0.8
1308,0.6,-0.0,-0.0
1108,0.1,0.2,0.6
1747,0.7,-0.0,0.0
1333,1.2,1.4,-0.0
1319,0.2,0.3,0.8
1921,1.4,1.6,0.1
1955,0.0,0.1,0.2
1088,-0.0,0.4,2.0
1889,-0.2,1.0,3.4
1880,1.2,1.1,-0.0
1476,1.8,2.2,-0.2
1270,2.2,2.7,-0.1
1480,0.9,0.7,0.0
1882,1.1,1.1,-0.0
1468,0.8,-0.0,-0.0
1472,0.8,0.0,0.0
1637,1.0,0.9,-0.8
1006,0.0,1.1,3.6
1170,1.8,2.2,0.0
1615,-0.1,-1.1,0.0
1733,1.1,-0.0,-0.0
1195,0.9,0.0,0.0
1794,2.2,2.5,0.6
1587,0.7,-0.0,-0.0
1832,-0.0,0.3,0.7
1365,1.1,-0.0,-0.0
1211,1.3,1.1,0.5
1009,1.6,2.0,0.9
1008,1.1,1.1,0.1
1829,0.7,0.5,-0.0
1918,0.8,0.0,0.0
1080,-0.1,0.6,2.6
1528,1.3,1.4,-0.1
1426,-0.2,0.5,2.4
1491,0.0,0.1,0.3
1580,0.8,0.7,-0.0
1914,0.1,0.0,0.3
1218,1.7,1.9,0.1
1853,0.1,0.2,0.7
1248,0.8,0.0,0.1
1623,1.0,0.0,0.0
1103,1.9,2.4,0.0
1353,1.2,-0.0,4.2
1952,0.4,0.0,0.9
1961,1.0,1.0,0.0
1927,1.4,1.4,-0.1
1204,0.6,-0.0,-0.1
1292,0.1,0.2,0.4
1936,0.0,0.0,0.1
1325,1.1,1.3,-0.0
1810,-0.2,0.5,2.2
1429,-0.1,0.3,0.8
1740,0.0,-0.0,0.2
1142,0.4,0.5,0.0
1329,1.0,1.0,-0.1
1614,0.7,0.0,0.1
1996,2.2,2.8,2.3
1059,-0.0,0.7,2.7
1378,0.2,0.3,0.8
1104,-0.1,0.5,2.2
1938,-0.0,0.2,0.7
1788,0.3,0.4,1.0
