,y_hat
1401,False
1661,False
1168,False
1065,False
1325,False
1735,False
1502,False
1515,False
1234,False
1905,False
1209,False
1958,False
1408,False
1185,False
1379,False
1218,False
1008,False
1215,False
1846,False
1103,False
1084,False
1675,False
1418,False
1946,False
1244,False
1947,False
1685,False
1630,False
1031,False
1025,False
1248,False
1776,False
1038,False
1878,False
1381,False
1937,False
1828,False
1409,False
1006,False
1622,False
1732,False
1707,False
1080,False
1921,False
1737,False
1492,False
1480,False
1981,False
1195,False
1263,False
1646,False
1382,False
1966,False
1763,False
1478,False
1580,False
1091,False
1595,False
1024,False
1353,False
1276,False
1533,False
1671,False
1427,False
1097,False
1518,False
1299,False
1221,False
1996,False
1430,False
1122,False
1483,False
1339,False
1813,False
1859,False
1570,False
1524,False
1286,False
1246,False
1449,False
1137,False
1493,False
1061,False
1761,False
1623,False
1971,False
1149,False
1118,False
1680,False
1528,False
1975,False
1072,False
1455,False
1039,False
1486,False
1889,False
1490,False
1696,False
1454,False
1733,False
