,x1,x2,x3
1687,0.21174681,0.06762022,-0.008886218
1648,-1.040015,0.13997748,0.6599475
1040,0.14760652,0.27140978,0.66662276
1989,0.09124112,0.086861685,-4.1306562
1484,0.052906536,0.07935987,-0.21482706
1457,0.35909772,0.088646695,-7.0931582
1459,-0.23708422,0.044373672,0.5702053
1716,-0.21931216,0.12103176,0.5824075
1611,0.005391717,0.15808764,-4.231129
1933,0.14507659,0.11761488,0.20776808
1606,0.014760256,0.022140384,0.051660895
1871,-1.5429553,0.13556704,0.5496567
1565,0.116854236,0.27528137,-1.9910102
1364,-0.6910262,0.06346073,0.5814082
1797,0.10339527,0.25509292,-1.7381165
1842,0.07418291,0.21127437,-1.94036
1896,0.366932,0.050398014,-7.1157384
1356,0.06761632,0.10142448,-0.36334288
1713,-0.24346639,0.084800415,0.5978676
1111,0.08532633,0.17798948,-1.4513578
1281,0.29869306,0.09803953,-3.6045742
1821,0.051543426,0.12731513,-5.369598
1391,-0.29217902,0.061731488,0.57737345
1690,-0.25145605,0.072815925,0.56990385
1397,-0.35230327,0.0715451,0.5669386
1625,0.26025438,0.09038158,0.6108904
1366,0.06313802,0.14470702,-1.829017
1010,0.13680279,0.05520425,-3.9711902
1870,-0.22559,0.061614975,0.61043495
1360,-0.4047543,0.042868543,0.53335994
1961,0.087332845,0.13099927,0.3056649
1922,-0.42877427,0.056838613,0.59929013
1814,-1.6815016,0.07774744,0.6147442
1999,-0.2978662,0.15320069,0.5574683
1658,0.049229693,0.12384448,-0.47769606
1864,0.87232846,0.05849269,1.3031497
1587,-1.1588192,0.061771203,0.5441328
1201,0.12573358,0.23860037,-2.1099327
1223,0.1809355,0.07140325,0.43327427
1998,0.019501353,0.029252147,-5.6317453
1736,-0.43537024,0.09694465,0.52620417
1591,-0.27666762,0.28499857,0.5316633
1065,-1.506797,0.039804507,0.5262106
1953,0.15745401,0.08618102,-4.2989106
1097,-3.5533223,-4.2299833,-8.736628
1883,0.0060402276,0.059060313,0.37114078
1197,0.15320429,0.27980644,-2.213785
1287,-0.52126527,0.06810211,0.5255716
1820,-0.29163238,0.06255141,0.5792866
1923,0.06597681,0.14896521,-5.319081
1562,-0.8747676,0.08784857,0.5383135
1840,0.17169566,0.10754349,-5.249065
1076,0.08049548,0.120743275,-6.118266
1664,-0.21791203,0.12313195,0.6873079
1464,0.009805012,0.114707515,-2.3656824
1034,-1.1655585,0.051662255,0.5205456
1352,-0.3411055,0.08834178,0.70613086
1861,0.16201004,0.09301503,0.5170352
1362,-3.370578,-2.955867,-10.497023
1968,0.14497226,0.017458368,-2.3925972
1319,-0.7874354,0.118846916,0.54397625
1418,0.077297404,0.2659461,0.720541
1661,0.37478432,0.11217649,-2.2382548
1388,-1.9866117,-4.1799173,-10.353141
1195,-0.29997727,0.1000341,0.6000796
1373,0.044091024,0.16613653,0.6543185
1778,-1.36245,0.056325056,0.5314248
1709,0.03692188,0.10538282,0.27922654
1310,-0.3481091,0.12783636,0.5316182
1071,-0.80171776,0.09742336,0.5939878
1914,0.1867795,0.030169249,-0.09627175
1302,-3.0453794,-4.868069,-10.558827
1983,-0.4123229,0.13151562,0.70686984
1203,-0.5476452,0.17853218,0.58324176
1030,0.14184205,0.012763023,-5.2035527
1680,0.03670778,0.10506167,-0.7215228
1274,-1.0290111,0.056483366,0.59846085
1942,0.22397175,0.08595767,-2.6660988
1376,-0.29098326,0.11352514,0.53155863
1369,0.41721818,0.025827218,0.26026356
1532,0.08746145,0.13119212,-4.593885
1168,0.022104835,0.083157256,-3.372633
1995,-0.3510022,0.17349671,0.6714923
1036,0.23288134,0.14932194,-3.684915
1363,0.17624226,0.06436339,0.116847895
1312,0.023487901,-0.5147681,0.5322073
1414,0.11017914,0.11526871,0.63562703
1147,0.028848374,0.043272562,0.30096927
1931,0.17775683,-0.38336474,0.5721493
1462,-0.4155747,0.12663794,0.59548855
1865,-0.48906738,0.116398916,0.5382641
1145,0.23713818,0.15570727,0.22998357
1401,0.25488403,0.08232598,0.19209397
1632,-0.29676372,0.30485445,0.61132705
1675,0.3886974,0.13304608,-3.889559
1276,0.11870996,0.028064966,-3.0345151
1537,0.104303814,0.0064557195,-1.7849367
1316,0.07390748,0.11086126,-1.9413239
1655,0.26120454,0.041806888,-4.135784
1805,-0.28365797,0.024513066,0.5571972
