ix,goal_cost,intv_cost
1811,1.0,0.1
1588,1.0,1.6
1457,1.0,1.9
1369,1.0,0.5
1386,1.0,0.30000000000000004
1651,1.0,6.4
1575,0.758,1.0
1619,1.0,0.30000000000000004
1539,1.0,1.2000000000000002
1707,1.0,0.7
1576,1.0,1.3
1084,1.0,0.7
1626,1.0,0.1
1934,1.0,0.1
1210,1.0,0.2
1030,1.0,1.4000000000000001
1639,1.0,0.6
1895,1.0,0.2
1896,1.0,2.0
1168,1.0,0.6
1097,1.0,2.1
1697,1.0,1.7
1883,1.0,0.1
1312,1.0,1.8000000000000003
1216,1.0,0.5
1102,1.0,1.6
1400,1.0,2.1
1234,1.0,2.4
1201,1.0,0.1
1329,1.0,0.5
1503,1.0,1.6
1438,1.0,0.4
1938,1.0,0.6
1070,1.0,0.5
1420,1.0,2.5
1245,1.0,1.5
1060,0.812,0.6
1529,1.0,0.4
1189,0.82,0.4
1621,1.0,0.8999999999999999
1076,1.0,1.6
1773,1.0,0.6
1988,1.0,0.5
1569,0.79,0.6
1133,1.0,0.1
1842,1.0,0.2
1464,1.0,0.1
1717,1.0,0.30000000000000004
1505,1.0,5.3
1611,1.0,1.1
1370,0.828,0.2
1923,1.0,2.0
1010,0.766,0.4
1914,1.0,0.7
1646,1.0,0.6
1740,0.828,0.2
1332,1.0,0.1
1562,1.0,0.2
1150,1.0,1.3
1313,1.0,1.8
1953,1.0,0.8
1533,1.0,0.2
1388,0.758,0.7
1267,1.0,0.30000000000000004
1658,1.0,1.3000000000000003
1859,1.0,0.30000000000000004
1931,1.0,4.5
1574,1.0,1.0
1675,1.0,0.5
1401,1.0,0.6
1470,0.824,0.5
1660,0.76,0.6
1469,1.0,2.1999999999999997
1743,1.0,0.1
1349,1.0,0.2
1036,1.0,0.6000000000000001
1254,0.806,0.30000000000000004
1860,0.774,0.30000000000000004
1742,1.0,0.6000000000000001
1065,1.0,1.0
1560,1.0,1.5
1077,1.0,1.0
1781,0.828,0.1
1075,1.0,0.7
1687,1.0,0.7999999999999999
1291,0.892,0.7
1128,1.0,0.1
1532,0.806,0.5
1681,1.0,0.9999999999999999
1197,0.776,0.1
1179,1.0,0.5
1317,1.0,0.3
1778,1.0,0.8
1131,1.0,0.5
1941,1.0,0.7999999999999999
1236,0.804,0.6
1991,1.0,0.5
1884,1.0,1.0
1924,1.0,3.9
1319,0.754,0.3
