,0
1433,0.0
1420,0.0
1713,0.0
1870,0.0
1443,0.0
1998,0.0
1649,0.0
1225,0.0
1826,0.0
1285,0.0
1203,0.0
1761,0.0
1030,0.0
1680,0.0
1290,0.0
1597,0.0
1316,0.0
1071,0.0
1010,0.0
1532,0.0
1540,0.0
1821,0.0
1274,0.0
1288,0.0
1346,0.0
1941,0.0
1879,0.0
1349,0.0
1938,0.0
1026,0.0
1404,0.0
1412,0.0
1898,0.0
1119,1.0
1342,0.0
1537,0.0
1528,0.0
1824,0.0
1315,0.0
1690,0.0
1198,0.0
1184,0.0
1242,0.0
1856,0.0
1717,0.0
1618,0.0
1439,0.0
1029,0.0
1864,0.0
1303,0.0
1055,0.0
1196,0.0
1077,0.0
1865,0.0
1213,0.0
1437,0.0
1753,0.0
1934,0.0
1681,0.0
1072,0.0
1475,0.0
1902,0.0
1057,0.0
1639,0.0
1495,0.0
1624,0.0
1616,0.0
1784,0.0
1652,0.0
1899,0.0
1914,0.0
1883,0.0
1675,0.0
1973,0.0
1561,0.0
1397,0.0
1942,0.0
1711,0.0
1723,0.0
1806,0.0
1097,0.0
1388,0.0
1677,0.0
1289,0.0
1356,0.0
1007,0.0
1162,0.0
1950,0.0
1631,0.0
1926,0.0
1773,0.0
1801,0.0
1170,0.0
1646,0.0
1237,0.0
1284,0.0
1096,1.0
1798,0.0
1569,0.0
1665,0.0
